,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,80910656,89124049,81569927,66528664,69710470,58718777,50146503,46783862,48418782,40058282,48167256,47813019,56479129,61343335,50602107,56578739,42075457,37851973,30233336,23954848,16807824,Upgrade
1,Market Cap Growth,51.78%,51.78%,62.66%,42.20%,43.97%,46.58%,4.11%,-2.15%,-14.27%,-34.70%,-4.81%,-15.49%,34.23%,62.06%,67.37%,136.19%,150.33%,40.05%,11.26%,-11.20%,-42.89%,Upgrade
2,Last Close Price,23150.00,25500.00,23500.00,18409.09,19289.53,16248.02,13886.86,12945.52,12710.85,10531.85,12644.82,12677.83,14975.69,16296.30,13417.37,15002.10,11156.49,10036.62,8016.48,6351.72,4558.90,Upgrade
3,PE Ratio,6.31,6.98,6.28,5.52,6.28,5.83,5.93,5.86,6.12,5.18,6.41,6.90,8.83,10.15,9.04,10.77,8.56,8.93,7.03,5.83,4.56,Upgrade
4,PS Ratio,2.80,3.10,2.90,2.55,2.91,2.65,2.50,2.42,2.53,2.12,2.73,2.95,3.72,4.24,3.59,4.09,3.27,3.16,2.60,2.16,1.57,Upgrade
5,PB Ratio,1.48,1.57,1.52,1.26,1.40,1.27,1.17,1.16,1.19,1.03,1.30,1.35,1.72,1.99,1.73,2.04,1.59,1.53,1.27,1.06,0.79,Upgrade
6,P/FCF Ratio,-,-,-1.74,-,-,-,-,-1.72,-,-,-,-,-,-,-,-,-,-,-,-1.89,-,Upgrade
7,P/OCF Ratio,-,-,-1.76,-,-,-,-,-1.74,-,-,-,-,-,-,-,-,-,-,-,-1.93,-,Upgrade
8,Debt / Equity Ratio,1.87,1.87,1.16,1.50,1.75,1.77,1.82,1.79,1.89,2.25,2.06,2.18,2.35,2.72,1.91,1.93,1.88,2.47,1.41,1.46,1.83,Upgrade
9,Debt / FCF Ratio,-,-,-1.33,-,-,-,-,-2.67,-,-,-,-,-,-,-,-,-,-,-,-2.62,-,Upgrade
10,Return on Equity (ROE),23.49%,26.66%,25.37%,26.75%,30.84%,24.10%,21.45%,21.99%,18.90%,23.93%,26.05%,25.41%,21.16%,21.24%,24.70%,26.29%,18.88%,20.24%,23.96%,19.18%,Upgrade,
11,Return on Assets (ROA),1.95%,2.26%,2.12%,2.13%,2.48%,2.03%,1.85%,2.01%,1.77%,2.22%,2.32%,2.14%,1.76%,1.79%,2.04%,2.08%,1.55%,1.83%,2.23%,1.74%,Upgrade,
12,Earnings Yield,15.77%,14.32%,15.93%,18.11%,15.91%,17.15%,16.88%,17.10%,16.36%,19.35%,15.61%,14.51%,11.35%,9.87%,11.08%,9.31%,11.70%,11.23%,14.26%,17.19%,21.98%,Upgrade
13,FCF Yield,-56.73%,-51.50%,-57.31%,-168.09%,-135.66%,-160.14%,-126.76%,-57.98%,-104.92%,-84.29%,-71.90%,-88.14%,-65.70%,-41.46%,-83.28%,-87.80%,-86.44%,-130.26%,-102.48%,-52.77%,-133.07%,Upgrade
14,Dividend Yield,3.52%,-,-,-,-,5.13%,-,-,-,6.88%,-,-,-,-,-,-,-,-,-,-,-,Upgrade
15,Payout Ratio,22.82%,-,85.07%,-,-,-,-,116.53%,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
16,Buyback Yield / Dilution,-0.16%,-0.64%,0.17%,0.33%,-0.03%,-0.58%,-0.64%,-1.27%,-0.02%,2.79%,-0.30%,0.40%,-1.00%,-4.23%,0.02%,-0.09%,-0.05%,-1.30%,1.68%,1.20%,1.65%,Upgrade
17,Total Shareholder Return,3.36%,-0.64%,0.17%,0.33%,-0.03%,4.55%,-0.64%,-1.27%,-0.02%,9.67%,-0.30%,0.40%,-1.00%,-4.23%,0.02%,-0.09%,-0.05%,-1.30%,1.68%,1.20%,1.65%,Upgrade
