,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,754577,566916,549939,847796,869382,459564,604543,955895,1088845,837498,970789,684058,1323503,633178,466892,1353863,1168685,839546,1908635,1081711,Upgrade
1,Revenue Growth (YoY),-13.21%,23.36%,-9.03%,-11.31%,-20.16%,-45.13%,-37.73%,39.74%,-17.73%,32.27%,107.93%,-49.47%,13.25%,-24.58%,-75.54%,25.16%,-1.74%,-32.58%,96.47%,20.03%,Upgrade
2,Cost of Revenue,202810,230461,287062,409874,276270,214675,294866,380543,507596,331112,310549,219563,338157,219611,176867,722707,650738,484247,1128649,658498,Upgrade
3,Gross Profit,551766,336455,262877,437922,593111,244889,309678,575351,581249,506387,660240,464495,985346,413567,290025,631156,517947,355299,779987,423213,Upgrade
4,"Selling, General & Admin",227040,43257,53956,33660,104958,20714,70805,36513,34741,60838,25020,43152,122032,39193,126484,52713,59719,57825,33950,54523,Upgrade
5,Operating Expenses,227040,43257,53956,33660,104958,20714,70805,36513,34741,60838,25020,43152,122032,39193,126484,52713,59719,57825,33950,54523,Upgrade
6,Operating Income,324727,293198,208921,404262,488153,224176,238873,538839,546509,445548,635220,421342,863314,374374,163541,578444,458228,297473,746037,368690,Upgrade
7,Interest Expense,-64091,-102003,-81739,-94332,-113115,-127418,-127425,-130785,-140875,-128432,-131450,-119412,-161109,-80009,-94432,-87082,-128353,-58664,-103187,-77591,Upgrade
8,Interest & Investment Income,19128,16815,7692,13233,-,10562,9757,6624,10044,43070,14049,13537,-,8963,5525,2943,4920,13225,6468,6390,Upgrade
