,Fiscal Quarter,Current,Q1 2024,Q1 2023,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Mar '25 Mar 11, 2025","Mar '24 Mar 31, 2024","Mar '23 Mar 31, 2023","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,5403194,6339875,4139970,-,-,-,-,-,-,-,-
1,Enterprise Value,26165392,28263692,26063787,-,-,-,-,-,-,-,-
2,Last Close Price,12500.00,14666.67,11211.45,-,-,-,-,-,-,-,-
3,PE Ratio,16.67,20.21,14.83,-,-,-,-,-,-,-,-
4,Forward PE,12.44,13.54,-,-,-,-,-,-,-,-,-
5,PS Ratio,2.49,3.05,2.32,-,-,-,-,-,-,-,-
6,PB Ratio,0.58,0.65,-,-,-,-,-,-,-,-,-
7,P/TBV Ratio,-,0.76,-,-,-,-,-,-,-,-,-
8,P/FCF Ratio,-,46.92,37.91,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,20.76,16.05,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,16.65,13.60,14.60,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,23.53,22.62,23.31,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,31.11,29.70,31.40,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-826.49,209.16,238.67,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,2.76,2.05,-,2.76,2.79,2.79,2.85,-,-,2.91,2.91
15,Debt / EBITDA Ratio,19.08,12.29,-,21.66,18.89,18.89,17.93,-,-,28.80,-
16,Debt / FCF Ratio,-,148.74,-,-,-,-,-,-,-,-,-
17,Asset Turnover,-,-,0.05,0.05,0.05,-,-,-,-,-,
18,Inventory Turnover,-,-,-,9.10,5.60,5.75,-,-,-,-,-
19,Quick Ratio,0.16,0.39,-,0.16,0.16,0.16,0.20,-,-,-,0.45
20,Current Ratio,0.29,0.52,-,0.29,0.33,0.33,0.48,-,-,-,0.76
21,Return on Equity (ROE),-,-,4.31%,3.65%,3.68%,-,-,-,0.75%,-,
22,Return on Assets (ROA),-,-,1.47%,1.49%,1.51%,-,-,-,-,-,
23,Return on Capital (ROIC),-,-,1.70%,1.72%,1.72%,-,-,-,1.16%,-,
24,Return on Capital Employed (ROCE),2.85%,2.73%,-,2.85%,2.70%,2.46%,2.21%,-,-,-,0.48%
25,Earnings Yield,5.36%,4.95%,6.74%,-,-,-,-,-,-,-,-
26,FCF Yield,-0.59%,2.13%,2.64%,-,-,-,-,-,-,-,-
27,Payout Ratio,2.64%,-,-,-,-,-,-,24.37%,66.15%,66.15%,-
28,Buyback Yield / Dilution,-1323.06%,-24.11%,-55.53%,-40.21%,-32.20%,-32.20%,-1109.17%,-,-,-,-
29,Total Shareholder Return,-1323.06%,-24.11%,-55.53%,-40.21%,-32.20%,-32.20%,-1109.17%,-,-,-,-
