,no,s,n,marketCap,price,change,revenue,url
0,1,hose/VCB,Joint Stock Commercial Bank for Foreign Trade of Vietnam,547297789057999.94,65500,-1.7991004497751124,65330925000000.0,quote/hose/VCB
1,2,hose/BID,Joint Stock Commercial Bank for Investment and Development of Vietnam,277280113773599.97,40900,-1.207729468599034,59173487000000.0,quote/hose/BID
2,3,hose/CTG,Vietnam Joint Stock Commercial Bank for Industry and Trade,227150650940400.0,42650,0.11737089201877934,54309854000000.0,quote/hose/CTG
3,4,hose/FPT,FPT Corporation,200800943479500.0,136500,0.44150110375275936,62848794351368.0,quote/hose/FPT
4,5,hose/VHM,Vinhomes JSC,196334293791200.0,46950,3.1868131868131866,102045377000000.0,quote/hose/VHM
5,6,hose/TCB,Vietnam Technological and Commercial Joint Stock Bank,192870452474700.0,27300,-1.9748653500897664,42908103000000.0,quote/hose/TCB
6,7,hose/VIC,Vingroup JSC,191208828465200.0,51400,6.860706860706861,192159467000000.0,quote/hose/VIC
7,8,hose/HPG,Hoa Phat Group JSC,177176520279000.0,27700,-0.3597122302158274,138855112131387.0,quote/hose/HPG
8,9,hose/GAS,Petrovietnam Gas Joint Stock Corporation,160004560367700.0,67400,-0.5899705014749262,103564126562888.0,quote/hose/GAS
9,10,hose/VPB,Vietnam Prosperity Joint Stock Commercial Bank,152728029319250.0,19600,-0.5076142131979695,34163700000000.0,quote/hose/VPB
10,11,hose/MBB,Military Commercial Joint Stock Bank,148285225613700.0,24300,-1.2195121951219512,45836578000000.0,quote/hose/MBB
11,12,hose/VNM,Vietnam Dairy Products JSC,129577237590000.0,62000,-0.3215434083601286,61782609528445.0,quote/hose/VNM
12,13,hose/ACB,Asia Commercial Joint Stock Bank,116579771503200.0,26450,0.0,31925111000000.0,quote/hose/ACB
13,14,hose/LPB,Fortune Vietnam Joint Stock Commercial Bank,105451058130000.0,35300,1.875901875901876,17903594000000.0,quote/hose/LPB
14,15,hose/MSN,Masan Group Corporation,101259953836800.0,70400,2.4745269286754,83177720000000.0,quote/hose/MSN
15,16,hose/GVR,Vietnam Rubber Group JSC,91656621276000.0,33000,0.6097560975609756,26254333056966.0,quote/hose/GVR
16,17,hose/MWG,Mobile World Investment Corporation,89881278853500.0,61500,-1.9138755980861244,134341152848802.0,quote/hose/MWG
17,18,hose/BCM,Investment and Industrial Development Corporation - JSC,81558000000000.0,80200,0.0,,quote/hose/BCM
18,19,hose/HDB,Ho Chi Minh City Development Joint Stock Commercial Bank,80910655945800.0,23150,-2.1141649048625792,28706749000000.0,quote/hose/HDB
19,20,hose/STB,Saigon Thuong Tin Commercial Joint Stock Bank,73523412924000.0,39000,-1.8867924528301887,26702688000000.0,quote/hose/STB
20,21,hose/SAB,Saigon Beer - Alcohol - Beverage Corporation,65538937209200.0,51100,0.0,31872417486656.0,quote/hose/SAB
21,22,hose/HVN,Vietnam Airlines JSC,62888794541600.0,28400,-1.7301038062283738,105786761172125.0,quote/hose/HVN
22,23,hose/VIB,Vietnam International Commercial Joint Stock Bank,60476294644500.0,20300,-0.975609756097561,16215594000000.0,quote/hose/VIB
23,24,hose/SSB,Southeast Asia Commercial Joint Stock Bank,56473250000000.0,19800,0.0,8224085000000.0,quote/hose/SSB
24,25,hose/PLX,Vietnam National Petroleum Group,52983696199500.0,41700,-2.797202797202797,284027777852687.0,quote/hose/PLX
25,26,hose/SSI,SSI Securities Corporation,52872462527500.0,26950,0.9363295880149812,6743158224016.0,quote/hose/SSI
26,27,hose/VJC,VietJet Aviation JSC,52698782798200.0,97300,-0.1026694045174538,71858661874889.0,quote/hose/VJC
27,28,hose/VRE,Vincom Retail JSC,42719586108000.0,18800,2.73224043715847,8939117000000.0,quote/hose/VRE
28,29,hose/TPB,Tien Phong Commercial Joint Stock Bank,42403396945800.0,16250,0.30864197530864196,12424499000000.0,quote/hose/TPB
29,30,hose/DGC,Duc Giang Chemicals Group JSC,41357869175700.0,108900,-1.0,9864969760473.0,quote/hose/DGC
30,31,hose/SHB,Saigon - Hanoi Commercial Joint Stock Bank,40652777150000.0,9980,-0.10010010010010008,17292318000000.0,quote/hose/SHB
