,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,1842952,1638092,1908622,1494580,1783121,1576186,1998644,1691076,2315041,2260251,2385950,1956717,2024359,1038933,2259831,1741219,2211951,1983954,2034558,1732165,Upgrade
1,Revenue Growth (YoY),3.36%,3.93%,-4.50%,-11.62%,-22.98%,-30.27%,-16.23%,-13.58%,14.36%,117.55%,5.58%,12.38%,-8.48%,-47.63%,11.07%,0.52%,-3.19%,-9.29%,-14.07%,-13.34%,Upgrade
2,Cost of Revenue,1638742,1476554,1732469,1391233,1603217,1433720,1792729,1615416,2104895,2070220,2066153,1784803,1859068,992829,1820496,1501626,1905270,1650167,1614746,1436858,Upgrade
3,Gross Profit,204210,161538,176154,103347,179904,142466,205914,75660,210146,190031,319797,171914,165292,46104,439335,239592,306680,333787,419812,295307,Upgrade
4,"Selling, General & Admin",135539,106603,116473,106634,107009,104191,103186,101995,102747,108692,116261,93196,46485,75487,97051,83537,78735,90136,92779,89177,Upgrade
5,Operating Expenses,135539,106603,116473,106634,107009,104191,103186,101995,102747,108692,116261,93196,46485,75487,97051,83537,78735,90136,92779,89177,Upgrade
6,Operating Income,68670,54935,59680,-3287,72896,38275,102728,-26335,107400,81339,203536,78718,118807,-29383,342285,156055,227945,243652,327034,206130,Upgrade
7,Interest Expense,-12714,-22131,-14855,-15240,-,-39469,-34624,-35008,-,-17784,-14607,-16546,-20907,-21830,-25890,-31323,-34566,-40666,-49022,-56837,Upgrade
8,Interest & Investment Income,-,3387,1717,120.95,4949,3579,98.72,454.62,21679,3212,115.42,426.54,18208,4102,634.77,8479,3353,493.8,3697,4126,Upgrade
9,Currency Exchange Gain (Loss),-,-635.21,434.71,431.09,-229.45,-356.14,373.33,-189.72,-3085,-332.73,-1273,419.9,-509.57,2257,-18.06,18.06,-12155,-6290,-1741,329.64,Upgrade
10,Other Non Operating Income (Expenses),-18575,-5204,-9817,-4416,-27274,-7208,-20799,-16366,-35351,-19617,-3666,-28267,-25491,-11585,-17647,-5618,-6677,-9707,-23116,-14382,Upgrade
11,EBT Excluding Unusual Items,37381,30351,37160,-22392,50341,-5179,47778,-77444,90644,46817,184106,34752,90108,-56439,299364,127611,177900,187483,256852,139367,Upgrade
12,Gain (Loss) on Sale of Investments,-,-8656,6955,3924,5089,-5586,7462,1708,-18354,-3238,-21231,10927,12978,5436,-714,714,5285,262.5,647.5,-98,Upgrade
