,Fiscal Quarter,Q4 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,+11 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Oct '20 Oct 1, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Jan '20 Jan 1, 2020","Oct '19 Oct 1, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019",+11 Quarters
0,Cash & Equivalents,467128,210986,146495,25038,28458,24501,138369,-,30787,58586,-,-,44218,44218,18346,18346,30304,30304,-,-,Upgrade
1,Short-Term Investments,254311,178086,279334,229013,175000,139359,217755,-,212885,120184,-,-,27329,27329,30348,30348,35554,35554,-,-,Upgrade
2,Cash & Short-Term Investments,721439,389072,425829,254051,203458,163860,356124,-,243672,178770,-,71547,71547,71547,48694,48694,65858,65858,-,-,Upgrade
3,Cash Growth,254.59%,137.44%,19.57%,-,-16.50%,-8.34%,-,-,240.57%,149.86%,-,46.93%,8.64%,8.64%,-,-,38.40%,30.23%,-,-,Upgrade
4,Accounts Receivable,511118,509624,486816,406538,454086,475759,495609,-,535170,478711,-,-,321461,321461,209637,209637,204829,204829,-,-,Upgrade
5,Other Receivables,11433,11487,7431,4806,7407,3342,6021,-,6833,2976,-,-,2395,2395,4836,4836,2631,2631,-,-,Upgrade
6,Receivables,524894,523454,494246,413686,461493,481853,501630,-,542003,482176,-,-,324447,324447,215049,215049,208071,208071,-,-,Upgrade
7,Inventory,788025,765958,688631,830308,644845,912623,785562,-,567146,857148,-,-,514037,514037,609306,609306,616188,616188,-,-,Upgrade
8,Prepaid Expenses,13026,11634,11303,9010,10300,9030,9545,-,7799,9062,-,-,7907,7907,6799,6799,9882,9882,-,-,Upgrade
9,Other Current Assets,47665,71258,140128,104369,101811,51701,125297,-,82948,78459,-,-,45249,45249,46810,46810,48103,48103,-,-,Upgrade
10,Total Current Assets,2095048,1761376,1760137,1611425,1421908,1619067,1778158,-,1443567,1605616,-,-,963187,963187,926658,926658,948102,948102,-,-,Upgrade
11,"Property, Plant & Equipment",758348,664802,658909,684372,695238,717811,715327,-,695368,685342,-,-,740711,740711,771527,771527,776643,776643,-,-,Upgrade
12,Long-Term Investments,19318,26117,17765,17543,17061,16360,15685,-,16650,16439,-,-,14874,14874,13633,13633,14008,14008,-,-,Upgrade
13,Goodwill,-,-,-,-,-,-,-,-,-,-,-,-,70.04,70.04,140.09,140.09,210.13,210.13,-,-,Upgrade
14,Other Intangible Assets,1552,1864,1910,2067,2259,2467,2566,-,1685,1865,-,-,1296,1296,1029,1029,1475,1475,-,-,Upgrade
15,Long-Term Deferred Tax Assets,1603,2302,1656,2743,2744,5726,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
16,Long-Term Deferred Charges,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27679,27679,-,-,Upgrade
17,Other Long-Term Assets,43988,46575,44880,47155,43888,44081,38445,-,36886,30509,-,-,30390,30390,31166,31166,3374,3374,-,-,Upgrade
