,Fiscal Quarter,Q4 2024,Q4 2023,Q3 2015,Q2 2015,Q1 2015,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q2 2013,Q1 2013,Q4 2012,Q2 2012,Q2 2011,Q3 2010,Q2 2010,Q1 2010,Q4 2009,Q3 2009,Q2 2009,+1 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Dec '13 Dec 31, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Dec '12 Dec 31, 2012","Jun '12 Jun 30, 2012","Jun '11 Jun 30, 2011","Sep '10 Sep 30, 2010","Jun '10 Jun 30, 2010","Mar '10 Mar 31, 2010","Dec '09 Dec 31, 2009","Sep '09 Sep 30, 2009","Jun '09 Jun 30, 2009",+1 Quarters
0,Revenue,144552,113405,77883,73841,71443,43010,50004,43490,52850,42493,43552,44119,36513,40596,39493,45200,39781,38698,36867,36290,Upgrade
1,Revenue Growth (YoY),102.33%,163.67%,55.75%,69.79%,35.18%,1.22%,14.82%,-1.43%,44.74%,4.67%,10.28%,-2.39%,-8.21%,4.91%,7.12%,24.55%,21.45%,-,-,-,Upgrade
2,Cost of Revenue,104768,69280,46305,40917,39758,23108,33718,27483,40104,18273,19770,18822,14281,15731,14115,19628,15487,30179,7597,7353,Upgrade
3,Gross Profit,39784,44125,31578,32924,31686,19902,16286,16007,12746,24220,23782,25297,22233,24865,25378,25572,24294,8519,29269,28937,Upgrade
4,"Selling, General & Admin",9560,10621,11116,13167,12695,7782,9859,6909,8771,8905,8626,5563,7151,9886,6735,5281,6140,8265,6658,5170,Upgrade
5,Operating Expenses,9560,10621,11116,13167,12695,7782,9859,6909,8771,8905,8626,5563,7151,9886,6735,5281,6140,8265,6658,5170,Upgrade
6,Operating Income,30224,33504,20462,19757,18991,12121,6428,9098,3975,15315,15155,19734,15082,14979,18643,20290,18154,254.17,22612,23767,Upgrade
7,Interest Expense,-13652,-17411,-6272,-6100,-5943,-761.2,-895.13,-1167,-2132,-3458,-4043,-5075,-6241,-8993,-10878,-12025,-10144,-9470,-10975,-8490,Upgrade
8,Interest & Investment Income,-,-,176.93,426.87,549.31,100.43,1834,55.36,-,1525,8.12,1598,107.15,33.02,1831,3361,993.66,1646,497.42,6391,Upgrade
9,Other Non Operating Income (Expenses),3897,1969,35.72,13.14,28.22,66.99,332.93,25.13,1037,33.26,14.15,-1980,78.32,12.06,0.25,1.93,0.26,9556,7278,-8075,Upgrade
10,EBT Excluding Unusual Items,20468,18062,14403,14097,13625,11527,7699,8011,2880,13415,11135,14277,9026,6032,9596,11628,9003,1986,19413,13594,Upgrade
11,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-7980,-,Upgrade
12,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,80.45,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
13,Pretax Income,20468,18062,14403,14097,13625,11527,7780,8011,2880,13415,11135,14277,9026,6032,9596,11628,9003,1986,11433,13594,Upgrade
14,Income Tax Expense,4144,3769,720.15,704.86,681.27,576.34,388.98,400.54,52.57,670.76,556.75,712.65,451.32,-,-,-,-,-,-,-,Upgrade
15,Net Income,16325,14293,13683,13392,12944,10951,7391,7610,2828,12744,10578,13564,8575,6032,9596,11628,9003,1986,11433,13594,Upgrade
16,Net Income to Common,16325,14293,13683,13392,12944,10951,7391,7610,2828,12744,10578,13564,8575,6032,9596,11628,9003,1986,11433,13594,Upgrade
17,Net Income Growth,26.12%,30.52%,85.14%,75.98%,357.75%,-14.08%,-30.13%,-43.89%,-67.02%,111.29%,10.24%,16.65%,-4.75%,203.73%,-16.07%,-14.46%,35.60%,-,-,-,Upgrade
18,Shares Outstanding (Basic),25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,Upgrade
19,Shares Outstanding (Diluted),25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,Upgrade
20,Shares Change (YoY),0.08%,-0.00%,0.08%,-0.04%,-0.03%,-0.02%,-,-,0.09%,0.10%,-,-0.02%,-0.05%,0.41%,-,0.04%,-0.08%,-,-,-,Upgrade
21,EPS (Basic),654.00,573.00,548.00,537.00,519.00,439.00,296.23,305.03,113.34,510.81,423.99,543.67,344.00,242.00,384.62,466.00,361.00,80.00,458.25,545.00,Upgrade
22,EPS (Diluted),654.00,573.00,548.00,537.00,519.00,439.00,296.23,305.03,113.34,510.81,423.99,543.67,344.00,242.00,384.62,466.00,361.00,80.00,458.25,545.00,Upgrade
23,EPS Growth,26.01%,30.52%,84.99%,76.05%,357.91%,-14.06%,-30.13%,-43.89%,-67.05%,111.08%,10.24%,16.67%,-4.71%,202.50%,-16.07%,-14.50%,35.71%,-,-,-,Upgrade
24,Free Cash Flow,-,-,-,-,-,-,648.22,-19804,-,-75951,-45049,-,-,-,-,-,-,-,-,-,Upgrade
25,Free Cash Flow Per Share,-,-,-,-,-,-,25.98,-793.79,-,-3044.21,-1805.62,-,-,-,-,-,-,-,-,-,Upgrade
26,Gross Margin,27.52%,38.91%,40.55%,44.59%,44.35%,46.27%,32.57%,36.81%,24.12%,57.00%,54.61%,57.34%,60.89%,61.25%,64.26%,56.57%,61.07%,22.01%,79.39%,79.74%,Upgrade
27,Operating Margin,20.91%,29.54%,26.27%,26.76%,26.58%,28.18%,12.85%,20.92%,7.52%,36.04%,34.80%,44.73%,41.31%,36.90%,47.21%,44.89%,45.63%,0.66%,61.33%,65.49%,Upgrade
28,Profit Margin,11.29%,12.60%,17.57%,18.14%,18.12%,25.46%,14.78%,17.50%,5.35%,29.99%,24.29%,30.74%,23.48%,14.86%,24.30%,25.73%,22.63%,5.13%,31.01%,37.46%,Upgrade
29,Free Cash Flow Margin,-,-,-,-,-,-,1.30%,-45.54%,-,-178.74%,-103.44%,-,-,-,-,-,-,-,-,-,Upgrade
30,EBITDA,-,-,-,-,-,36994,31301,31809,-,30015,29217,-,-,-,-,-,-,-,-,-,Upgrade
31,EBITDA Margin,-,-,-,-,-,86.01%,62.60%,73.14%,-,70.64%,67.09%,-,-,-,-,-,-,-,-,-,Upgrade
32,D&A For EBITDA,-,-,-,-,-,24874,24874,22711,-,14700,14062,-,-,-,-,-,-,-,-,-,Upgrade
33,EBIT,30224,33504,20462,19757,18991,12121,6428,9098,3975,15315,15155,19734,15082,14979,18643,20290,18154,254.17,22612,23767,Upgrade
34,EBIT Margin,20.91%,29.54%,26.27%,26.76%,26.58%,28.18%,12.85%,20.92%,7.52%,36.04%,34.80%,44.73%,41.31%,36.90%,47.21%,44.89%,45.63%,0.66%,61.33%,65.49%,Upgrade
35,Effective Tax Rate,20.24%,20.87%,5.00%,5.00%,5.00%,5.00%,5.00%,5.00%,1.83%,5.00%,5.00%,4.99%,5.00%,-,-,-,-,-,-,-,Upgrade
36,Revenue as Reported,144552,113405,77883,73841,71443,43010,50004,43490,52850,42493,43552,44119,36513,40596,39493,45200,39781,38698,36867,36290,Upgrade
