,Fiscal Quarter,Current,Q4 2024,Q4 2023,Q3 2018
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '18 Sep 30, 2018"
0,Market Capitalization,1015927,908987,1425863,-
1,Enterprise Value,3296473,1413430,1930305,-
2,Last Close Price,11400.00,10200.00,16000.00,-
3,PE Ratio,57.00,12.21,20.45,-
4,PS Ratio,0.92,0.99,1.82,-
5,PB Ratio,0.67,0.59,0.94,-
6,P/TBV Ratio,0.61,0.61,0.96,-
7,EV/Sales Ratio,2.89,1.54,2.47,-
8,EV/EBIT Ratio,97.99,-,26.06,-
9,Debt / Equity Ratio,1.56,1.56,1.35,1.49
10,Debt / EBITDA Ratio,36.31,-,-,3.67
11,Quick Ratio,0.82,0.82,0.67,0.53
12,Current Ratio,1.31,1.31,1.19,1.25
13,Return on Capital Employed (ROCE),1.52%,-,4.37%,6.24%
14,Earnings Yield,1.81%,8.47%,5.06%,-
