,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,62888795,63442393,46612997,73517887,29894321,27126329,26240571,30780079,28454965,30780079,29562162,34323110,55138415,51263225,35457271,39144827,46307196,40137631,37868366,35599100,25245577,Upgrade
1,Market Cap Growth,133.88%,133.88%,77.64%,138.85%,5.06%,-11.87%,-11.24%,-10.32%,-48.39%,-39.96%,-16.63%,-12.32%,19.07%,27.72%,-6.37%,9.96%,83.43%,-16.15%,-20.54%,-40.24%,-,Upgrade
2,Enterprise Value,78399405,81809035,67244838,95171048,54280170,52336834,50955879,54747837,53848272,59025101,57520455,62686293,82498957,78623767,67671952,70992165,77957805,71738014,68616289,65785851,51127812,Upgrade
3,Last Close Price,28400.00,28650.00,21050.00,33200.00,13500.00,12250.00,11850.00,13900.00,12850.00,13900.00,13350.00,15500.00,24900.00,23150.00,25000.00,21828.56,25822.56,22382.19,21116.76,19851.34,14077.84,Upgrade
4,PE Ratio,9.14,9.22,12.35,100.84,-20.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
5,Forward PE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31.39,31.39,31.39,Upgrade
6,PS Ratio,0.59,0.60,0.45,0.73,0.31,0.30,0.30,0.36,0.35,0.44,0.49,0.78,1.72,1.84,1.32,1.32,1.59,0.99,0.68,0.49,0.28,Upgrade
7,PB Ratio,-6.32,-6.32,-4.20,-6.37,-2.38,-1.59,-1.88,-2.46,-2.78,-2.78,-3.94,-6.98,-25.52,97.79,24.03,-14.04,44.94,6.61,5.73,3.12,1.58,Upgrade
8,P/TBV Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,38.71,16.07,-,37.72,6.57,5.75,3.19,1.64,Upgrade
9,P/FCF Ratio,6.72,6.78,7.03,18.56,15.80,39.55,-,-,4.79,5.18,42.37,-10.40,-9.99,-,-,-,-,-,-,-,-,Upgrade
10,P/OCF Ratio,6.57,6.57,6.69,17.04,13.69,27.03,-,-,4.16,4.46,23.11,-12.06,-10.97,-,-,-,-,-,-,-,-,Upgrade
11,EV/Sales Ratio,0.74,0.77,0.65,0.95,0.57,0.57,0.59,0.65,0.65,0.84,0.95,1.43,2.57,2.82,2.52,2.39,2.67,1.77,1.24,0.90,0.56,Upgrade
12,EV/EBITDA Ratio,6.59,6.92,8.43,15.15,11.75,-,25.33,54.68,-104.97,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
13,EV/EBIT Ratio,11.45,12.08,23.78,96.38,-64.66,-,-,-,-10.64,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
14,EV/FCF Ratio,8.37,8.74,10.14,24.03,28.70,76.32,-,-,9.06,9.93,82.44,-19.00,-14.95,-,-,-,-,-,-,-,-,Upgrade
15,Debt / Equity Ratio,-2.04,-2.04,-2.00,-2.03,-1.94,-1.61,-2.05,-2.24,-2.66,-2.56,-4.19,-6.69,-15.78,66.39,24.77,-12.36,33.32,5.61,5.30,3.07,2.23,Upgrade
16,Debt / EBITDA Ratio,1.73,1.52,2.29,2.27,1.76,-,9.91,7.68,3.05,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
17,Debt / FCF Ratio,2.19,2.19,3.34,5.90,12.90,39.91,-,-,4.58,4.76,45.13,-9.97,-6.18,-,-,-,-,-,-,-,-,Upgrade
18,Asset Turnover,1.85,1.85,1.72,1.96,1.62,1.58,1.39,1.56,1.25,1.31,1.12,0.73,0.56,0.30,0.43,0.48,0.52,0.47,0.35,1.02,Upgrade,
19,Inventory Turnover,27.09,27.09,28.60,25.04,27.32,25.72,24.41,23.81,27.62,25.34,20.93,20.71,21.09,16.93,12.47,19.02,24.28,21.48,17.88,14.26,24.90,Upgrade
20,Quick Ratio,0.18,0.18,0.15,0.15,0.14,0.13,0.15,0.14,0.15,0.14,0.16,0.19,0.17,0.17,0.25,0.09,0.13,0.14,0.18,0.22,0.28,Upgrade
21,Current Ratio,0.30,0.30,0.29,0.29,0.26,0.24,0.26,0.24,0.24,0.24,0.26,0.31,0.28,0.28,0.35,0.19,0.21,0.25,0.30,0.39,0.51,Upgrade
22,Return on Equity (ROE),-,-,-,-,-,-,-,-,-,-,-,-,-450.29%,-,-,-460.90%,-182.81%,-134.08%,-88.45%,-51.88%,Upgrade,
23,Return on Assets (ROA),9.23%,5.07%,5.70%,9.55%,-7.70%,-2.82%,-2.22%,1.79%,-11.40%,-4.60%,-5.71%,-9.25%,-5.39%,-14.19%,-17.03%,-15.19%,-12.06%,-10.67%,-13.49%,-5.00%,Upgrade,
