,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,161983,183412,127521,108745,106201,97983,66785,58708,178845,64844,67243,248780,271273,62626,192195,231417,85269,73020,62827,74700,Upgrade
1,Short-Term Investments,142000,87000,132000,132000,93000,103000,303000,293000,211300,251300,176300,73000,111300,181300,101649,60349,60340,45340,46514,1507,Upgrade
2,Trading Asset Securities,-,-,-,-,-,-,-,-,-,-,-,-,1153,3838,3347,3268,3268,3359,3728,3688,Upgrade
3,Cash & Short-Term Investments,303983,270412,259521,240745,199201,200983,369785,351708,390145,316144,243543,321780,383726,247763,297192,295034,148877,121719,113069,79895,Upgrade
4,Cash Growth,52.60%,34.54%,-29.82%,-31.55%,-48.94%,-36.43%,51.84%,9.30%,1.67%,27.60%,-18.05%,9.07%,157.75%,103.55%,162.84%,269.28%,85.58%,26.93%,-27.11%,0.85%,Upgrade
5,Accounts Receivable,334746,358105,335094,306059,254058,263908,239370,242469,228770,202467,179261,169750,241946,248990,273219,270607,328134,300421,225492,210620,Upgrade
6,Other Receivables,15014,3280,5620,5160,4066,6431,16559,5997,-1000,8020,13625,11851,11995,9542,17211,15973,17650,30423,18111,15257,Upgrade
7,Receivables,349760,361385,340714,311219,258124,270339,255929,248465,227770,235275,210970,192485,255941,260532,292452,290294,345784,331444,243603,225877,Upgrade
8,Inventory,705082,769991,713158,706088,699446,771010,657789,529532,435841,400306,424349,456457,492075,471328,454201,418196,424237,436689,416508,348914,Upgrade
9,Prepaid Expenses,15564,2793,4724,4791,6539,12379,9368,980.57,1601,1628,1237,2108,3155,279.2,661.07,1297,2031,-,473.51,369.27,Upgrade
10,Other Current Assets,35155,62185,41158,53719,43825,48350,44711,62066,48195,57570,56286,58255,41443,72972,75528,71710,61046,79386,94984,92184,Upgrade
11,Total Current Assets,1409544,1466766,1359275,1316561,1207135,1303060,1337582,1192751,1103553,1010922,936386,1031085,1176340,1052874,1120035,1076531,981975,969237,868637,747239,Upgrade
12,"Property, Plant & Equipment",828489,862054,878066,891052,908754,924939,1003330,993490,996450,1001006,984894,953172,955680,938003,950750,947377,949147,388471,908164,903103,Upgrade
13,Long-Term Investments,66959,71283,71283,71284,71284,71282,71282,71290,71290,71287,71287,71287,50962,51672,51673,51669,51669,51674,51677,51678,Upgrade
14,Other Intangible Assets,74219,74780,75063,73732,74150,74577,74781,72739,72978,73059,73095,73333,73581,73924,74313,74599,76563,71846,72221,70985,Upgrade
15,Other Long-Term Assets,125566,106782,121305,120717,131293,112901,35752,36093,32672,32761,31569,35314,38136,35786,32068,34336,37101,589468,37728,41969,Upgrade
16,Total Assets,2504777,2581664,2504992,2473346,2392615,2486759,2522728,2366362,2276944,2189034,2097231,2164190,2294700,2152588,2228839,2184511,2096455,2072198,1940315,1817055,Upgrade
17,Accounts Payable,77044,111377,71752,77109,72127,96017,112150,112163,87542,65757,63822,29944,92713,56807,87010,40633,59704,80189,99785,35746,Upgrade
18,Accrued Expenses,89231,122829,113322,67766,144776,150277,142103,114632,139803,89958,103876,72371,100346,84510,89804,52731,112446,53563,56852,51650,Upgrade
19,Short-Term Debt,86122,104186,96413,118580,49422,79650,180318,100668,-,37429,-,64843,80491,48209,15226,59647,130928,197512,79436,60250,Upgrade
20,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,94980,93600,93600,91652,91652,92356,92356,-,-,-,-,-,Upgrade
21,Current Income Taxes Payable,31631,18609,16995,15872,19107,16951,20186,21332,25382,16453,12645,13385,17141,6857,12442,11186,12688,10616,11469,10279,Upgrade
22,Current Unearned Revenue,-,52397,40550,26932,-,42310,36555,19015,-,34489,27164,19882,-,15344,13102,12781,-,18518,9190,9761,Upgrade
23,Other Current Liabilities,37630,22195,88296,20588,22605,89324,88892,26279,34789,25439,26004,25103,26295,25985,127698,31214,31167,58113,73328,25161,Upgrade
24,Total Current Liabilities,321657,431591,427328,326847,308036,474529,580203,394089,382497,363125,327111,317179,408638,330068,437637,208193,346932,418511,330061,192847,Upgrade
25,Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,91652,92356,92356,184940,-,-,-,-,Upgrade
26,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,2350,2350,19037,19037,21099,23683,24205,Upgrade
