,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,2047530,252556,644538,333961,463759,616403,586678,420931,1234079,802659,732500,142726,590631,1199264,1111994,836479,1291033,1755118,784842,701076,Upgrade
1,Revenue Growth (YoY),341.51%,-59.03%,9.86%,-20.66%,-62.42%,-23.20%,-19.91%,194.92%,108.94%,-33.07%,-34.13%,-82.94%,-54.25%,-31.67%,41.68%,19.31%,35.56%,187.15%,92.28%,-16.69%,Upgrade
2,Cost of Revenue,1139166,94741,144642,159784,158075,183710,92699,66648,859380,293168,234808,65087,104458,722058,685703,432405,449744,1211037,368327,365856,Upgrade
3,Gross Profit,908363,157814,499897,174176,305684,432693,493978,354283,374698,509490,497692,77638,486173,477206,426290,404074,841288,544081,416515,335220,Upgrade
4,"Selling, General & Admin",230255,67143,77138,56459,109738,120402,60664,76157,171084,93905,56622,72803,163347,45386,60851,117016,363397,60314,75228,97727,Upgrade
5,Operating Expenses,230255,67143,77138,56459,109738,120402,60664,76157,171084,93905,56622,72803,163347,45386,60851,117016,363397,60314,75228,97727,Upgrade
6,Operating Income,678108,90671,422759,117718,195945,312291,433314,278125,203615,415585,441070,4835,322826,431820,365439,287057,477891,483767,341287,237493,Upgrade
7,Interest Expense,-,-,-,-,-,-,-,-,-9346,-,-,-,-845.49,-,-9253,-5830,-,-,-,-,Upgrade
8,Interest & Investment Income,-,7405,10499,12033,16237,11041,7673,12753,8162,414.12,6653,1390,8155,1408,5629,5682,9836,14814,5533,4811,Upgrade
9,Other Non Operating Income (Expenses),-173438,-24320,-64806,-28091,-67130,-71489,-37840,-6635,-26890,-56014,-319271,304083,4297,-32715,-24542,-17682,-26880,-28945,-24127,-37072,Upgrade
10,EBT Excluding Unusual Items,504670,73756,368452,101659,145053,251843,403147,284243,175540,359985,128451,310308,334433,400513,337273,269227,460847,469636,322693,205232,Upgrade
11,Other Unusual Items,-,247.69,2150,-,-31553,3730,12566,-,6636,122974,306694,-,198536,-,-,-,-,-,-,-,Upgrade
12,Pretax Income,504670,74004,370602,101659,113499,255572,415713,284243,182177,482959,435146,310308,532969,400513,337273,269227,460847,469636,322693,205232,Upgrade
13,Income Tax Expense,112071,7646,90441,37703,51148,45478,158905,83997,70483,138164,109561,10135,118298,83833,72199,61104,77404,107517,69043,49976,Upgrade
14,Earnings From Continuing Operations,392598,66358,280161,63956,62351,210095,256808,200246,111694,344795,325584,300173,414671,316681,265074,208123,383443,362119,253650,155256,Upgrade
15,Minority Interest in Earnings,4904,3999,-1632,-595.43,-1394,-2570,-8595,-1268,7962,6827,6247,-329.69,-335.47,-106.55,22.79,-1655,-515.01,-561.22,-357.5,-268.23,Upgrade
16,Net Income,397502,70356,278529,63361,60957,207525,248213,198979,119656,351623,331832,299843,414336,316574,265097,206467,382928,361558,253292,154987,Upgrade
17,Preferred Dividends & Other Adjustments,-,-,4930,23927,4267,-,14527,31303,8376,-,24614,44217,29004,-,22160,33009,26805,-,25309,28580,Upgrade
18,Net Income to Common,397502,70356,273599,39434,56690,207525,233686,167675,111280,351623,307218,255626,385333,316574,242937,173458,356123,361558,227983,126408,Upgrade
19,Net Income Growth,552.10%,-66.10%,12.21%,-68.16%,-49.06%,-40.98%,-25.20%,-33.64%,-71.12%,11.07%,25.17%,45.23%,8.20%,-12.44%,4.66%,33.22%,-5.40%,22.25%,125.16%,51.62%,Upgrade
20,Shares Outstanding (Basic),1019,967,954,801,977,951,858,793,846,925,852,799,875,891,831,755,824,891,833,742,Upgrade
21,Shares Outstanding (Diluted),1019,967,954,801,977,951,858,793,846,925,852,799,875,891,831,755,824,891,833,742,Upgrade
22,Shares Change (YoY),4.32%,1.71%,11.21%,1.02%,15.49%,2.84%,0.68%,-0.72%,-3.34%,3.83%,2.56%,5.76%,6.26%,-0.04%,-0.27%,1.87%,-0.74%,-1.21%,4.93%,-6.15%,Upgrade
23,EPS (Basic),390.00,72.73,286.83,49.21,58.02,218.18,272.46,211.38,131.53,380.17,360.62,319.95,440.24,355.37,292.47,229.62,432.34,405.71,273.72,170.47,Upgrade
24,EPS (Diluted),390.00,72.73,280.84,49.21,56.22,218.18,268.08,211.38,130.59,380.17,360.62,319.38,440.24,355.37,291.18,227.24,432.34,405.71,272.66,170.47,Upgrade
25,EPS Growth,593.67%,-66.67%,4.76%,-76.72%,-56.95%,-42.61%,-25.66%,-33.81%,-70.34%,6.98%,23.85%,40.55%,1.83%,-12.41%,6.79%,33.30%,-3.09%,23.75%,163.95%,47.23%,Upgrade
26,Free Cash Flow,581769,-2341833,-50945,-2535473,-62171,-709153,60495,-1026116,1247385,-848231,-1008013,-499358,-761452,-20817,-48699,-822536,-1020569,689110,243356,202684,Upgrade
27,Free Cash Flow Per Share,570.79,-2420.75,-53.41,-3164.17,-63.63,-745.57,70.53,-1293.59,1474.39,-917.09,-1183.23,-625.01,-869.96,-23.37,-58.63,-1088.84,-1238.98,773.26,292.17,273.33,Upgrade
28,Gross Margin,44.36%,62.49%,77.56%,52.15%,65.91%,70.20%,84.20%,84.17%,30.36%,63.48%,67.94%,54.40%,82.31%,39.79%,38.34%,48.31%,65.16%,31.00%,53.07%,47.82%,Upgrade
29,Operating Margin,33.12%,35.90%,65.59%,35.25%,42.25%,50.66%,73.86%,66.07%,16.50%,51.78%,60.21%,3.39%,54.66%,36.01%,32.86%,34.32%,37.02%,27.56%,43.48%,33.88%,Upgrade
30,Profit Margin,19.41%,27.86%,42.45%,11.81%,12.22%,33.67%,39.83%,39.83%,9.02%,43.81%,41.94%,179.10%,65.24%,26.40%,21.85%,20.74%,27.58%,20.60%,29.05%,18.03%,Upgrade
31,Free Cash Flow Margin,28.41%,-927.25%,-7.90%,-759.21%,-13.41%,-115.05%,10.31%,-243.77%,101.08%,-105.68%,-137.61%,-349.87%,-128.92%,-1.74%,-4.38%,-98.33%,-79.05%,39.26%,31.01%,28.91%,Upgrade
32,EBITDA,680144,93616,425743,120210,199128,316260,437951,281319,208196,688374,444282,7918,325507,434337,368097,289678,482629,484543,343947,240066,Upgrade
33,EBITDA Margin,33.22%,37.07%,66.05%,36.00%,42.94%,51.31%,74.65%,66.83%,16.87%,85.76%,60.65%,5.55%,55.11%,36.22%,33.10%,34.63%,37.38%,27.61%,43.82%,34.24%,Upgrade
34,D&A For EBITDA,2036,2945,2985,2492,3183,3970,4638,3194,4581,272789,3212,3084,2682,2516,2658,2620,4739,775.72,2660,2573,Upgrade
35,EBIT,678108,90671,422759,117718,195945,312291,433314,278125,203615,415585,441070,4835,322826,431820,365439,287057,477891,483767,341287,237493,Upgrade
36,EBIT Margin,33.12%,35.90%,65.59%,35.25%,42.25%,50.66%,73.86%,66.07%,16.50%,51.78%,60.21%,3.39%,54.66%,36.01%,32.86%,34.32%,37.02%,27.56%,43.48%,33.88%,Upgrade
37,Effective Tax Rate,22.21%,10.33%,24.40%,37.09%,45.06%,17.79%,38.22%,29.55%,38.69%,28.61%,25.18%,3.27%,22.20%,20.93%,21.41%,22.70%,16.80%,22.89%,21.40%,24.35%,Upgrade
38,Revenue as Reported,2047530,252556,644538,333961,463759,616403,586678,420931,1234079,802659,732500,142726,590631,1199264,1111994,836479,1291033,1755118,784842,701076,Upgrade
39,Advertising Expenses,-,586.59,-,-,-,1592,-,-,-,427.82,-,-,-,198.99,-,-,-,6693,-,-,Upgrade
