,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+13 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+13 Quarters
0,Cash & Equivalents,41759,13404,8267,4450,3596,3950,10563,2882,45753,13782,4273,10212,15773,26801,46567,80209,19766,29713,12040,12876,Upgrade
1,Short-Term Investments,22663,21369,19849,14849,15258,13581,11807,11807,11285,11279,10789,10776,11044,24440,6986,5084,5084,7080,380,4110,Upgrade
2,Cash & Short-Term Investments,64423,34773,28116,19299,18854,17531,22371,14689,57037,25062,15063,20988,26817,51242,53554,85294,24851,36793,12420,16986,Upgrade
3,Cash Growth,241.70%,98.35%,25.68%,31.38%,-66.94%,-30.05%,48.52%,-30.01%,112.69%,-51.09%,-71.87%,-75.39%,7.91%,39.27%,331.21%,402.13%,355.18%,155.15%,-16.07%,-3.91%,Upgrade
4,Accounts Receivable,248879,220575,264753,190814,204622,150696,147029,148139,301479,305160,453415,378766,346021,432004,333460,246702,328739,486103,399372,329527,Upgrade
5,Other Receivables,119827,124291,122155,133279,139543,137195,134960,155605,156265,157889,149712,138661,128569,85006,85072,102701,93476,93524,112506,112517,Upgrade
6,Receivables,372555,348715,390757,329002,359714,311740,296838,307593,461573,466898,606975,522276,479439,517010,418532,349404,422215,579628,511878,442044,Upgrade
7,Inventory,2537952,2546701,2535619,2501400,2473783,2494221,2438663,2342163,2288056,1607683,1563842,1325893,1304069,1240661,1179514,1054423,1039850,803299,775070,765022,Upgrade
8,Prepaid Expenses,-1743,7033,6161,10496,10526,10652,10610,10872,10686,11195,10580,11026,9878,8190,7584,2038,9319,6863,8826,10333,Upgrade
9,Other Current Assets,338870,383250,352457,431968,422461,479918,506857,578731,522931,636892,601584,590256,633898,617926,661243,766547,389416,522766,473954,447708,Upgrade
10,Total Current Assets,3312057,3320473,3313110,3292165,3285339,3314062,3275339,3254048,3340283,2747730,2798043,2470439,2454100,2435028,2320428,2257706,1885651,1949348,1782147,1682092,Upgrade
11,"Property, Plant & Equipment",1063758,1077094,1069012,1092709,1096040,1117471,1123175,1107288,1112337,1132293,1137585,1143744,1019643,19869,21326,21769,23249,24734,24742,25082,Upgrade
12,Long-Term Investments,340275,229275,229275,229275,229275,229275,229275,229275,229275,229075,229665,229665,229665,206120,268770,268770,289270,79020,78120,211030,Upgrade
13,Goodwill,118552,122837,127122,131407,135692,139977,144262,148547,152832,157117,161402,165687,169972,-,-,-,-,-,-,-,Upgrade
14,Other Long-Term Assets,7725,4061,4910,5774,6638,7416,8279,748.36,838.35,1108,1265,1381,1436,171.95,257.79,200.23,303.2,410.59,519.67,668.91,Upgrade
15,Total Assets,4842366,4753740,4743429,4751330,4752985,4808201,4780330,4739907,4835564,4267323,4327960,4010916,3874815,2661189,2610782,2548445,2198472,2053513,1885529,1918873,Upgrade
16,Accounts Payable,144583,132170,114491,126051,136093,143481,91198,98854,135499,72627,165036,126053,219469,118139,53024,35530,133173,51519,33979,102841,Upgrade
17,Accrued Expenses,218024,184677,239687,223490,221267,352646,359396,278926,280638,87197,90078,23007,25093,32487,28997,37818,31515,9421,2769,230246,Upgrade
18,Short-Term Debt,546809,530770,538237,451342,515771,485593,472245,485918,493159,465889,377964,329667,228814,170556,158731,95076,228699,251802,110668,97732,Upgrade
19,Current Portion of Long-Term Debt,435790,302940,236918,257479,246330,187628,228428,202190,235121,230422,289770,272768,216823,252641,287173,287943,251224,88033,109833,18642,Upgrade
20,Current Income Taxes Payable,10055,9807,14722,11303,10389,5366,12593,8380,7807,4419,5125,5849,5910,4410,4345,10974,10469,3873,5346,5404,Upgrade
21,Other Current Liabilities,56506,195705,142419,133962,129552,157460,144998,125852,139073,213122,231686,248843,141623,66237,73252,77969,81908,50226,38387,29042,Upgrade
22,Total Current Liabilities,1411767,1356069,1286474,1203628,1259403,1332174,1308858,1200119,1291297,1073676,1159659,1006187,837733,644471,605523,545310,736988,454875,300982,483906,Upgrade
23,Long-Term Debt,1081138,1048378,1118878,1219668,1168328,1156425,1156425,1234508,1251883,910527,886890,737344,773541,282014,271912,274789,302806,452782,440497,292101,Upgrade
24,Long-Term Unearned Revenue,18165,18346,18527,18708,18889,19070,19251,15342,7157,-,-,-,-,-,-,-,-,-,-,-,Upgrade
25,Total Liabilities,2511070,2422793,2423880,2442004,2446620,2507669,2484534,2449969,2550337,1984204,2046549,1743531,1611274,926485,877435,820099,1039794,907657,741479,776007,Upgrade
26,Common Stock,2164813,2164813,2164813,2164813,2164813,2164813,2164813,2164813,2164813,2164813,2164813,2164813,2164813,1650313,1650313,1650313,1037500,1037500,1037500,1037500,Upgrade
27,Retained Earnings,158955,158636,147411,137230,134357,128283,123682,117970,113294,110926,109289,95544,91720,84390,83033,78033,121178,108356,106550,105366,Upgrade
28,Total Common Equity,2323768,2323450,2312224,2302044,2299170,2293096,2288495,2282783,2278107,2275739,2274102,2260357,2256533,1734704,1733347,1728346,1158678,1145856,1144050,1142866,Upgrade
29,Minority Interest,7527,7496,7325,7282,7195,7436,7301,7155,7120,7380,7309,7028,7008,-,-,-,-,-,-,-,Upgrade
30,Shareholders' Equity,2331295,2330946,2319550,2309326,2306365,2300532,2295796,2289938,2285227,2283120,2281411,2267385,2263541,1734704,1733347,1728346,1158678,1145856,1144050,1142866,Upgrade
31,Total Liabilities & Equity,4842366,4753740,4743429,4751330,4752985,4808201,4780330,4739907,4835564,4267323,4327960,4010916,3874815,2661189,2610782,2548445,2198472,2053513,1885529,1918873,Upgrade
32,Total Debt,2063737,1882088,1894033,1928489,1930429,1829645,1857098,1922616,1980163,1606839,1554625,1339779,1219179,705212,717816,657808,782729,792617,660998,408475,Upgrade
33,Net Cash (Debt),-1999315,-1847315,-1865917,-1909190,-1911575,-1812114,-1834728,-1907926,-1923126,-1581777,-1539562,-1318792,-1192362,-653970,-664263,-572514,-757878,-755824,-648579,-391489,Upgrade
34,Net Cash Per Share,-9239.92,-8533.37,-8619.30,-8819.19,-8830.21,-8370.76,-6716.53,-6985.81,-7043.96,-5791.46,-5637.44,-4827.00,-6538.23,-3962.43,-3089.23,-3469.12,-6957.09,-6939.43,-3932.50,-3593.86,Upgrade
35,Filing Date Shares Outstanding,216.48,216.48,216.48,216.48,216.48,216.48,216.48,216.48,216.48,216.48,216.48,216.48,216.48,165.03,165.03,165.03,108.94,108.94,108.94,108.94,Upgrade
36,Total Common Shares Outstanding,216.48,216.48,216.48,216.48,216.48,216.48,216.48,216.48,216.48,216.48,216.48,216.48,216.48,165.03,165.03,165.03,108.94,108.94,108.94,108.94,Upgrade
37,Working Capital,1900289,1964404,2026636,2088537,2025936,1981889,1966481,2053929,2048986,1674054,1638384,1464252,1616366,1790557,1714905,1712395,1148662,1494474,1481166,1198186,Upgrade
38,Book Value Per Share,10734.27,10732.80,10680.94,10633.91,10620.64,10592.58,10571.33,10544.94,10523.34,10512.40,10504.84,10441.35,10423.69,10511.36,10503.14,10472.84,10636.17,10518.47,10501.89,10491.02,Upgrade
39,Tangible Book Value,2205216,2200613,2185102,2170636,2163478,2153119,2144233,2134236,2125275,2118622,2112700,2094670,2086561,1734704,1733347,1728346,1158678,1145856,1144050,1142866,Upgrade
40,Tangible Book Value Per Share,10186.63,10165.37,10093.72,10026.90,9993.83,9945.98,9904.93,9858.75,9817.36,9786.63,9759.27,9675.98,9638.53,10511.36,10503.14,10472.84,10636.17,10518.47,10501.89,10491.02,Upgrade
41,Buildings,885549,885549,844870,844870,861178,844870,861892,838974,838974,838974,838974,838743,466014,-,-,-,-,-,-,-,Upgrade
42,Machinery,357243,357243,357977,357977,357977,357977,357263,342352,342108,342108,342108,333339,183351,36648,36648,36570,36570,367.09,35668,34574,Upgrade
43,Construction In Progress,1102,1102,1102,1102,1102,1102,1102,1102,1102,-,-,-,389741,-,-,-,-,-,-,-,Upgrade
