,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+13 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+13 Quarters
0,Market Capitalization,8367004,8323707,8150522,8507716,8161346,8583485,8507716,8247939,8258763,8226291,7717560,7403662,7879921,6959875,5025204,4769406,4059771,2647181,3205875,3413375,2853125,Upgrade
1,Market Cap Growth,-3.03%,-3.03%,-4.20%,3.15%,-1.18%,4.34%,10.24%,11.40%,4.81%,18.20%,53.58%,55.23%,94.10%,162.92%,56.75%,39.73%,42.29%,-7.55%,16.17%,-,-,Upgrade
2,Enterprise Value,10373846,10178519,10023764,10424189,10080115,10403034,10349746,10163020,10189009,9815448,9264430,8729481,9079290,7613845,5689467,5341920,4817649,3403005,3854454,3804864,3214369,Upgrade
3,Last Close Price,38650.00,38450.00,37650.00,39300.00,37700.00,39650.00,39300.00,38100.00,38150.00,38000.00,35650.00,34200.00,36400.00,32150.00,30450.00,28900.00,24600.00,24300.00,22152.06,23585.85,19714.62,Upgrade
4,PE Ratio,321.26,320.35,268.52,358.53,423.73,407.52,490.15,529.58,347.72,378.76,289.26,278.54,478.64,308.66,179.21,175.81,165.42,120.81,338.50,244.83,161.52,Upgrade
5,PS Ratio,5.81,5.78,5.94,6.25,6.67,6.52,6.67,6.45,5.83,6.12,5.84,6.13,6.92,6.29,3.51,3.20,3.00,2.02,3.48,3.68,3.01,Upgrade
6,PB Ratio,3.60,3.57,3.50,3.67,3.53,3.72,3.70,3.59,3.61,3.60,3.38,3.25,3.48,3.07,2.90,2.75,2.35,2.28,2.80,2.98,2.50,Upgrade
7,P/TBV Ratio,3.77,3.77,3.70,3.89,3.76,3.97,3.95,3.85,3.87,3.87,3.64,3.50,3.76,3.34,2.90,2.75,2.35,2.28,2.80,2.98,2.50,Upgrade
8,P/FCF Ratio,-,-,-1729.74,-163.82,-,-,-,-27.77,-13.98,-,-,-,-,-15.53,-,-,-,-7.56,-,-,-,Upgrade
9,P/OCF Ratio,1099.49,-,-1086.26,-167.87,-,-,-44.60,-37.49,-18.78,-,-,-,-,-24.26,-,-,-,-7.62,-,-,-,Upgrade
10,EV/Sales Ratio,7.21,7.07,7.31,7.65,8.24,7.91,8.11,7.95,7.19,7.31,7.01,7.23,7.97,6.88,3.98,3.58,3.56,2.60,4.18,4.11,3.39,Upgrade
11,EV/EBITDA Ratio,56.66,55.59,42.66,50.54,56.66,59.17,77.97,75.32,68.56,64.29,76.36,94.26,160.73,268.74,126.77,108.78,131.40,77.12,112.23,111.41,75.28,Upgrade
12,EV/EBIT Ratio,81.57,80.04,70.60,77.24,96.87,99.74,131.44,124.92,100.16,96.57,104.37,136.63,218.56,356.83,145.94,123.69,156.49,88.85,134.87,133.26,85.05,Upgrade
13,EV/FCF Ratio,-645.66,-,-2127.29,-200.72,-,-,-,-34.21,-17.24,-,-,-,-,-16.99,-,-,-,-9.72,-,-,-,Upgrade
14,Debt / Equity Ratio,0.89,0.89,0.81,0.82,0.84,0.84,0.80,0.81,0.84,0.87,0.70,0.68,0.59,0.54,0.41,0.41,0.38,0.68,0.69,0.58,0.36,Upgrade
15,Debt / EBITDA Ratio,11.27,18.95,7.67,7.19,16.86,6.10,13.99,12.37,18.13,13.75,11.51,7.59,10.96,65.35,28.52,11.90,68.29,9.23,19.04,62.74,10.35,Upgrade
16,Debt / FCF Ratio,-,-,-399.42,-36.47,-,-,-,-6.25,-3.25,-,-,-,-,-2.72,-,-,-,-2.24,-,-,-,Upgrade
17,Asset Turnover,0.36,0.26,0.39,0.20,0.31,0.25,0.27,0.28,0.29,0.28,0.44,0.26,0.37,0.28,0.61,0.38,1.19,0.50,0.53,0.37,Upgrade,
18,Inventory Turnover,0.51,0.63,0.41,-,0.34,0.50,0.42,-,0.52,0.62,0.65,1.14,0.68,0.92,0.58,1.34,0.80,2.58,1.16,1.27,0.84,Upgrade
19,Quick Ratio,0.31,0.31,0.28,0.32,0.29,0.29,0.23,0.23,0.27,0.40,0.45,0.53,0.54,0.60,0.88,0.78,0.80,0.61,1.36,1.74,0.95,Upgrade
20,Current Ratio,2.35,2.35,2.45,2.58,2.74,2.61,2.49,2.50,2.71,2.59,2.56,2.41,2.46,2.93,3.78,3.83,4.14,2.56,4.29,5.92,3.48,Upgrade
21,Return on Equity (ROE),0.30%,1.96%,1.77%,0.51%,1.01%,0.82%,1.02%,0.82%,0.37%,0.51%,2.49%,0.47%,1.47%,0.63%,0.87%,2.42%,4.45%,0.63%,0.41%,2.14%,Upgrade,
