,Fiscal Quarter,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,+20 Quarters
,Period Ending,"Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Jan '14 Jan 1, 2014","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Jan '13 Jan 1, 2013","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Jan '12 Jan 1, 2012","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011","Mar '11 Mar 31, 2011","Dec '10 Dec 31, 2010",+20 Quarters
0,Cash & Equivalents,13036,11081,17379,23977,24014,20207,13205,18025,28769,28698,20910,25458,25539,20811,18154,42802,38198,34498,-,34403,Upgrade
1,Short-Term Investments,13729,12020,5500,4547,5677,5511,2381,5292,2292,-,-,-,5592,-,14456,5000,5000,5000,-,6000,Upgrade
2,Cash & Short-Term Investments,26765,23101,22879,28524,29691,25718,15586,23317,31061,28698,20910,25458,31131,20811,32610,47802,43198,39498,40403,40403,Upgrade
3,Cash Growth,-9.86%,-10.18%,46.79%,22.33%,-4.41%,-10.38%,-25.46%,-8.41%,-0.22%,37.90%,-35.88%,-46.74%,-27.93%,-47.31%,-19.29%,18.31%,11.63%,4.83%,-0.32%,-8.26%,Upgrade
4,Accounts Receivable,42578,42890,26426,26997,21226,19709,17343,16425,16156,23157,17291,21320,8197,12388,20059,21540,23863,25169,-,21655,Upgrade
5,Other Receivables,5618,5933,402.31,355.93,612.4,602.87,637.9,679.5,319.38,405.01,5125,365.81,1899,837.15,2872,567.24,1694,1498,-,5598,Upgrade
6,Receivables,48196,48823,26828,27353,21839,20312,17981,17105,16475,23562,22416,21686,10096,13225,22931,22107,25556,26667,-,27253,Upgrade
7,Inventory,22756,24642,32170,29324,26440,27327,32187,31826,31067,30749,33522,30353,30541,28443,27465,30142,26734,23778,-,22046,Upgrade
8,Prepaid Expenses,-,-,-,211.43,161.4,161.4,1143,829.69,1496,1300,1237,478.74,1824,1510,1330,579.56,1028,1202,-,821.97,Upgrade
9,Other Current Assets,565.76,2663,1720,3294,3385,1572,1499,3616,4144,3324,5520,2690,8897,5383,14945,7492,5170,5132,-,6609,Upgrade
10,Total Current Assets,98282,99228,83596,88707,81516,75090,68397,76693,84243,87632,83606,80665,82489,69370,99282,108122,101685,96277,-,97133,Upgrade
11,"Property, Plant & Equipment",86847,79135,72014,71838,67688,70517,74431,77565,78950,71752,70731,70128,75053,77958,80343,82829,84841,88523,-,94995,Upgrade
12,Long-Term Investments,-,-,14.48,-,-,-,-,-,-,-,-,-,-,-,-,1003,981.57,965.36,-,1001,Upgrade
13,Other Intangible Assets,956.35,1019,1082,1145,1208,1271,1334,1397,1483,1570,1582,1680,1325,1397,1195,1273,1354,1218,-,1392,Upgrade
14,Long-Term Accounts Receivable,716.22,716.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
