,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,94573,90670,161957,76246,144969,67451,66744,115695,103260,177903,233365,114331,63822,52041,555553,110234,183580,72378,181225,206396,Upgrade
1,Revenue Growth (YoY),-34.76%,34.42%,142.65%,-34.10%,40.39%,-62.09%,-71.40%,1.19%,61.79%,241.85%,-57.99%,3.72%,-65.23%,-28.10%,206.55%,-46.59%,-31.74%,46.21%,68.05%,19.59%,Upgrade
2,Cost of Revenue,54600,46083,68296,35605,69062,35053,32660,57270,59241,83521,175438,54214,35692,26352,254848,53055,89698,36506,111481,112434,Upgrade
3,Gross Profit,39974,44588,93661,40641,75907,32398,34084,58425,44018,94382,57927,60117,28130,25689,300705,57179,93882,35872,69743,93962,Upgrade
4,"Selling, General & Admin",17749,15087,16534,14225,19268,15083,16268,12947,19918,14667,13651,11479,412.18,11307,33859,14540,24227,13450,18938,19286,Upgrade
5,Operating Expenses,17749,15087,16534,14225,19268,15083,16268,12947,19918,14667,13651,11479,412.18,11307,33859,14540,24227,13450,18938,19286,Upgrade
6,Operating Income,22224,29501,77126,26416,56639,17315,17816,45478,24100,79715,44276,48637,27718,14381,266846,42638,69655,22422,50805,74676,Upgrade
7,Interest Expense,-3481,-3104,-3564,-3700,-4088,-4170,-3503,-23681,-3225,-3262,-3533,-3501,-3786,-3929,-3998,-4077,-4229,-4202,-3999,-3201,Upgrade
8,Interest & Investment Income,5955,23775,10962,16736,22865,24870,20339,-,8813,13893,8790,12553,8505,13810,7163,3790,10959,10099,8818,4421,Upgrade
9,Earnings From Equity Investments,-,-,-,-,-,-,-,-,2618,1958,1248,2454,-96.74,1762,-107.96,2896,3233,1590,30.4,4157,Upgrade
10,Currency Exchange Gain (Loss),130.37,-,-,-,1131,-,35,-35,1656,25.6,908.5,-,-700.23,-,-196.65,-,-160.37,-,-,-,Upgrade
