,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,69263299,67421112,80519890,72364745,44154914,35557206,16859802,28174321,29476740,35686257,56285047,41524444,29106606,46209460,29943704,37426255,46088418,24760025,35397630,41978687,Upgrade
1,Investment Securities,211220346,200294374,170585738,142489833,150350419,157535546,186718682,195627566,161222264,143848241,132620978,136828658,129622036,120705607,110930931,101311444,100617778,94612415,88771354,82539887,Upgrade
2,Trading Asset Securities,7931655,14435623,12308272,30565331,44392082,35880219,23074865,3910585,4175053,6120895,8141351,5940182,7849568,3769848,4300624,3633495,3122333,1302244,1518915,1374348,Upgrade
3,Total Investments,219152001,214729997,182894010,173055164,194742501,193415765,209793547,199538151,165397317,149969136,140762329,142768840,137471604,124475455,115231555,104944939,103740111,95914659,90290269,83914235,Upgrade
4,Gross Loans,791600955,720577628,693764870,631431180,625602508,551373920,532810552,496143131,477969117,446669344,437048355,439189771,393730778,359171157,348327321,339837683,310133021,282653736,272950382,260058623,Upgrade
5,Allowance for Loan Losses,-11615727,-10792497,-11221991,-12403144,-11649916,-12464629,-11677214,-11687426,-11976555,-9498473,-11098622,-10409884,-8898053,-7460493,-5986528,-5329385,-4354219,-4797231,-4329801,-3907693,Upgrade
6,Net Loans,779985228,709785131,682542879,619028036,613952592,538909291,521133338,484455705,465992562,437170871,425949733,428779887,384832725,351710664,342340793,334508298,305778802,277856505,268620581,256150930,Upgrade
7,"Property, Plant & Equipment",4587255,4200802,4049347,4173405,4002455,3957645,4028465,3936523,3942640,3573890,3571004,3584551,3652790,3685756,3745260,3700514,3696996,3840176,3770239,3721278,Upgrade
8,Goodwill,9523,9523,9523,9523,19045,19045,19045,19045,28568,28568,28568,38090,38090,38090,38090,38090,47613,47613,47613,57135,Upgrade
9,Other Intangible Assets,1679720,1607358,1629112,1666263,1659782,1592267,1644588,1609857,1615947,1403752,1418513,1441282,1464541,1326439,1295810,1271754,1222395,1190213,1171515,1166332,Upgrade
10,Investments in Real Estate,234115,235660,237204,238749,240294,231594,233122,234649,236177,237705,239233,267120,268999,243332,244854,246376,247898,30813,30813,30813,Upgrade
11,Accrued Interest Receivable,8918622,8713821,8375659,7796674,8668557,9981464,9384707,8269956,6786414,6033103,5390738,4945983,4599328,4750599,4554229,3974989,3782321,-,3628956,3583537,Upgrade
12,Other Receivables,11291187,6061025,8121202,5656362,7303286,5883914,10452697,10285132,11655589,6171795,5969166,5565169,5685106,7419814,10325576,14641503,11685313,13008473,7513827,6641187,Upgrade
13,Restricted Cash,27776974,8807729,16270198,10511176,64940204,20496198,26809319,17888730,38747172,11016944,12792707,15149108,36564145,12675961,13305570,7860320,16237916,7305709,8242122,6081593,Upgrade
14,Other Current Assets,-,767877,3657908,303898,5117188,199887,229867,224542,4554630,-,346104,286442,3365803,-,2198895,-,2412079,785960,2492408,1030525,Upgrade
15,Long-Term Deferred Tax Assets,38912,35062,34275,29756,28710,14378,10732,10785,10986,15425,16843,7697,537,1774,14998,5408,3436,3221,2534,3858,Upgrade
16,Other Real Estate Owned & Foreclosed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,402382,-,Upgrade
17,Other Long-Term Assets,5864226,6444111,263687,5813390,124112,5621881,5638358,6114009,87631,5496779,5504411,4681181,90145,3057344,95152,2339050,38864,2431958,24794,2442572,Upgrade
18,Total Assets,1128801062,1028819208,988604894,900647141,944953640,815880535,806237587,760761405,728532373,656804225,658274396,649039794,607140419,555594688,523334486,510957496,494982162,427175325,421635683,406802682,Upgrade
19,Accounts Payable,-,31511409,36420087,32889052,-,-,-,25917432,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
20,Accrued Expenses,-,-,2888991,-,15545088,-,-,-,11821157,-,-,-,2232402,-,7768435,-,10529789,-,8122743,-,Upgrade
21,Interest Bearing Deposits,517385184,482501313,458481531,413959519,406798608,352028124,363274228,345778666,307788113,257609218,253034365,267313942,227120342,255284272,235849829,236714836,220143865,199009692,291834428,210229925,Upgrade
22,Non-Interest Bearing Deposits,284441190,233416983,240151404,200243945,229555590,169485299,171429698,151830154,168908619,148225742,166750639,164115531,171704735,124248055,119128685,111708818,115816020,95790698,6094446,77918511,Upgrade
23,Total Deposits,801826374,715918296,698632935,614203464,636354198,521513423,534703926,497608820,476696732,405834960,419785004,431429473,398825077,379532327,354978514,348423654,335959885,294800390,297928874,288148436,Upgrade
24,Short-Term Borrowings,191545,-,1076174,381529,-,22977,-,30603,-,-,-,-,-,-,-,127008,-,112356,136818,-,Upgrade
25,Current Portion of Long-Term Debt,78903119,77100000,75627200,78960581,101066598,86891526,76490499,68217234,60837231,68636333,60159476,51263126,-,25363744,25659126,25990985,-,18943762,16922551,18851852,Upgrade
26,Current Income Taxes Payable,-,-,-,-,3322906,-,-,-,3127484,-,-,-,901387,-,1516469,-,543357,-,921798,-,Upgrade
27,Accrued Interest Payable,9899902,8824156,9023978,11905173,13390191,12928268,11092860,9922329,7688257,6248274,5683899,5437266,5077890,5088569,5026385,4706344,4765744,4673636,5077349,4760407,Upgrade
28,Other Current Liabilities,-,-,-,-,-,36590644,-,-,18947177,30299679,28401297,25901164,23042270,25733086,5569411,-,10383725,-,2438983,-,Upgrade
29,Long-Term Debt,83508342,81058593,58634829,58407143,59193958,66169699,65441374,71945400,69801089,69874407,73337890,67945205,114575370,61029569,56578866,49656862,77023228,38736549,36551233,35186728,Upgrade
30,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,-,-,-,660,-,-,-,-,474,4651,4651,13194,7012,17651,Upgrade
31,Other Long-Term Liabilities,37412199,4383556,2086752,2558775,19369542,1003,32439804,2352104,27,36,24,12,-,-,10302035,28324227,5672288,21641444,7729821,15853558,Upgrade
32,Total Liabilities,1011741481,918796010,884390946,799305717,848242481,724117540,720168463,675993922,648919154,580894349,587367590,581976246,544654396,496747295,467399715,457233731,444882667,378921331,375837182,362818632,Upgrade
