,Fiscal Quarter,Q4 2024,Q3 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+3 Quarters
0,Cash & Equivalents,55482128,49149221,51472451,52324338,45325952,45506165,37039061,30757191,25163446,20032261,17579638,21433292,-,18683499,-,16934995,16934995,17853937,17853937,20825715,Upgrade
1,Investment Securities,65581886,62290219,46623081,37890409,32047502,26921362,35302611,31544778,30016490,41802935,46037105,48236169,-,46813316,-,55698963,55698963,53734816,53734816,45654485,Upgrade
2,Trading Asset Securities,-,-,-,-,9712,22104,336788,468019,233028,85305,32764,23487,-,52560,-,21050,21050,55796,55796,55796,Upgrade
3,Total Investments,65581886,62290219,46623081,37890409,32057214,26943466,35639399,32012797,30249518,41888240,46069869,48259656,-,46865876,-,55720013,55720013,53790612,53790612,45710281,Upgrade
4,Gross Loans,184964415,178926830,164888357,158910371,152774387,146332261,144414872,130523502,124720466,119985031,118625530,115095351,-,94486444,-,81587991,81587991,73538949,73538949,65729978,Upgrade
5,Allowance for Loan Losses,-3039456,-3092786,-2657711,-2362747,-2415189,-2230224,-1805140,-1430921,-1608766,-1401174,-1735520,-1686808,-,-1079232,-,-843011,-843011,-1176886,-1176886,-998967,Upgrade
6,Net Loans,181924959,175834044,162230646,156547624,150359198,144102037,142609732,129092581,123111700,118583857,116890010,113408543,-,93407212,-,80744980,80744980,72362063,72362063,64731011,Upgrade
7,"Property, Plant & Equipment",504383,448930,380826,373889,362218,338019,296177,269425,271659,254502,279688,245158,-,113216,-,127909,127909,145145,145145,161256,Upgrade
8,Goodwill,5142,7651,12642,15124,17640,20156,22645,25106,27622,30138,32627,35088,-,40121,-,45071,45071,50089,50089,55054,Upgrade
