,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,101259954,100684613,108883218,107444866,106168581,95866508,109173352,107064104,110765788,132406405,140948754,159457176,167872705,201872240,168344920,131512091,108658635,104429758,64137962,63240256,57278605,Upgrade
1,Market Cap Growth,5.03%,5.03%,-0.27%,0.36%,-4.15%,-27.60%,-22.54%,-32.86%,-34.02%,-34.41%,-16.27%,21.25%,54.50%,93.31%,162.47%,107.96%,89.70%,58.12%,-30.10%,-34.82%,-41.58%,Upgrade
2,Enterprise Value,158291362,154942135,160905945,169204707,165260358,161863294,175081017,172772480,175668771,196895250,198762842,214830206,214265188,262565529,226379401,197731913,171502335,158150216,113977211,96425107,88817941,Upgrade
3,Last Close Price,70400.00,70000.00,75700.00,74700.00,74200.00,67000.00,76300.00,75200.00,77800.00,93000.00,99000.00,111181.74,117634.25,141458.90,117777.30,91223.72,75746.81,72798.82,44181.96,43777.37,39650.48,Upgrade
4,PE Ratio,52.35,50.37,80.17,152.31,344.55,228.97,133.85,81.70,50.67,37.12,14.75,15.69,16.84,23.58,70.40,62.76,72.47,84.63,26.54,16.67,-,Upgrade
5,Forward PE,27.94,29.82,36.71,54.77,48.41,33.08,25.39,30.08,28.88,18.31,20.86,25.27,28.26,41.17,43.03,42.45,54.24,80.86,62.19,28.72,39.88,Upgrade
6,PS Ratio,1.26,1.21,1.34,1.34,1.35,1.23,1.40,1.38,1.44,1.74,1.78,1.91,1.93,2.28,1.95,1.58,1.37,1.35,0.96,1.14,1.22,Upgrade
7,PB Ratio,3.35,2.47,2.64,2.33,2.73,2.51,2.87,2.85,2.99,3.61,3.96,4.11,4.57,4.77,5.20,4.18,4.28,4.17,2.24,2.03,1.11,Upgrade
8,P/TBV Ratio,5.91,5.91,8.01,5.83,9.55,9.03,10.40,10.67,11.51,14.62,16.73,12.50,15.50,10.77,41.51,37.43,-,-,25.04,13.57,2.16,Upgrade
9,P/FCF Ratio,15.76,15.67,90.59,110.58,-,-,-55.12,-17.62,-,-,-,-,-,-,201.80,-110.94,-,-,-,-,-,Upgrade
10,P/OCF Ratio,10.57,10.57,33.84,44.04,-,-,123.82,-40.16,-,-,-,-170.45,-,-,41.82,49.61,78.72,77.28,12.84,-,8.73,Upgrade
11,PEG Ratio,0.23,1.41,1.41,1.41,1.41,1.41,1.41,1.34,0.98,0.62,0.61,0.42,0.37,2.12,2.12,2.12,3.25,4.84,3.72,1.15,1.60,Upgrade
12,EV/Sales Ratio,1.90,1.86,1.98,2.12,2.11,2.07,2.24,2.23,2.29,2.58,2.50,2.57,2.47,2.96,2.62,2.38,2.16,2.05,1.71,1.74,1.90,Upgrade
13,EV/EBITDA Ratio,10.73,15.17,18.57,20.42,20.64,19.55,19.81,19.92,19.81,21.69,19.55,19.65,19.11,24.06,23.27,22.99,24.31,25.24,18.71,16.60,12.94,Upgrade
