,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,24156890,21094681,22086594,16875764,17616393,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,Last Close Price,17600.00,15950.00,16700.00,12760.00,13320.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,PE Ratio,6.51,5.85,6.00,5.32,6.21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,PS Ratio,2.78,2.50,2.60,2.18,2.39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,PB Ratio,1.25,1.09,1.15,1.00,1.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,Debt / Equity Ratio,1.30,1.30,1.30,1.40,1.40,1.36,0.08,0.09,0.09,1.14,0.04,0.04,0.04,0.06,0.06,0.06,0.07,0.07,-,-,-
6,Debt / FCF Ratio,-,-,-,-,-,-1.83,-,-,-,-,-,-,-,-,-0.03,-0.02,-,-,-,-,-
7,Return on Equity (ROE),19.05%,20.28%,20.89%,22.00%,26.87%,11.87%,17.99%,18.85%,10.44%,18.10%,14.50%,21.26%,15.14%,14.68%,27.18%,-,-,-,-,-,
8,Return on Assets (ROA),1.50%,1.55%,1.55%,1.61%,1.90%,0.82%,1.23%,1.31%,0.74%,1.27%,1.01%,1.31%,0.80%,0.77%,1.38%,-,-,-,-,-,
9,Earnings Yield,14.93%,17.10%,16.65%,18.81%,16.45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,FCF Yield,-63.63%,-72.87%,-31.26%,-34.17%,-42.97%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.01%,0.01%,0.01%,0.00%,0.00%,0.03%,0.06%,0.02%,0.05%,0.02%,0.06%,0.03%,0.34%,0.13%
12,Buyback Yield / Dilution,-0.93%,-1.86%,-,-,-,-25.00%,-,-,-,-,-,-33.42%,-,-,-,-17.25%,-,-,-,-,-
13,Total Shareholder Return,-0.93%,-1.86%,-,-,-,-25.00%,-,-,-,-,-,-33.42%,-,-,-,-17.25%,-,-,-,-,-
