,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,327896,358271,440914,310662,377906,507216,445756,402447,420925,547077,491179,307327,411419,410078,489271,303885,289342,278271,346615,288441,Upgrade
1,Revenue Growth (YoY),-13.23%,-29.37%,-1.09%,-22.81%,-10.22%,-7.29%,-9.25%,30.95%,2.31%,33.41%,0.39%,1.13%,42.19%,47.37%,41.16%,5.35%,16.45%,5.35%,8.22%,37.99%,Upgrade
2,Cost of Revenue,248494,261379,305030,218408,244471,379397,318856,320857,327086,439900,370773,252895,334389,333085,403363,252352,225162,225357,275575,221691,Upgrade
3,Gross Profit,79402,96891,135883,92253,133435,127819,126900,81590,93838,107177,120405,54432,77029,76994,85908,51533,64180,52913,71040,66751,Upgrade
4,"Selling, General & Admin",44043,52473,77726,68840,81563,104299,59491,60024,80693,62423,73026,40236,50567,50282,48688,33060,39338,25138,34353,44720,Upgrade
5,Operating Expenses,44043,52473,77726,68840,81563,104299,59491,60024,80693,62423,73026,40236,50567,50282,48688,33060,39338,25138,34353,44720,Upgrade
6,Operating Income,35359,44419,58158,23413,51872,23520,67409,21566,13145,44753,47380,14196,26462,26712,37219,18473,24842,27775,36687,22031,Upgrade
7,Interest Expense,-13112,-18329,-11610,-10597,-10570,-16490,-13004,-15501,-8566,-5058,-6323,-10450,-5181,-7083,-8458,-11349,-13626,-10972,-10010,-6918,Upgrade
8,Interest & Investment Income,14607,8719,-,2501,9417,32527,8686,-,1356,6136,5232,-,1299,4164,10476,-,3430,1316,1393,-,Upgrade
9,Earnings From Equity Investments,-,-,-,-,-,544.42,-544.42,-,240.64,-,-1015,-,958.01,-,-868.48,-14.5,87.36,-,-382.29,484.68,Upgrade
10,Currency Exchange Gain (Loss),-,-,1645,2665,-9307,-,-,1485,-9.78,-,-,1463,399.53,-,-0.03,2284,-6514,-,-,-502.02,Upgrade
11,Other Non Operating Income (Expenses),-4261,-27.46,10057,-689.62,-20177,2356,-8707,7312,-275.5,-4007,-10223,4953,-9808,1049,-5102,4037,-229.9,-1080,-4268,1419,Upgrade
12,EBT Excluding Unusual Items,32593,34781,58250,17292,21235,42457,53840,14862,5891,41824,35050,10162,14129,24842,33267,13431,7990,17039,23419,16515,Upgrade
13,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,-,4920,-,-708.7,543.42,132.14,-,-,-3.78,Upgrade
14,Pretax Income,32593,34781,58250,17292,21235,42457,53840,14862,5891,41824,35050,10162,19049,24842,32558,13974,8122,17039,23419,16511,Upgrade
15,Income Tax Expense,6589,6667,7888,3664,7004,8295,5559,1606,692.79,6272,5508,611.37,2010,4314,4098,2395,-2381,3510,2154,492.62,Upgrade
16,Earnings From Continuing Operations,26004,28115,50363,13628,14230,34162,48281,13256,5198,35552,29542,9550,17039,20528,28460,11579,10503,13528,21265,16018,Upgrade
17,Minority Interest in Earnings,-34.41,-57.33,-80.15,-19.57,29.87,-113.67,-54.91,-60.02,-3.25,-77.52,-40.59,-7.6,-19.96,-47.02,-50.24,4.32,-35.74,-1.01,-56.26,-32,Upgrade
18,Net Income,25970,28057,50282,13609,14260,34049,48226,13196,5195,35474,29501,9543,17019,20481,28410,11583,10468,13527,21208,15986,Upgrade
19,Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,21386,-,-,-,44337,-,-,-,-,-,-,-,Upgrade
20,Net Income to Common,25970,28057,50282,13609,14260,34049,48226,13196,-16192,35474,29501,9543,-27319,20481,28410,11583,10468,13527,21208,15986,Upgrade
21,Net Income Growth,82.11%,-17.60%,4.26%,3.13%,174.53%,-4.02%,63.47%,38.28%,-69.48%,73.21%,3.84%,-17.62%,62.59%,51.40%,33.95%,-27.54%,-32.13%,-24.58%,129.45%,202.79%,Upgrade
22,Shares Outstanding (Basic),52,56,56,56,56,56,56,56,69,69,69,69,66,66,66,66,64,64,63,63,Upgrade
23,Shares Outstanding (Diluted),52,56,56,56,56,56,56,56,69,69,69,69,66,66,66,66,64,64,63,63,Upgrade
24,Shares Change (YoY),-6.16%,0.65%,1.51%,-0.02%,-19.41%,-19.56%,-19.64%,-19.65%,3.79%,5.03%,4.95%,5.05%,3.49%,3.59%,5.41%,5.45%,22.08%,28.93%,29.10%,38.68%,Upgrade
25,EPS (Basic),498.00,500.91,890.80,244.67,256.61,611.82,867.27,237.18,-234.82,512.73,426.36,137.83,-411.20,310.91,430.91,175.74,163.06,212.73,339.09,255.78,Upgrade
26,EPS (Diluted),498.00,500.91,890.80,244.67,256.61,611.82,867.27,237.18,-234.82,512.73,426.36,137.83,-411.20,310.91,430.91,175.74,163.06,212.73,339.09,255.78,Upgrade
27,EPS Growth,94.07%,-18.13%,2.71%,3.16%,-,19.33%,103.41%,72.09%,-,64.91%,-1.05%,-21.58%,-,46.15%,27.08%,-31.29%,-44.41%,-41.50%,77.72%,118.33%,Upgrade
28,Free Cash Flow,21932,37188,-38762,-6131,-288898,304203,-8887,-33268,-63143,-24065,20364,-15168,-19076,27838,-21245,16427,-9910,-11774,57314,-22770,Upgrade
29,Free Cash Flow Per Share,420.57,663.92,-686.71,-110.22,-5198.62,5466.23,-159.82,-597.98,-915.74,-347.82,294.31,-219.07,-287.14,422.59,-322.24,249.23,-154.38,-185.16,916.37,-364.32,Upgrade
30,Gross Margin,24.22%,27.04%,30.82%,29.70%,35.31%,25.20%,28.47%,20.27%,22.29%,19.59%,24.51%,17.71%,18.72%,18.78%,17.56%,16.96%,22.18%,19.02%,20.50%,23.14%,Upgrade
31,Operating Margin,10.78%,12.40%,13.19%,7.54%,13.73%,4.64%,15.12%,5.36%,3.12%,8.18%,9.65%,4.62%,6.43%,6.51%,7.61%,6.08%,8.59%,9.98%,10.58%,7.64%,Upgrade
32,Profit Margin,7.92%,7.83%,11.40%,4.38%,3.77%,6.71%,10.82%,3.28%,-3.85%,6.48%,6.01%,3.11%,-6.64%,4.99%,5.81%,3.81%,3.62%,4.86%,6.12%,5.54%,Upgrade
33,Free Cash Flow Margin,6.69%,10.38%,-8.79%,-1.97%,-76.45%,59.98%,-1.99%,-8.27%,-15.00%,-4.40%,4.15%,-4.94%,-4.64%,6.79%,-4.34%,5.41%,-3.43%,-4.23%,16.54%,-7.89%,Upgrade
34,EBITDA,74935,52271,81188,45910,77460,40364,76419,30846,19416,52738,55180,21348,33867,33509,43587,24748,32411,31761,42471,27632,Upgrade
