,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,626912,515120,489912,417576,392368,420864,390176,398944,413192,467992,427440,366064,580880,613760,626912,569920,720072,859264,1028048,999552,927216,Upgrade
1,Market Cap Growth,22.40%,22.40%,25.56%,4.67%,-5.04%,-10.07%,-8.72%,8.98%,-28.87%,-23.75%,-31.82%,-35.77%,-19.33%,-28.57%,-39.02%,-42.98%,-22.34%,-19.34%,-6.39%,-14.45%,-15.74%,Upgrade
2,Enterprise Value,437953,358745,345337,270567,256404,297477,267845,295516,300032,399359,340862,286910,498896,529254,533171,455093,669267,769997,976789,951666,894887,Upgrade
3,Last Close Price,28600.00,23500.00,22350.00,18635.87,17510.87,18782.61,17413.04,17352.46,17972.19,20355.77,18591.92,15922.31,25265.95,26696.09,27268.15,24789.23,29639.87,35369.34,37998.84,36945.57,34271.87,Upgrade
4,PE Ratio,9.90,8.13,9.71,9.07,11.27,12.27,6.91,8.30,8.89,11.25,28.32,24.92,25.79,17.27,10.95,6.94,6.87,7.63,8.85,8.83,8.61,Upgrade
5,PS Ratio,2.24,1.84,2.05,1.92,1.98,2.39,2.70,3.36,4.57,5.81,5.35,4.72,4.82,3.86,2.77,1.89,1.99,2.14,2.31,2.06,1.84,Upgrade
6,PB Ratio,1.49,1.22,1.22,1.05,1.03,1.12,1.07,1.13,1.20,1.33,1.37,1.19,1.93,2.04,2.13,1.95,2.43,2.81,2.76,2.88,2.97,Upgrade
7,P/TBV Ratio,1.24,1.24,1.24,1.06,1.05,1.14,1.09,1.15,1.22,1.35,1.40,1.21,1.96,2.08,2.17,1.99,2.48,2.87,2.81,2.93,3.03,Upgrade
8,P/FCF Ratio,8.43,6.93,8.02,7.28,7.65,15.87,7.10,13.98,-,21.27,-,-20.74,-,-,-,3.25,4.47,7.58,10.35,10.87,8.13,Upgrade
9,P/OCF Ratio,5.30,5.30,6.80,5.96,5.71,9.15,5.10,6.31,-,10.48,-,-25.55,-,-,-,3.24,4.45,7.54,10.12,10.61,7.79,Upgrade
10,EV/Sales Ratio,1.56,1.28,1.45,1.24,1.29,1.69,1.85,2.49,3.32,4.96,4.26,3.70,4.14,3.33,2.36,1.51,1.85,1.92,2.19,1.97,1.78,Upgrade
11,EV/EBITDA Ratio,5.50,4.51,4.93,4.38,5.76,7.31,7.67,11.55,16.30,21.03,26.92,23.40,16.10,12.40,6.44,4.00,4.75,5.08,6.67,6.62,6.59,Upgrade
12,EV/EBIT Ratio,6.31,5.17,5.65,5.28,7.08,8.85,10.26,14.31,23.51,46.02,184.42,196.52,-,-,7.44,4.42,5.14,5.46,6.81,6.76,6.69,Upgrade
13,EV/FCF Ratio,5.89,4.82,5.66,4.72,5.00,11.22,4.87,10.36,-,18.15,-,-16.25,-,-,-,2.60,4.16,6.79,9.83,10.35,7.84,Upgrade
14,Debt / Equity Ratio,-,-,-,-,-,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
15,Debt / EBITDA Ratio,-,-,-,-,-,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
16,Debt / FCF Ratio,-,-,-,-,-,0.12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
17,Asset Turnover,0.80,0.57,0.58,0.48,0.51,0.44,0.47,0.29,0.25,0.22,0.21,0.22,0.25,0.19,0.65,0.60,0.81,0.78,1.15,1.01,Upgrade,
18,Inventory Turnover,6.78,13.51,5.35,3.81,3.73,3.03,2.52,2.30,1.36,0.90,0.84,0.93,0.87,1.19,0.74,2.29,2.17,2.51,3.08,4.24,4.02,Upgrade
19,Quick Ratio,3.85,3.85,2.90,3.25,3.19,3.23,2.89,3.11,3.18,2.61,2.40,2.97,2.60,2.31,1.64,1.55,1.62,1.74,2.03,2.05,1.83,Upgrade
20,Current Ratio,4.13,4.13,3.51,4.03,4.13,4.31,3.97,4.40,4.89,4.09,4.07,4.80,4.35,3.85,2.95,2.65,2.74,2.67,2.76,2.82,2.88,Upgrade
21,Return on Equity (ROE),20.75%,16.18%,20.71%,5.99%,12.45%,13.09%,10.22%,5.90%,41.21%,4.24%,9.67%,0.30%,9.77%,3.94%,20.67%,17.60%,41.04%,30.90%,45.98%,27.89%,Upgrade,
22,Return on Assets (ROA),10.49%,10.00%,13.56%,3.59%,6.93%,5.27%,5.89%,2.29%,2.84%,2.31%,1.07%,-0.31%,-1.73%,1.95%,13.34%,10.40%,18.59%,18.19%,27.92%,17.05%,Upgrade,
23,Return on Capital (ROIC),12.21%,11.63%,15.71%,4.14%,7.98%,6.09%,6.72%,2.62%,3.27%,2.64%,1.23%,-0.36%,-2.09%,2.46%,16.95%,13.24%,24.25%,23.85%,35.77%,22.02%,Upgrade,
24,Return on Capital Employed (ROCE),16.19%,16.19%,15.05%,12.75%,9.43%,8.88%,7.10%,5.78%,3.66%,2.44%,0.59%,0.47%,-,-,24.05%,34.89%,43.49%,45.69%,37.85%,39.79%,41.98%,Upgrade
25,Earnings Yield,10.10%,12.30%,10.91%,11.74%,9.63%,8.86%,15.36%,12.91%,12.09%,9.63%,4.25%,4.86%,4.41%,6.29%,10.54%,15.97%,15.79%,14.14%,12.25%,12.31%,12.67%,Upgrade
26,FCF Yield,11.86%,14.44%,12.46%,13.73%,13.07%,6.30%,14.08%,7.15%,3.36%,4.70%,-6.23%,-4.82%,-0.37%,10.60%,20.37%,30.76%,22.37%,13.19%,9.66%,9.20%,12.30%,Upgrade
27,Dividend Yield,1.75%,-,-,-,-,2.66%,-,-,-,2.46%,-,-,-,-,-,-,-,-,-,-,-,Upgrade
28,Payout Ratio,16.90%,-,66.18%,-,-,-,92.99%,0.04%,-,-,-,1.10%,-,10.13%,-,253.22%,-,313.58%,-,-,3.30%,Upgrade
29,Total Shareholder Return,1.75%,-,-,-,-,2.66%,-,-,-,2.46%,-,-,-,-,-,-,-,-,-,-,-,Upgrade
