,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,969067,497260,631867,350502,780396,422555,516882,315645,687282,307574,567167,327042,746302,405275,531657,245372,665933,298262,450672,219684,Upgrade
1,Revenue Growth (YoY),24.18%,17.68%,22.25%,11.04%,13.55%,37.38%,-8.87%,-3.48%,-7.91%,-24.11%,6.68%,33.28%,12.07%,35.88%,17.97%,11.69%,21.95%,75.56%,-3.01%,-34.98%,Upgrade
2,Cost of Revenue,675755,372532,440528,233039,524601,307184,348736,220278,463240,210895,347161,234803,498091,298640,347039,164322,455627,190889,281949,147898,Upgrade
3,Gross Profit,293312,124728,191339,117463,255794,115371,168146,95367,224043,96679,220006,92238,248211,106635,184619,81050,210307,107373,168723,71786,Upgrade
4,"Selling, General & Admin",167975,79472,114245,71342,130507,80292,93845,50596,123852,58158,121246,53859,135759,65068,106753,39180,127973,67206,84365,51269,Upgrade
5,Operating Expenses,167975,79472,114245,71342,130507,80292,93845,50596,123852,58158,121246,53859,135759,65068,106753,39180,127973,67206,84365,51269,Upgrade
6,Operating Income,125337,45256,77094,46122,125287,35079,74301,44770,100191,38521,98760,38379,112451,41567,77866,41870,82334,40168,84358,20517,Upgrade
7,Interest Expense,-4138,-8091,-2232,-3429,-3556,-8585,-2863,-4087,-3366,-3758,-3034,-2301,-2301,-4285,-4291,-3575,-2769,-4863,-2564,-1401,Upgrade
8,Interest & Investment Income,3864,2580,7158,1177,2675,3448,3389,2237,2013,3331,2649,753.97,-,804.79,2061,1062,171.59,1010,2589,1358,Upgrade
