,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,4607597,3819735,2145099,3138664,3412524,3434803,4035619,5363772,8600171,21167862,17004753,17724337,17249156,15223065,12132220,12556239,11558788,9697719,5879568,3874955,Upgrade
1,Short-Term Investments,17219,19008,16708,21042,29508,38327,40116,103319,182705,410827,453285,289236,219023,374044,569208,671081,364850,159412,156834,179189,Upgrade
2,Cash & Short-Term Investments,4624815,3838743,2161807,3159706,3442032,3473130,4075735,5467091,8782875,21578688,17458038,18013574,17468179,15597109,12701428,13227320,11923637,9857130,6036402,4054144,Upgrade
3,Cash Growth,34.36%,10.53%,-46.96%,-42.20%,-60.81%,-83.90%,-76.65%,-69.65%,-49.72%,38.35%,37.45%,36.18%,46.50%,58.23%,110.41%,226.27%,74.95%,112.53%,-21.34%,-54.38%,Upgrade
4,Accounts Receivable,2928670,2662923,2547429,2856892,2811806,2870321,2904050,2940238,2929201,2807192,2743587,2375727,2355160,3110562,2402520,2123097,1242347,1613651,1235429,1652808,Upgrade
5,Other Receivables,29165884,19329737,30610100,8460154,10557312,20813346,15973973,11743317,10508208,12893217,9745864,6671372,5285339,5057948,4517353,3873373,9174402,2313142,3031613,2187986,Upgrade
6,Receivables,38145451,27557174,38216079,16269546,19971520,27509163,23356711,19154504,17904237,19651448,17040263,16391057,13943851,12695356,11456545,9923564,13436144,8170117,4976705,4580022,Upgrade
7,Inventory,146610583,145006172,143902634,140881593,138935272,137594490,138854035,136904560,134955712,129636378,125506208,120456910,110156937,105857503,103241367,90041733,86864906,79380083,59188054,58551131,Upgrade
8,Prepaid Expenses,510.31,327.43,42581,42824,24065,1780,45908,1777,51540,2204,1323,1583,55315,588.96,187590,22925,108660,9682,8780,6517,Upgrade
9,Other Current Assets,18450020,18585766,19549317,28706531,28781930,30851074,32043735,36278184,36420311,34256121,29024178,22355395,14424434,10544719,9016021,8399733,1870214,5669298,6461061,6155498,Upgrade
10,Total Current Assets,207831380,194988182,203872419,189060199,191154819,199429638,198376123,197806115,198114675,205124839,189030010,177218520,156048716,144695277,136602950,121615275,114203562,103086311,76671002,73347312,Upgrade
11,"Property, Plant & Equipment",2419731,2129621,2144798,2831059,2860227,4328388,4355245,4389767,4426771,2322083,2321158,2437085,1637955,940182,1373379,1360521,1387684,1426904,1417495,1529171,Upgrade
