,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,4778582,2010248,1587325,697221,2025743,1073084,1053973,604102,3240323,3279318,2658159,1956430,4590602,3261895,2543646,4506617,1222969,2139545,709627,954218,Upgrade
1,Revenue Growth (YoY),135.89%,87.33%,50.60%,15.41%,-37.48%,-67.28%,-60.35%,-69.12%,-29.41%,0.53%,4.50%,-56.59%,275.37%,52.46%,258.45%,372.28%,-11.41%,42.05%,-77.36%,-80.57%,Upgrade
2,Cost of Revenue,2811402,1464849,4180316,507525,1522169,731352,726068,455105,2246396,1868961,1530501,1236883,2531709,1760529,1685450,2789464,769393,1342965,492500,588621,Upgrade
3,Gross Profit,1967180,545399,-2592991,189696,503574,341732,327905,148997,993928,1410356,1127658,719547,2058893,1501366,858196,1717153,453576,796580,217127,365596,Upgrade
4,"Selling, General & Admin",668793,459259,463241,378848,602951,346891,491471,340889,623375,731120,576945,564902,1102058,746855,475222,458420,481903,332166,366179,273957,Upgrade
5,Operating Expenses,668793,459259,463241,378848,602951,346891,491471,340889,623375,731120,576945,564902,1102058,746855,475222,458420,481903,332166,366179,273957,Upgrade
6,Operating Income,1298387,86140,-3056232,-189152,-99377,-5159,-163566,-191892,370552,679237,550713,154645,956835,754511,382974,1258733,-28327,464414,-149052,91639,Upgrade
7,Interest Expense,-663300,-82962,-1168086,-318340,-273054,-170255,-,-784335,-848793,-207948,-855740,-826710,-606187,-155014,-117947,-323777,-186512,-542169,-276965,-193065,Upgrade
8,Interest & Investment Income,598239,3897994,541133,627466,1787510,1617376,1215700,829389,930415,1573130,813321,864152,668453,1059231,1333607,497056,191894,2391099,51379,61616,Upgrade
