,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,533855,533855,2242346,-,1131318,1498481,2430510,-,15264,-,1110755,-,108176,-,-,-,-,-,257638,277044,Upgrade
1,Trading Asset Securities,3771929,3771929,2166439,-,2079067,2310308,1564382,-,1797778,-,768620,-,1821155,-,-,-,-,-,4835,3867,Upgrade
2,Accounts Receivable,141.76,141.76,-,-,400.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
3,Other Receivables,4560008,4560008,4426261,-,3310177,3040541,5316915,-,4816050,-,3749009,-,2405093,-,-,-,-,-,82403,40853,Upgrade
4,"Property, Plant & Equipment",15141,15141,12233,-,9310,4206,4678,-,4400,-,4064,-,6938,-,-,-,-,-,6667,4701,Upgrade
5,Other Intangible Assets,8535,8535,8204,-,8796,7686,8112,-,8225,-,9112,-,10736,-,-,-,-,-,26.93,35.01,Upgrade
6,Investments in Debt & Equity Securities,2265000,2265000,945000,-,350000,150000,-,-,-,-,346050,-,346050,-,-,-,-,-,-,-,Upgrade
7,Other Current Assets,14417,14417,4515,-,6386,6504,4403,-,11394,-,21859,-,49844,-,-,-,-,-,162245,28729,Upgrade
8,Long-Term Deferred Tax Assets,12487,12487,9926,-,21531,22851,28018,-,58063,-,35710,-,6892,-,-,-,-,-,4.98,-,Upgrade
9,Other Long-Term Assets,16617,16617,17240,-,14772,13603,13374,-,12562,-,13758,-,11974,-,-,-,-,-,11806,12100,Upgrade
10,Total Assets,11198131,11198131,9832163,-,6931757,7054179,9370391,-,6723736,-,6058937,-,4766857,-,-,-,-,-,525626,367328,Upgrade
11,Accounts Payable,445914,445914,104467,-,4287,1278,6665,-,2466,-,5194,-,66272,-,-,-,-,-,0.99,455,Upgrade
12,Accrued Expenses,155186,155186,152922,-,98225,142744,153032,-,118102,-,142793,-,48757,-,-,-,-,-,4681,14235,Upgrade
13,Short-Term Debt,3498000,3498000,2700000,-,1182164,785000,930000,-,60000,-,496050,-,346050,-,-,-,-,-,59832,-,Upgrade
14,Other Current Liabilities,119234,119234,55242,-,84186,555002,2655738,-,851702,-,79261,-,65604,-,-,-,-,-,107115,12028,Upgrade
15,Long-Term Debt,3000000,3000000,3000000,-,3000000,3000000,3000000,-,3000000,-,2746220,-,2000000,-,-,-,-,-,-,-,Upgrade
16,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.15,Upgrade
17,Total Liabilities,7277708,7277708,6115142,-,4395485,4576904,6952437,-,4401794,-,3794406,-,2591019,-,-,-,-,-,176747,29370,Upgrade
18,Common Stock,3359997,3359997,3359997,-,2000000,2000000,2000000,-,2000000,-,2000000,-,2000000,-,-,-,-,-,439600,439600,Upgrade
19,Additional Paid-In Capital,5917,5917,5917,-,877.28,877.28,877.28,-,877.28,-,877.28,-,877.28,-,-,-,-,-,-,-,Upgrade
20,Retained Earnings,545949,545949,342547,-,526835,467837,408517,-,312504,-,255093,-,167009,-,-,-,-,-,-90721,-101642,Upgrade
21,Comprehensive Income & Other,8560,8560,8560,-,8560,8560,8560,-,8560,-,8560,-,7952,-,-,-,-,-,-,-,Upgrade
22,Shareholders' Equity,3920423,3920423,3717021,-,2536272,2477275,2417955,2321941,2321941,-,2264530,2175838,2175838,-,-,-,-,-,348879,337958,Upgrade
23,Total Liabilities & Equity,11198131,11198131,9832163,-,6931757,7054179,9370391,-,6723736,-,6058937,-,4766857,-,-,-,-,-,525626,367328,Upgrade
24,Total Debt,6498000,6498000,5700000,-,4182164,3785000,3930000,3060000,3060000,-,3242270,2346050,2346050,-,-,-,-,-,59832,-,Upgrade
25,Net Cash (Debt),-2192216,-2192216,-1291215,-,-971778,23788,64892,-1246958,-1246958,-,-1362895,-416720,-416720,-,-,-,-,-,202642,280911,Upgrade
26,Net Cash Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.59%,615.98%,Upgrade
27,Net Cash Per Share,-29780.75,-5812.10,-4439.41,-,-18695.22,106.20,289.70,-5566.76,-5582.01,-,-6084.31,-1860.38,-1863.64,-,-,-,-,-,4122.17,5708.71,Upgrade
28,Filing Date Shares Outstanding,336,336,336,290.86,51.98,224,224,224,224,224,224,224,224,-,112,112.01,79.85,-,49.16,49.24,Upgrade
