,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,4636796,4720796,4435197,4233597,5235000,3400000,3700000,3030000,2030000,1734000,2380000,2950000,5500000,1147356,202216,202216,202216,202216,202216,202216,184000,Upgrade
1,Market Cap Growth,38.85%,38.85%,19.87%,39.72%,157.88%,96.08%,55.46%,2.71%,-63.09%,51.13%,1076.96%,1358.84%,2619.86%,467.39%,0%,0%,9.90%,9.90%,9.90%,9.90%,59.72%,Upgrade
2,Last Close Price,13800.00,14050.00,13200.00,12600.00,15580.36,13026.71,14176.12,11609.09,7777.71,6643.62,9118.69,11302.58,21072.61,19999.82,3524.87,3524.87,3524.87,3524.87,3524.87,3524.87,3524.87,Upgrade
3,PE Ratio,12.16,13.07,12.70,13.80,20.50,15.27,24.60,18.74,-123.52,-,108.21,-,33.58,5.95,1.08,1.12,1.47,2.27,2.48,2.53,2.47,Upgrade
4,PS Ratio,2.96,3.01,2.63,2.33,2.41,1.38,1.44,1.19,0.87,0.75,1.12,1.49,3.33,0.94,0.21,0.29,0.39,0.55,0.59,0.69,0.72,Upgrade
5,PB Ratio,1.18,1.20,1.13,1.14,-,1.34,1.49,1.25,0.87,0.75,-,1.30,2.53,0.53,-,-,-,-,-,0.58,0.54,Upgrade
6,P/FCF Ratio,-,-,-,-,-,-,-,4.66,-29.44,-,-,27.74,-8.21,-,-,-,-,-,-,-,3.74,Upgrade
7,P/OCF Ratio,-,-,-,-,-,-,-,4.61,-32.01,-,-,27.06,-8.31,-,-,-,-,-,-,-,3.65,Upgrade
8,Debt / Equity Ratio,1.66,1.66,1.66,1.53,-,1.65,1.53,1.63,1.32,1.32,-,1.43,1.08,1.08,-,-,-,-,-,0.17,-,Upgrade
9,Debt / FCF Ratio,-,-,-,-,-,-,-,6.04,-44.37,-,-,30.48,-3.50,-,-,-,-,-,-,-,-,Upgrade
10,Asset Turnover,0.13,0.14,-,-,0.27,0.25,-,-,-,-,-,-,-,-,-,-,-,-,0.57,-,Upgrade,
11,Quick Ratio,2.07,2.07,2.07,2.84,-,4.67,4.34,2.36,-,4.73,-,5.37,-,7.33,-,-,-,-,-,1.95,10.96,Upgrade
12,Current Ratio,2.08,2.08,2.08,2.84,-,4.68,4.35,2.36,-,4.74,-,5.39,-,7.42,-,-,-,-,-,2.87,11.93,Upgrade
13,Return on Equity (ROE),7.24%,10.65%,-,-,9.41%,9.69%,8.30%,9.49%,-,-,-23.23%,8.50%,-,-,-,-,-,-,12.72%,-,Upgrade,
14,Return on Assets (ROA),2.53%,3.87%,-,-,3.37%,2.89%,-,-,-,-,-,-,-,-,-,-,-,-,9.78%,-,Upgrade,
15,Earnings Yield,8.18%,7.65%,7.87%,7.25%,4.88%,6.55%,4.07%,5.34%,-0.81%,-1.46%,0.92%,-0.64%,2.98%,16.81%,92.57%,89.16%,67.98%,44.14%,40.40%,39.52%,40.48%,Upgrade
16,FCF Yield,-84.51%,-83.00%,-77.32%,-69.99%,-28.36%,-0.18%,20.49%,21.47%,-3.40%,-,-33.13%,3.61%,-12.18%,-,-,-715.10%,-396.73%,-,-,-14.84%,26.75%,Upgrade
17,Buyback Yield / Dilution,-67.07%,-41.62%,-68.38%,-29.84%,-29.85%,76.73%,0.00%,0.00%,-0.00%,0.10%,-,-100.00%,-99.98%,-180.04%,-,-127.83%,-127.63%,-77.98%,-,-9.51%,-82.56%,Upgrade
18,Total Shareholder Return,-67.07%,-41.62%,-68.38%,-29.84%,-29.85%,76.73%,0.00%,0.00%,-0.00%,0.10%,-,-100.00%,-99.98%,-180.04%,-,-127.83%,-127.63%,-77.98%,-,-9.51%,-82.56%,Upgrade
