,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,4297093,3889610,3963698,4352659,4200779,3482127,4093352,4556401,2854233,2589369,2037415,1881831,2013336,1724394,1746620,1518800,1583627,1426190,1355807,1481756,1129839,Upgrade
1,Market Cap Growth,11.70%,11.70%,-3.17%,-4.47%,47.18%,34.48%,100.91%,142.13%,41.77%,50.16%,16.65%,23.90%,27.13%,20.91%,28.83%,2.50%,40.16%,11.59%,-2.40%,16.50%,-1.61%,Upgrade
2,Enterprise Value,3675005,3324048,3463581,3947066,3863808,3112399,3797202,4357713,2687679,2399869,1904064,1788293,1945027,1653899,1661733,1516356,1535018,1429538,1375305,1497325,1113286,Upgrade
3,Last Close Price,116000.00,103189.66,105155.17,115474.14,109308.80,90608.71,105235.27,117139.71,72153.95,65458.29,50700.96,45676.95,48868.94,41241.84,41773.42,35468.00,36981.87,32710.57,31096.29,33985.01,25339.42,Upgrade
4,PE Ratio,13.41,11.89,12.47,14.12,13.80,12.64,17.41,20.52,13.16,12.21,10.08,10.90,13.24,12.24,11.59,9.41,11.00,10.21,10.38,12.15,9.69,Upgrade
5,PS Ratio,3.21,2.91,3.04,3.43,3.35,2.98,3.74,4.26,2.69,2.43,2.00,1.97,2.21,1.93,1.91,1.65,1.88,1.80,1.76,2.01,1.53,Upgrade
6,PB Ratio,3.47,3.14,3.44,4.10,3.87,3.48,4.24,5.15,3.24,3.13,2.47,2.49,2.69,2.38,2.52,2.32,2.40,2.20,2.24,2.66,2.00,Upgrade
7,P/TBV Ratio,3.15,3.15,3.44,4.11,3.88,3.49,4.25,5.17,3.25,3.14,2.48,2.50,2.71,2.39,2.53,2.33,2.42,2.21,2.25,2.68,2.02,Upgrade
8,P/FCF Ratio,12.09,10.95,12.80,16.42,14.56,14.17,16.31,18.24,14.25,13.28,11.23,18.33,17.00,-,13.67,10.07,-,11.98,10.25,10.48,-,Upgrade
9,P/OCF Ratio,10.19,10.19,12.06,15.29,13.53,13.14,14.48,15.23,11.28,9.85,7.70,8.37,8.09,7.65,6.68,6.21,7.81,7.67,6.63,7.18,6.85,Upgrade
10,EV/Sales Ratio,2.75,2.49,2.66,3.11,3.08,2.67,3.47,4.07,2.53,2.25,1.87,1.88,2.14,1.85,1.82,1.64,1.82,1.80,1.79,2.04,1.50,Upgrade
11,EV/EBITDA Ratio,7.88,7.13,7.51,8.75,8.68,7.59,10.36,12.48,7.64,6.90,5.71,5.95,7.16,6.41,6.18,5.48,6.13,6.03,6.09,6.92,5.22,Upgrade
12,EV/EBIT Ratio,8.85,8.01,8.44,9.91,9.88,8.79,12.24,14.88,9.12,8.27,6.90,7.34,9.07,8.20,7.82,6.90,7.84,7.81,7.98,9.16,6.93,Upgrade
13,EV/FCF Ratio,10.34,9.35,11.18,14.89,13.39,12.66,15.13,17.45,13.42,12.31,10.50,17.42,16.42,-,13.00,10.06,-,12.01,10.39,10.59,-,Upgrade
14,Debt / Equity Ratio,0.06,0.06,0.10,0.11,0.09,0.14,0.12,0.13,0.16,0.23,0.21,0.28,0.31,0.28,0.29,0.29,0.31,0.28,0.31,0.37,0.37,Upgrade
15,Debt / EBITDA Ratio,0.15,0.15,0.24,0.26,0.21,0.31,0.25,0.27,0.44,0.71,0.45,0.49,0.74,0.99,0.79,0.60,0.80,0.73,0.68,0.97,1.03,Upgrade
