,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Premiums & Annuity Revenue,783227,596912,756300,785738,788586,581169,676799,710701,743303,535547,698193,698065,742990,510202,705159,692492,724869,582427,641662,572545,Upgrade
1,Total Interest & Dividend Income,33933,39793,41818,32257,-7227,39520,34160,22334,-22519,20827,18817,18049,-18062,28582,20598,16801,1903,13988,17184,15277,Upgrade
2,Gain (Loss) on Sale of Investments,-,-,-,-,38321,-,-,-,19888,-,-,-,46569,-,-,-,29003,-,-,-,Upgrade
3,Other Revenue,118238,124760,144082,109100,106717,147510,108697,105978,110004,90921,101535,93294,101058,113181,80769,85799,98149,83774,120741,96758,Upgrade
4,Total Revenue,935398,761466,942201,927095,926397,768200,819656,839014,850675,647295,818545,809408,872554,651965,806525,795093,853923,680189,779587,684579,Upgrade
5,Revenue Growth (YoY),0.97%,-0.88%,14.95%,10.50%,8.90%,18.68%,0.14%,3.66%,-2.51%,-0.72%,1.49%,1.80%,2.18%,-4.15%,3.46%,16.14%,11.16%,5.35%,19.40%,12.45%,Upgrade
6,Policy Benefits,383884,303391,365321,359869,344176,328445,298693,373352,347053,255392,322304,324562,283080,186930,293647,310735,331072,253454,288267,255526,Upgrade
7,Policy Acquisition & Underwriting Costs,58822,61208,62021,56424,55028,57610,55637,54189,55122,55713,56321,54545,70424,77495,45474,62502,56801,62943,63049,55125,Upgrade
8,Depreciation & Amortization,-,-,-,-,50902,-,-,-,42157,-,-,-,38442,-,-,-,49380,-,-,-,Upgrade
9,"Selling, General & Administrative",148915,145850,166315,194715,-161613,112381,120346,138888,-148193,105041,109811,129252,-152593,84645,104364,119933,-169242,96765,100939,101228,Upgrade
10,Other Operating Expenses,289668,199266,232064,230766,271674,213783,223931,202654,269935,205875,232099,211539,289592,178191,232080,229963,306481,233772,244832,214264,Upgrade
11,Total Operating Expenses,881289,709716,825721,841773,887427,712220,698607,769084,827212,622021,720535,719898,752179,527261,675564,723133,796113,646934,697087,626143,Upgrade
12,Operating Income,54109,51750,116479,85322,38970,55980,121049,69930,23463,25274,98010,89510,120375,124705,130961,71959,57810,33255,82500,58437,Upgrade
13,Interest Expense,-10259,-10147,-9522,-6175,-,-9238,-8245,-3579,-,-5133,-9601,-1174,-17124,-3655,-2515,-1025,-12630,-300.1,-648.4,-5950,Upgrade
14,Interest & Investment Income,-,-,-,-,13895,-,-,-,15908,-,-,-,-,-,-,-,-,-,-,-,Upgrade
15,Currency Exchange Gain (Loss),-,-,-,-,-88.79,-,-,-,5486,-,-,-,-,-,-,-,-,-,-,-,Upgrade
16,Other Non Operating Income (Expenses),4741,4840,4614,5439,-11991,3685,6808,2122,6872,1489,2207,159.08,678.12,-713.9,2904,-197.11,3538,491.16,367.07,85.12,Upgrade
17,EBT Excluding Unusual Items,48591,46443,111571,84586,40785,50427,119612,68473,51729,21630,90617,88495,103930,120336,131350,70737,48718,33446,82219,52572,Upgrade
18,Gain (Loss) on Sale of Assets,-,-,-,-,4380,-,-,-,213.31,-,-,-,-,-,-,-,-,-,-,-,Upgrade
19,Pretax Income,48591,46443,111571,84586,45165,50427,119612,68473,51943,21630,90617,88495,103930,120336,131350,70737,48718,33446,82219,52572,Upgrade
20,Income Tax Expense,11081,8957,22032,16881,8251,9325,23424,13590,10516,3781,16756,17904,20654,22914,25379,13624,9601,6193,15144,10555,Upgrade
21,Net Income,37510,37485,89540,67705,36914,41102,96187,54883,41426,17849,73860,70591,83276,97421,105970,57113,39117,27253,67074,42017,Upgrade
22,Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,44940,-,-,-,79392,-,-,-,36087,-,-,-,Upgrade
23,Net Income to Common,37510,37485,89540,67705,36914,41102,96187,54883,-3513,17849,73860,70591,3884,97421,105970,57113,3030,27253,67074,42017,Upgrade
24,Net Income Growth,1.61%,-8.80%,-6.91%,23.36%,-10.89%,130.28%,30.23%,-22.25%,-50.25%,-81.68%,-30.30%,23.60%,112.89%,257.47%,57.99%,35.93%,-15.95%,-20.62%,59.38%,5.98%,Upgrade
25,Shares Outstanding (Basic),111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,-,Upgrade
26,Shares Outstanding (Diluted),111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,-,Upgrade
27,Shares Change (YoY),-,-,-,-,-,-,-,-0.00%,-0.00%,-0.00%,-0.00%,-,-,-,-,-,-,-,-,-,Upgrade
28,EPS (Basic),338.24,338.02,807.42,610.52,332.87,370.63,867.36,494.90,-31.68,160.95,666.03,636.54,35.02,878.48,955.57,515.01,27.32,245.75,604.83,-,Upgrade
29,EPS (Diluted),338.24,338.02,807.42,610.52,332.87,370.63,867.36,494.90,-31.68,160.95,666.03,636.54,35.02,878.48,955.57,515.01,27.32,245.75,604.83,-,Upgrade
30,EPS Growth,1.61%,-8.80%,-6.91%,23.36%,-,130.28%,30.23%,-22.25%,-,-81.68%,-30.30%,23.60%,28.19%,257.47%,57.99%,-,-82.36%,-,59.38%,-,Upgrade
31,Free Cash Flow,-59927,-20906,95803,148515,316937,-342008,-57140,110957,93154,-20579,50999,110328,-240178,128782,40974,49947,36131,-35381,70100,1758,Upgrade
32,Free Cash Flow Per Share,-540.38,-188.51,863.90,1339.22,2857.94,-3084.02,-515.25,1000.54,840.01,-185.57,459.88,994.86,-2165.77,1161.27,369.47,450.39,325.81,-319.05,632.12,-,Upgrade
33,Dividend Per Share,-,1000.000,-,-,1200.000,-,-,-,-,1200.000,-,-,640.000,-,-,-,160.000,800.000,-,-,Upgrade
34,Dividend Growth,-,-,-,-,-,-,-,-,-,-,-,-,300.00%,-,-,-,-84.62%,-,-,-,Upgrade
35,Operating Margin,5.78%,6.80%,12.36%,9.20%,4.21%,7.29%,14.77%,8.33%,2.76%,3.90%,11.97%,11.06%,13.80%,19.13%,16.24%,9.05%,6.77%,4.89%,10.58%,8.54%,Upgrade
36,Profit Margin,4.01%,4.92%,9.50%,7.30%,3.98%,5.35%,11.74%,6.54%,-0.41%,2.76%,9.02%,8.72%,0.45%,14.94%,13.14%,7.18%,0.35%,4.01%,8.60%,6.14%,Upgrade
37,Free Cash Flow Margin,-6.41%,-2.75%,10.17%,16.02%,34.21%,-44.52%,-6.97%,13.22%,10.95%,-3.18%,6.23%,13.63%,-27.53%,19.75%,5.08%,6.28%,4.23%,-5.20%,8.99%,0.26%,Upgrade
38,EBITDA,69336,66017,130702,99516,47209,72372,132182,80308,34739,37098,107545,99032,131576,129255,141614,83998,70592,45567,95084,70140,Upgrade
39,EBITDA Margin,7.41%,8.67%,13.87%,10.73%,5.10%,9.42%,16.13%,9.57%,4.08%,5.73%,13.14%,12.24%,15.08%,19.83%,17.56%,10.56%,8.27%,6.70%,12.20%,10.25%,Upgrade
40,D&A For EBITDA,15227,14267,14223,14193,8239,16393,11133,10378,11277,11823,9535,9522,11200,4550,10653,12038,12782,12312,12584,11703,Upgrade
41,EBIT,54109,51750,116479,85322,38970,55980,121049,69930,23463,25274,98010,89510,120375,124705,130961,71959,57810,33255,82500,58437,Upgrade
42,EBIT Margin,5.78%,6.80%,12.36%,9.20%,4.21%,7.29%,14.77%,8.33%,2.76%,3.90%,11.97%,11.06%,13.80%,19.13%,16.24%,9.05%,6.77%,4.89%,10.58%,8.54%,Upgrade
43,Effective Tax Rate,22.80%,19.29%,19.75%,19.96%,18.27%,18.49%,19.58%,19.85%,20.25%,17.48%,18.49%,20.23%,19.87%,19.04%,19.32%,19.26%,19.71%,18.52%,18.42%,20.08%,Upgrade
44,Revenue as Reported,-,-,-,894838,3226158,-,-,816679,3070863,-,-,-,401087,780687,1849876,-,-,-,-,-,Upgrade
