,Fiscal Quarter,Q4 2024,Q4 2023,Q3 2021,Q2 2021,Q1 2021,Q3 2020,Q2 2020,Q1 2020,Q3 2017,Q4 2016,Q3 2016
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Sep '17 Sep 30, 2017","Dec '16 Dec 31, 2016","Sep '16 Sep 30, 2016"
0,Cash & Equivalents,618782,510183,1923822,1084184,2390052,-,-,-,3396902,2058554,-
1,Short-Term Investments,2880000,2309800,3832650,3948650,4028650,-,-,-,430000,1050500,-
2,Accounts Receivable,9404106,9117942,10026943,11015706,10606070,-,-,-,9200351,7181795,-
3,Other Receivables,773006,810250,741209,682770,704130,-,-,-,3567263,5103027,-
4,Inventory,2500772,3095495,4442404,4389330,4120774,-,-,-,2636371,3040395,-
5,Prepaid Expenses,24108,23144,39879,6870,12242,-,-,-,15660,8803,-
6,Loans Receivable Current,-,-,-,-,-,-,-,-,3339,-,-
7,Other Current Assets,500989,1110130,280040,238568,210602,-,-,-,542555,342509,-
8,Total Current Assets,16701763,16976944,21286947,21366079,22072520,-,-,-,19792441,18785583,-
9,"Property, Plant & Equipment",33024890,36546176,45094798,46553835,47111201,-,-,-,61499946,64917324,-
10,Other Intangible Assets,590053,591813,591746,102400,105195,-,-,-,65662,67462,-
11,Long-Term Investments,2546894,2520778,2429324,2339614,2337436,-,-,-,1620122,1763692,-
12,Long-Term Deferred Tax Assets,-,-,-,-,-,-,-,-,-,12723,-
13,Other Long-Term Assets,2271547,2205387,1154115,1153594,1169091,-,-,-,16344,43579,-
14,Total Assets,55135147,58841099,70556931,71515521,72795442,-,-,-,82994516,85590363,-
15,Accounts Payable,5611690,4101443,3612677,4022917,4120893,-,-,-,3708678,5587479,-
16,Accrued Expenses,1387581,1772861,1567859,1579558,974801,-,-,-,648813,1470387,-
17,Short-Term Debt,5361779,-,3172531,4914302,2880130,-,-,-,-,-,-
18,Current Portion of Long-Term Debt,-,5334833,-,-,-,-,-,-,553158,3337580,-
19,Current Unearned Revenue,42104,42108,12238,16032,12229,-,-,-,4522,15158,-
20,Current Income Taxes Payable,100736,2003,587967,421095,271425,-,-,-,4298,21941,-
21,Other Current Liabilities,571909,226647,2591550,1223863,2825583,-,-,-,1622535,178448,-
22,Total Current Liabilities,13075799,11479895,11544822,12177766,11085062,-,-,-,6542004,10610994,-
23,Long-Term Debt,26532769,30675457,41890497,42679227,45607499,-,-,-,65855379,65841568,-
24,Long-Term Unearned Revenue,873284,914512,341060,341060,348639,-,-,-,409272,409272,-
25,Other Long-Term Liabilities,174.53,109.79,17.1,4.1,-,-,-,-,-,-,-
26,Total Liabilities,40482027,43069973,53776396,55198057,57041199,-,-,-,72806655,76861833,-
27,Common Stock,11234680,11234680,11234680,10699696,10699696,-,-,-,10561945,10561945,-
28,Additional Paid-In Capital,-,-,6015,6015,6015,-,-,-,-,6015,-
29,Retained Earnings,3015455,4096266,4417802,4488451,4427137,-,-,-,434401,1043908,-
30,Comprehensive Income & Other,82036,81589,760759,760759,246742,-,-,-,-808485,-3227900,-
31,Total Common Equity,14332172,15412535,16419257,15954921,15379590,-,-,-,10187861,8383968,-
32,Minority Interest,320949,358591,361278,362543,374653,-,-,-,-,344562,-
33,Shareholders' Equity,14653121,15771126,16780535,16317464,15754243,-,-,-,10187861,8728529,-
34,Total Liabilities & Equity,55135147,58841099,70556931,71515521,72795442,-,-,-,82994516,85590363,-
35,Total Debt,31894548,36010290,45063027,47593529,48487629,-,-,-,66408537,69179147,-
36,Net Cash (Debt),-28395766,-33190307,-39306555,-42560695,-42068927,-,-,-,-62581635,-66070093,-
37,Net Cash Per Share,-25250.17,-29613.96,-34979.33,-39757.19,-39337.33,-,-,-,-30074.31,-,-
38,Filing Date Shares Outstanding,1125,1123,1124,1071,1069,1125,1070,1071,2081,-,-
39,Total Common Shares Outstanding,1125,1123,1124,1071,1069,1125,1070,1071,2081,-,-
40,Working Capital,3625965,5497050,9742125,9188312,10987458,-,-,-,13250437,8174589,-
41,Book Value Per Share,12744.50,13718.71,14611.68,14903.96,14380.97,-,-,-,4895.89,-,-
42,Tangible Book Value,13742119,14820722,15827511,15852521,15274395,-,-,-,10122199,8316506,-
43,Tangible Book Value Per Share,12219.81,13191.94,14085.07,14808.30,14282.60,-,-,-,4864.34,-,-
44,Buildings,-,-,-,-,-,-,-,-,18734412,18911661,-
45,Machinery,-,115008056,-,-,-,-,-,-,86541307,90051851,-
46,Construction In Progress,600307,25114,228719,623168,118156,-,-,-,3901837,3414930,-
