,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,1122714,1396670,1544062,1661538,896148,484626,498816,549689,879548,1175216,1308722,2450596,355455,192168,249812,213388,422235,232283,229987,302104,Upgrade
1,Short-Term Investments,1020170,950170,170,100170,810100,990100,1000067,720000,200000,400000,200000,-,-,-,-,-,-,-,-,-,Upgrade
2,Cash & Short-Term Investments,2142884,2346840,1544232,1761708,1706248,1474726,1498883,1269689,1079548,1575216,1508722,2450596,355455,192168,249812,213388,422235,232283,229987,302104,Upgrade
3,Cash Growth,25.59%,59.14%,3.03%,38.75%,58.05%,-6.38%,-0.65%,-48.19%,203.71%,719.71%,503.94%,1048.42%,-15.82%,-17.27%,8.62%,-29.37%,343.41%,141.13%,89.11%,218.10%,Upgrade
4,Accounts Receivable,42333,116211,87316,88370,64228,57147,55165,74311,53670,55057,49415,61072,57926,26558,25953,59990,66389,59037,40889,53383,Upgrade
5,Other Receivables,61284,24460,14860,14646,28716,44574,50526,36461,21887,11171,23728,14017,14567,9557,10257,7105,5922,11849,3953,359.71,Upgrade
6,Receivables,143618,180672,142176,143016,182944,266721,317091,290772,227219,143228,103143,75088,72493,36116,36210,67095,72310,70886,44842,53743,Upgrade
7,Inventory,13013455,10801602,9713006,9511112,10940938,9709322,10126952,9766979,10506055,9286907,7959339,7448444,8754742,7509947,7451118,6420735,6545906,6325883,6429977,6588676,Upgrade
8,Prepaid Expenses,80427,58043,35462,82977,46529,87664,70369,72077,38161,69738,60741,50929,56717,45311,54522,55999,66113,67350,65554,60430,Upgrade
9,Other Current Assets,310500,148152,102995,36403,81460,77326,69266,32412,115375,82743,75302,67774,52786,103766,78829,63931,37365,89821,87845,92232,Upgrade
10,Total Current Assets,15690883,13535308,11537870,11535215,12958118,11615760,12082562,11431929,11966358,11157832,9707247,10092832,9292192,7887307,7870492,6821148,7143929,6786222,6858204,7097183,Upgrade
11,"Property, Plant & Equipment",313133,286191,274134,274278,285474,276912,272924,276166,270561,265763,270417,277951,289933,286220,295049,303348,314248,310251,315106,308359,Upgrade
12,Long-Term Investments,3980,3980,3980,3980,3980,3980,3980,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
13,Other Intangible Assets,608689,613094,617527,621936,626341,629739,634036,638367,642698,647029,648569,647090,650848,655176,658593,646956,650373,650885,654162,657807,Upgrade
14,Long-Term Deferred Tax Assets,198504,130255,129882,119961,119826,119721,119443,120088,119894,101295,100956,100790,100469,82391,81877,-,90984,89237,88883,88953,Upgrade
15,Other Long-Term Assets,392125,393656,404321,413559,433818,409051,379909,364278,337613,291290,292238,291542,285575,257787,269642,364760,283612,254447,241077,237120,Upgrade
16,Total Assets,17207313,14962485,12967715,12968929,14427558,13055163,13492854,12830828,13337125,12463209,11019427,11410206,10619017,9168882,9175654,8136212,8483146,8091042,8157432,8389422,Upgrade
17,Accounts Payable,624308,652909,298982,333627,257305,127850,339324,513546,277213,822667,588575,487149,680447,311366,379185,413490,481588,144408,161591,432421,Upgrade
18,Accrued Expenses,1307535,1304562,1091290,876641,1338226,1254794,1044392,893120,1210232,1071433,846156,560050,706478,531302,601498,510393,540411,420588,408328,297567,Upgrade
19,Short-Term Debt,3341542,1470420,259634,363505,2384288,1714452,2246152,1674561,2683046,1745694,877360,1831480,2721931,2415228,2122077,1108226,1835575,2253105,2640018,2407842,Upgrade
20,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,3700,3700,3700,3700,3700,7400,3700,Upgrade
21,Current Income Taxes Payable,362482,249480,229735,195166,302687,218288,209780,192040,241315,210891,219045,189640,184592,73838,118980,134879,154679,142105,102700,105300,Upgrade
22,Current Unearned Revenue,-,-,-,-,-,-,3807,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
23,Other Current Liabilities,303949,751302,363887,716225,329451,292814,445380,348726,471258,285244,449603,256553,269555,264963,222202,203423,215954,215990,132083,149226,Upgrade
24,Total Current Liabilities,5939816,4428673,2243528,2485164,4611957,3608198,4288834,3621993,4883064,4135930,2980738,3324873,4563002,3600397,3447641,2374111,3231907,3179895,3452121,3396057,Upgrade
25,Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3700,-,3700,Upgrade
26,Long-Term Unearned Revenue,-,-,-,-,-,-,-,6182,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
27,Other Long-Term Liabilities,10542,9381,9381,9381,9421,9966,9966,9966,9966,9061,9061,77099,43380,9152,9152,9152,9377,4188,4138,4138,Upgrade
28,Total Liabilities,5950358,4438053,2252909,2494545,4621377,3618164,4298800,3638140,4893030,4144991,2989799,3401972,4606383,3609549,3456793,2383263,3241284,3187783,3456259,3403894,Upgrade
29,Common Stock,3380748,3380748,3347292,3347292,3281692,3281692,3281692,3281692,2461716,2462479,2426124,2426124,2276124,2276124,2276124,2276124,2276124,2252936,2252936,2252936,Upgrade
30,Additional Paid-In Capital,1950310,1950310,1916908,1916908,1851376,1851376,1851376,1431400,2251376,2252173,2252208,2252208,991262,991262,991262,991262,991262,968074,968074,968074,Upgrade
31,Retained Earnings,5929281,5196758,5453991,5213568,4676497,4307315,4064371,4482980,3734387,3608475,3356204,3334810,2750157,2296856,2456385,2490473,1977860,1685633,1483547,1766619,Upgrade
32,Treasury Stock,-3384,-3384,-3384,-3384,-3384,-3384,-3384,-3384,-3384,-4909,-4909,-4909,-4909,-4909,-4909,-4909,-3384,-3384,-3384,-2101,Upgrade
33,Total Common Equity,11256955,10524432,10714806,10474384,9806181,9436999,9194055,9192688,8444095,8318218,8029628,8008233,6012634,5559333,5718861,5752949,5241862,4903259,4701173,4985528,Upgrade
34,Shareholders' Equity,11256955,10524432,10714806,10474384,9806181,9436999,9194055,9192688,8444095,8318218,8029628,8008233,6012634,5559333,5718861,5752949,5241862,4903259,4701173,4985528,Upgrade
35,Total Liabilities & Equity,17207313,14962485,12967715,12968929,14427558,13055163,13492854,12830828,13337125,12463209,11019427,11410206,10619017,9168882,9175654,8136212,8483146,8091042,8157432,8389422,Upgrade
36,Total Debt,3341542,1470420,259634,363505,2384288,1714452,2246152,1674561,2683046,1745694,877360,1831480,2721931,2418928,2125777,1111926,1839275,2260505,2647418,2415242,Upgrade
37,Net Cash (Debt),-1198658,876420,1284597,1398202,-678040,-239726,-747268,-404872,-1603498,-170477,631362,619116,-2366476,-2226760,-1875965,-898537,-1417040,-2028222,-2417431,-2113139,Upgrade
38,Net Cash Per Share,-3282.50,2619.09,3335.73,3911.44,-2583.07,-685.11,-2066.40,-1197.97,-6112.57,-492.13,1843.87,1915.76,-7147.14,-6878.00,-5485.13,-2960.58,-4668.46,-6752.01,-8051.04,-7034.10,Upgrade
39,Filing Date Shares Outstanding,365.17,337.91,334.56,357.46,328,328,328,327.92,328,328,323.16,323.16,303.16,323.75,303.16,303.5,303.26,300.39,300.26,300.41,Upgrade
40,Total Common Shares Outstanding,365.17,337.91,334.56,357.46,328,328,328,327.92,328,328,323.16,323.16,303.16,323.75,303.16,303.5,303.26,300.39,300.26,300.41,Upgrade
41,Working Capital,9751067,9106636,9294342,9050051,8346162,8007562,7793728,7809936,7083293,7021902,6726509,6767959,4729190,4286910,4422851,4447037,3912022,3606327,3406083,3701127,Upgrade
42,Book Value Per Share,30826.96,31146.11,32026.60,29301.87,29896.93,28771.37,28030.69,28033.04,25743.98,25360.21,24847.57,24781.37,19833.50,18314.95,18864.45,18955.33,17285.21,16323.10,15702.51,16595.54,Upgrade
43,Tangible Book Value,10648266,9911338,10097279,9852448,9179839,8807260,8560019,8554321,7801396,7671189,7381059,7361144,5361786,4904157,5060268,5105993,4591489,4252374,4047011,4327721,Upgrade
44,Tangible Book Value Per Share,29160.08,29331.71,30180.81,27562.02,27987.35,26851.43,26097.65,26086.34,23784.55,23387.57,22840.59,22778.96,17686.59,16156.50,16691.99,16823.68,15140.58,14156.28,13517.53,14405.87,Upgrade
45,Buildings,156728,158113,157723,157688,157653,157653,157332,157068,156289,156171,156171,156171,155952,155810,155810,157651,157111,148525,148336,148336,Upgrade
46,Machinery,639543,625011,606792,594215,589918,567425,550495,538737,516492,498898,488796,480455,477663,453563,451912,445269,443353,438348,432599,415049,Upgrade
47,Construction In Progress,64703,37051,29008,29008,29100,28892,29016,29129,30827,29241,29522,30775,30795,33451,33451,32928,33004,30545,31191,29695,Upgrade
