,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,89.23,129.6,98.71,88.03,93.69,92.7,75.13,63.42,2078587,62.79,51.28,42.06,49.94,34.35,32.15,36.47,40.16,73.18,75.99,76.65,Upgrade
1,Short-Term Investments,28.52,36.23,56.44,50.16,53.08,37.74,37.95,39.63,424472,34.73,46.29,60.03,68.21,64.57,72.26,62.46,51.92,43.34,38.83,34.79,Upgrade
2,Cash & Short-Term Investments,117.76,165.83,155.15,138.19,146.77,130.44,113.08,103.05,2503058,97.52,97.57,102.09,118.15,98.92,104.41,98.93,92.08,116.52,114.82,111.45,Upgrade
3,Cash Growth,-19.77%,27.13%,37.20%,34.11%,-99.99%,33.76%,15.90%,0.94%,2118412.78%,-1.41%,-6.56%,3.19%,28.31%,-15.10%,-9.06%,-11.23%,-27.17%,-10.03%,-18.70%,-20.71%,Upgrade
4,Accounts Receivable,105.17,100.42,99.36,97.61,68.44,68.79,78.19,77.11,1587405,66.39,73.72,65.41,54.07,53.67,51.93,32.07,33.3,56.83,66.76,80.84,Upgrade
5,Other Receivables,31.01,6.74,3.38,3.43,17.72,3.17,2.85,1.93,59075,3.37,5.47,5.31,9.02,10.83,10.72,10.33,9.49,4.42,4.84,3.89,Upgrade
6,Receivables,136.18,107.16,102.74,101.03,86.17,71.96,81.05,79.11,1646480,69.77,79.19,70.72,63.09,64.49,62.66,42.4,42.79,61.25,71.6,84.73,Upgrade
7,Inventory,47.87,42.17,42.64,41.29,41.52,38.16,38.73,36.49,908561,39.5,36.7,33.17,33.47,31.99,31.1,40.5,41.63,31.08,31.02,32.5,Upgrade
8,Prepaid Expenses,0.68,3.16,1.74,2.84,1.57,2.71,1.26,1.84,23483,1.6,2,2.74,2.21,1.1,1.16,0.72,0.31,0.95,0.98,1.26,Upgrade
