,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,4477502,5428444,6034105,3213099,5039908,2391612,3741721,2994888,4069464,2843366,2739622,3249582,3606454,3293466,3150402,2780499,2726137,3173375,4864814,2447102,Upgrade
1,Short-Term Investments,16566239,15361135,17324384,18202453,17741052,19997640,18638871,17367464,19411470,20620334,18209683,16380343,16991239,15359384,15290579,13570529,14547419,14320669,11165487,10824542,Upgrade
2,Cash & Short-Term Investments,21043741,20789579,23358489,21415552,22780960,22389252,22380593,20362352,23480934,23463700,20949305,19629925,20597693,18652850,18440981,16351028,17273557,17494044,16030301,13271644,Upgrade
3,Cash Growth,-7.63%,-7.14%,4.37%,5.17%,-2.98%,-4.58%,6.83%,3.73%,14.00%,25.79%,13.60%,20.05%,19.24%,6.62%,15.04%,23.20%,4.63%,18.52%,11.70%,6.65%,Upgrade
4,Accounts Receivable,433141,2807,86519,12298,462207,281185,289775,234743,332884,216707,228863,125270,95955,211608,90519,92735,64375,91141,300115,132255,Upgrade
5,Other Receivables,1343422,1252528,1362937,1012872,753558,854313,678142,656574,525331,520367,455603,524369,380270,460607,506573,414418,404668,420879,367929,510497,Upgrade
6,Receivables,1776563,1255335,1449456,1025170,1215765,1135498,967917,891317,858215,737074,684466,649639,476225,672215,597092,507153,469043,512020,668044,642752,Upgrade
7,Inventory,1978544,1766585,2350872,2193114,2317505,2151253,2430169,2496502,2193521,1981226,1910958,1961015,1668002,1376294,1643625,2046534,1446833,1703797,1563240,2256886,Upgrade
8,Prepaid Expenses,145660,167431,190605,148742,172232,203779,255242,206167,181977,158921,175147,93116,88942,102957,157191,151841,143822,99082,106390,115009,Upgrade
9,Other Current Assets,122224,91704,82506,86110,66943,69044,64977,79499,145578,79413,69026,90698,46171,65757,111104,168347,180128,178669,45875,60254,Upgrade
10,Total Current Assets,25066733,24070634,27431928,24868689,26553406,25948827,26098898,24035837,26860225,26420334,23788902,22424394,22877033,20870073,20949993,19224902,19513381,19987612,18413850,16346544,Upgrade
11,"Property, Plant & Equipment",2757910,2829864,2939444,3043569,3190559,3395711,3461950,3540285,3664792,3824476,3915315,3952203,4020091,4062526,4073786,4052438,3959662,3905895,4026927,4104727,Upgrade
12,Long-Term Investments,3672561,3411104,1829466,2243199,2287392,2253726,2318431,2250999,2214115,2177865,2079651,2052179,2104294,2059890,2055599,2186873,2330417,2276131,2182652,2157289,Upgrade
13,Other Intangible Assets,957358,961382,964147,968650,923084,921394,921682,923213,923739,925855,928259,930536,933180,935292,937848,940366,942980,941165,941428,939827,Upgrade
14,Long-Term Accounts Receivable,5949,5949,5949,5949,-,5949,-,5949,-,5968,-,5973,-,5988,5988,5988,-,-,-,-,Upgrade
15,Long-Term Deferred Tax Assets,198507,134296,149602,160574,206420,141178,150103,153742,208459,150053,152760,177844,194842,142385,158079,183523,170770,178578,179718,210576,Upgrade
16,Other Long-Term Assets,780389,820723,833113,855891,895764,759590,695813,570283,593747,440634,475874,340004,357584,347731,375340,391070,457762,397081,414773,427608,Upgrade
17,Total Assets,33439406,32233951,34153648,32146521,34056625,33426374,33646876,31480307,34465076,33949185,31340762,29887133,30487024,28427884,28560634,26989160,27374973,27686461,26159349,24186570,Upgrade
18,Accounts Payable,2642248,1419023,2246825,1736449,2476373,1743689,2275686,1774479,2766280,1804984,1730943,2363973,2400248,1113396,1354556,1323380,1652907,1455840,1754556,1279594,Upgrade
19,Accrued Expenses,1816980,2588297,2052029,1793266,1914002,2889612,2433135,1866231,2183427,3125223,2546911,2095763,1860559,2236162,2309225,1829212,1697799,2158462,2071993,1653939,Upgrade
20,Short-Term Debt,245384,125754,456125,560984,528900,409420,510032,581908,634983,436449,499844,396382,313077,385155,362723,403563,439215,566355,394336,591939,Upgrade
21,Current Portion of Long-Term Debt,-,-,-,-,-,-,44950,-,22475,-,829.6,-,7598,-,-,-,9577,-,51577,-,Upgrade
22,Current Portion of Leases,-,-,-,-,1229,-,1177,-,1168,-,1119,-,1072,-,-,-,-,-,-,-,Upgrade
23,Current Income Taxes Payable,338154,482307,296802,221475,346990,415518,390928,168198,349174,552858,391849,251559,356189,208654,360476,231867,319509,351338,208407,167484,Upgrade
24,Current Unearned Revenue,228.18,233.48,525.12,206.94,-,194.12,418.94,557.12,229.84,206.55,241.09,368,517.45,68,386.42,597.09,781.82,565.11,880.26,452.99,Upgrade
25,Other Current Liabilities,3614146,1046599,3616614,1032602,2957114,1031886,1982509,991222,3256126,1527907,1070155,1276285,2318760,1081804,1086220,1057750,1053255,1304468,1091636,1123460,Upgrade
26,Total Current Liabilities,8657141,5662214,8668920,5344984,8224608,6490319,7638835,5382596,9213862,7447627,6241893,6384330,7258021,5025239,5473586,4846369,5173043,5837028,5573385,4816868,Upgrade
27,Long-Term Debt,169444,-,170090,170443,-,238550,137723,351640,202375,374703,169978,389597,166928,374608,455389,478043,357598,409992,459456,494245,Upgrade
28,Long-Term Leases,-,169771,-,-,170828,-,172593,-,172058,-,172593,-,174298,-,-,-,168666,-,-,-,Upgrade
29,Long-Term Deferred Tax Liabilities,49208,51346,52855,48814,50793,47761,47183,43043,36557,36663,37714,34895,33303,39917,37638,35399,36606,40365,32969,30410,Upgrade
30,Other Long-Term Liabilities,126520,128931,132079,125424,125237,131216,127130,130074,249378,244467,250992,255979,259689,420900,433002,448330,423783,353551,351825,358347,Upgrade
31,Total Liabilities,9002313,6012262,9023945,5689664,8571467,6907846,8123463,5907353,9874230,8103460,6873169,7064802,7892239,5860663,6399615,5808140,6159696,6640936,6417635,5699870,Upgrade
