,Fiscal Quarter,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,Q2 2010,+20 Quarters
,Period Ending,"Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Dec '13 Dec 31, 2013","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Dec '11 Dec 31, 2011","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011","Mar '11 Mar 31, 2011","Jan '11 Jan 1, 2011","Sep '10 Sep 30, 2010","Jun '10 Jun 30, 2010",+20 Quarters
0,Cash & Equivalents,9257,18312,29832,83448,25781,25759,20995,29013,34321,56731,-,94538,26192,72040,86339,43252,85867,93850,64795,-,Upgrade
1,Cash & Short-Term Investments,9257,18312,29832,83448,25781,25759,20995,29013,34321,56731,39625,94538,26192,72040,86339,43252,85867,93850,64795,-,Upgrade
2,Cash Growth,-64.09%,-28.91%,42.09%,187.62%,-24.88%,-54.59%,-47.02%,-69.31%,31.03%,-21.25%,-54.11%,118.58%,-69.50%,-23.24%,33.25%,-,-0.77%,-34.00%,-44.87%,-,Upgrade
3,Accounts Receivable,138135,-46231,74051,100661,93049,75579,81337,89338,67641,79276,-,77384,47475,51557,68811,76196,64957,69205,71911,-,Upgrade
4,Other Receivables,10816,158622,7547,7920,15056,14842,13254,11658,19625,19013,-,10269,9713,10338,14493,13154,25843,18686,34776,-,Upgrade
5,Receivables,148951,112392,81598,108581,108105,90421,94591,100996,87266,98288,-,87653,57188,61895,83304,89349,90800,87891,106687,-,Upgrade
6,Inventory,202918,217632,225324,232460,345264,361163,355957,363780,387961,411022,-,383003,374492,363132,300664,255120,210647,217774,222986,-,Upgrade
7,Prepaid Expenses,3763,3427,2515,169.6,2577,7716,7555,1327,5584,2689,-,1557,684.54,93.36,144.03,345.36,989.33,56.66,996.24,-,Upgrade
8,Other Current Assets,28518,20859,26240,29421,63991,57858,56960,64232,73486,60042,-,39316,51191,50992,74308,53537,50855,52518,63023,-,Upgrade
9,Total Current Assets,393407,372622,365760,454333,545718,542916,536058,559348,588618,628772,-,606066,509748,548153,544760,441603,439158,452090,458488,-,Upgrade
10,"Property, Plant & Equipment",64907,67263,69388,72555,67688,68723,55783,57199,53271,48157,-,52713,52437,52642,52856,54387,52919,55171,57117,-,Upgrade
11,Long-Term Investments,11041,11000,11000,11012,11012,10957,10957,10957,11611,11611,-,10462,10412,10412,10316,10316,10392,10377,10595,-,Upgrade
12,Other Intangible Assets,4233,4301,4368,4662,4504,4572,4640,4708,4775,4843,-,5154,5114,5180,5197,5260,5330,5015,5073,-,Upgrade
13,Long-Term Deferred Tax Assets,-,-,-,71.97,71.97,79.49,109.15,109.15,71.97,71.97,-,55.01,-,-,-,-,-,-,-,-,Upgrade
14,Other Long-Term Assets,49166,49017,49946,46289,29813,23437,22088,21627,21983,22002,-,17849,15286,15245,13657,13955,2926,13888,2287,-,Upgrade
15,Total Assets,522753,504202,500462,588924,658808,650684,629635,653948,680330,715457,-,692300,592997,631632,626786,525521,510726,536541,533560,-,Upgrade
16,Accounts Payable,59154,68692,60506,58252,71153,67097,58121,78710,106292,118735,-,77320,73842,77275,87795,58812,73502,54709,61640,-,Upgrade
17,Accrued Expenses,7924,4515,9786,12592,10822,12782,11372,12056,26221,6763,-,10291,7749,10979,15566,5021,4338,20740,-1866,-,Upgrade
18,Short-Term Debt,98306,159730,102995,102081,114530,166105,164083,141183,116020,157585,-,76238,111566,104839,85117,98101,100403,111710,82854,-,Upgrade
19,Current Portion of Long-Term Debt,60421,-,44115,73834,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
20,Current Income Taxes Payable,3029,-,712.11,3778,-,-,-,1220,58.84,59.47,-,-,-,2136,-,-,219.99,439.7,1504,-,Upgrade
21,Other Current Liabilities,51682,22547,26678,56750,168968,113164,86669,117382,132150,133217,-,216500,63005,99127,106120,36077,11357,28212,76503,-,Upgrade
22,Total Current Liabilities,280515,255484,244792,307286,365473,359149,320245,350551,380742,416360,-,380349,256163,294355,294597,198011,189820,215811,220634,-,Upgrade
23,Long-Term Debt,-,-,-,20231,20981,21731,14490,14291,11463,5272,-,30447,55447,49662,44430,39251,31236,26145,18110,-,Upgrade
24,Long-Term Unearned Revenue,3213,3215,3213,3291,7119,4675,12559,6700,7384,13337,-,-,-,-,-,-,-,-,-,-,Upgrade
25,Other Long-Term Liabilities,1341,1174,1023,598.12,537.12,487.12,404.12,477.12,522.12,459,-,840.15,1047,828.49,974.22,1524,810.79,1043,1043,-,Upgrade
26,Total Liabilities,285070,259873,249029,331407,394111,386042,347698,372019,400111,435428,-,411637,312657,344845,340001,238786,221867,242999,239787,-,Upgrade
27,Common Stock,99635,99635,99635,99635,99635,99635,99635,99635,99635,99635,-,99635,99635,99635,99635,99635,99635,99635,99635,-,Upgrade
28,Additional Paid-In Capital,144033,144033,144033,144033,144033,144033,144033,144033,144033,144033,-,144033,144033,144033,144033,144033,144033,144033,144033,-,Upgrade
29,Retained Earnings,-26107,-19460,-12356,-6273,907.75,852.22,18147,18139,16429,16239,-,16853,16409,23690,20508,19567,20018,24904,25488,-,Upgrade
30,Treasury Stock,-7315,-7315,-7315,-7315,-7315,-7315,-7315,-7315,-7315,-7315,-,-7315,-7315,-7315,-5911,-5459,-5459,-5459,-5459,-,Upgrade
31,Comprehensive Income & Other,27438,27438,27438,27438,27438,27438,27438,27438,27438,27438,-,27134,27207,26260,27264,27339,28551,28111,27438,-,Upgrade
32,Total Common Equity,237683,244330,251434,257517,264698,264642,281937,281929,280219,280029,286409,280339,279968,286302,285529,285114,286777,291223,291135,-,Upgrade
33,Minority Interest,-,-,-,-,-,-,-,-,-,-,-,323.68,372.77,484.66,1256,1621,2082,2319,2638,-,Upgrade
34,Shareholders' Equity,237683,244330,251434,257517,264698,264642,281937,281929,280219,280029,286409,280663,280340,286787,286785,286735,288859,293542,293773,-,Upgrade
35,Total Liabilities & Equity,522753,504202,500462,588924,658808,650684,629635,653948,680330,715457,-,692300,592997,631632,626786,525521,510726,536541,533560,-,Upgrade
36,Total Debt,158727,159730,147110,196146,135511,187837,178573,155474,127483,162857,114746,106686,167013,154501,129547,137352,131639,137855,100964,-,Upgrade
37,Net Cash (Debt),-149469,-141418,-117278,-112698,-109730,-162078,-157578,-126461,-93162,-106127,-75121,-12148,-140821,-82461,-43207,-94100,-45772,-44006,-36169,-,Upgrade
38,Net Cash Per Share,-6027.22,-5702.55,-4729.12,-4544.44,-4424.77,-6535.63,-6354.20,-5084.82,-3756.68,-4279.46,-3029.18,-488.30,-5696.58,-3303.48,-1719.59,-3754.16,-1829.99,-1759.09,-1468.56,-,Upgrade
39,Filing Date Shares Outstanding,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.98,25.04,24.25,25.04,24.63,24.69,Upgrade
40,Total Common Shares Outstanding,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.98,25.04,24.25,25.04,24.63,24.69,Upgrade
41,Working Capital,112892,117139,120968,147046,180245,183767,215813,208797,207876,212412,-,225717,253585,253798,250163,243591,249338,236279,237854,-,Upgrade
42,Book Value Per Share,9584.36,9852.37,10138.83,10384.14,10673.69,10671.45,11368.86,11368.55,11299.58,11291.91,11549.18,11304.42,11289.44,11544.87,11429.32,11386.83,11824.39,11630.81,11820.72,-,Upgrade
43,Tangible Book Value,233451,240029,247065,252855,260194,260070,277297,277222,275444,275186,281396,275185,274853,281122,280332,279855,281447,286208,286061,-,Upgrade
44,Tangible Book Value Per Share,9413.68,9678.95,9962.68,10196.14,10492.07,10487.10,11181.76,11178.72,11107.02,11096.62,11347.05,11096.58,11083.21,11336.00,11221.29,11176.77,11604.63,11430.52,11614.73,-,Upgrade
45,Buildings,54113,-,53984,55275,55035,55035,55035,54520,58902,57301,-,57431,57180,56716,56716,56716,56716,56716,-,-,Upgrade
46,Machinery,101854,-,101377,102654,97121,98322,83066,83079,72000,66983,-,70658,69624,68001,67330,66451,62496,62027,-,-,Upgrade
