,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,470459,184417,75269,68971,98366,123107,68710,81018,319257,78253,100330,395416,108906,375391,1148556,50331,574262,112348,92114,139430,Upgrade
1,Revenue Growth (YoY),378.27%,49.80%,9.55%,-14.87%,-69.19%,57.32%,-31.52%,-79.51%,193.15%,-79.15%,-91.26%,685.63%,-81.04%,234.13%,1146.88%,-63.90%,97.32%,-65.04%,-62.54%,-19.00%,Upgrade
2,Cost of Revenue,572905,177055,57437,41073,59447,105134,39577,59856,237872,49174,68246,294932,83216,304307,945617,37615,992655,82276,70910,80033,Upgrade
3,Gross Profit,-102446,7362,17832,27898,38919,17973,29134,21162,81385,29079,32084,100484,25690,71084,202940,12716,-418393,30072,21204,59397,Upgrade
4,"Selling, General & Admin",27874,20949,22617,4833,40546,17940,50427,21979,54934,40247,34491,54952,39924,40028,98737,24964,113841,21158,18232,25051,Upgrade
5,Operating Expenses,27874,20949,22617,4833,40546,17940,50427,21979,54934,40247,34491,54952,39924,40028,98737,24964,113841,21158,18232,25051,Upgrade
6,Operating Income,-130319,-13586,-4785,23065,-1628,32.85,-21294,-816.93,26451,-11168,-2407,45532,-14234,31056,104203,-12249,-532234,8914,2971,34346,Upgrade
7,Interest Expense,-71541,-75638,-77696,-78677,-67977,-86031,-74339,-76173,-146759,-53810,-128680,-49231,-263650,-47787,-49842,-34931,-162329,-27376,-24548,-26697,Upgrade
8,Interest & Investment Income,230545,85421,65268,43889,82748,92600,103263,30582,35958,85804,206364,37257,299441,71747,45007,96099,588886,39893,36200,41518,Upgrade
9,Earnings From Equity Investments,-5038,-3953,-1169,-166.43,-310.35,-2120,4684,-3230,8309,-4380,12615,-2300,20056,-1600,-2194,-523.98,-2748,277.97,-2055,-2737,Upgrade
10,Other Non Operating Income (Expenses),-11835,13465,-37116,23149,25033,-2526,310.1,33662,-32.04,11388,-2094,22330,-23152,-40613,84081,-8634,-16629,-566.01,1783,4389,Upgrade
11,EBT Excluding Unusual Items,11811,5710,-55499,11259,37865,1956,12624,-15976,-76073,27834,85797,53588,18461,12804,181254,39761,-125054,21143,14351,50820,Upgrade
12,Gain (Loss) on Sale of Investments,-,-,67709,-,-113.84,-,-,22228,-26262,-,-,16252,2978,-,100.32,-2013,243431,-,-,23.11,Upgrade
13,Gain (Loss) on Sale of Assets,-,-,519.56,5.85,-98.35,-,-,-,-120.97,-,-,-,-,-,-,50,-347.07,-,94.63,94.53,Upgrade
14,Other Unusual Items,-,-,-3683,-4176,-37197,-,-,-4926,-2343,-,-,248.94,-12396,-,1059,-20.97,3990,-38.1,-2.16,-3957,Upgrade
15,Pretax Income,11811,5710,9047,7089,456.37,1956,12624,1325,-104799,27834,85797,70089,9042,12804,182414,37777,122020,21105,14443,46980,Upgrade
16,Income Tax Expense,9052,4880,13150,2326,-5421,-1649,8645,-636.05,-15361,5793,20279,12128,4418,3361,39234,819.1,21026,526.78,-11089,-214.61,Upgrade
17,Earnings From Continuing Operations,2759,829.88,-4103,4762,5877,3605,3979,1961,-89438,22041,65519,57961,4624,9443,143181,36958,100994,20578,25531,47195,Upgrade
18,Minority Interest in Earnings,-1644,-215.38,405.22,142.95,-1087,-2610,-1640,-1367,-1842,-1245,-1593,-1238,-1353,-1925,-1839,-1948,-2989,-1958,-227.77,-431.99,Upgrade
19,Net Income,1115,614.5,-3698,4905,4791,995.06,2339,593.91,-91281,20796,63926,56723,3272,7518,141341,35010,98005,18620,25304,46763,Upgrade
20,Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,18002,-,-,-,10964,-,-,-,Upgrade
21,Net Income to Common,1115,614.5,-3698,4905,4791,995.06,2339,593.91,-91281,20796,63926,56723,-14731,7518,141341,35010,87041,18620,25304,46763,Upgrade
22,Net Income Growth,-76.73%,-38.25%,-,725.95%,-,-95.22%,-96.34%,-98.95%,-,176.63%,-54.77%,62.02%,-96.66%,-59.62%,458.58%,-25.13%,-,-89.04%,-44.18%,-47.44%,Upgrade
23,Shares Outstanding (Basic),431,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,Upgrade
24,Shares Outstanding (Diluted),431,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,Upgrade
25,Shares Change (YoY),8.83%,-,-,-,-,-0.00%,-0.00%,-0.00%,-0.00%,-,-,-,-,-,-,-,-0.00%,-0.00%,-0.00%,-0.00%,Upgrade
26,EPS (Basic),2.59,1.55,-9.35,12.40,12.11,2.51,5.91,1.50,-230.70,52.56,161.57,143.36,-37.23,19.00,357.22,88.48,219.99,47.06,63.95,118.19,Upgrade
27,EPS (Diluted),2.59,1.55,-9.35,12.40,12.07,2.51,5.91,1.50,-230.70,52.56,161.57,143.36,-37.71,19.00,357.22,88.48,219.87,47.06,63.95,118.19,Upgrade
28,EPS Growth,-78.55%,-38.25%,-,725.95%,-,-95.22%,-96.34%,-98.95%,-,176.63%,-54.77%,62.02%,-,-59.62%,458.58%,-25.13%,-,-89.04%,-44.18%,-47.44%,Upgrade
29,Free Cash Flow,-,6786,161573,-177681,-280488,-156495,-858050,-292958,-310080,-37660,-323938,-278325,223952,58919,543624,84503,553040,140692,-217903,-186101,Upgrade
30,Free Cash Flow Per Share,-,17.15,408.36,-449.07,-708.91,-395.53,-2168.65,-740.43,-783.70,-95.18,-818.72,-703.44,566.01,148.91,1373.95,213.57,1397.75,355.58,-550.73,-470.35,Upgrade
31,Dividend Per Share,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,925.926,-,-,-,Upgrade
32,Gross Margin,-21.78%,3.99%,23.69%,40.45%,39.56%,14.60%,42.40%,26.12%,25.49%,37.16%,31.98%,25.41%,23.59%,18.94%,17.67%,25.26%,-72.86%,26.77%,23.02%,42.60%,Upgrade
33,Operating Margin,-27.70%,-7.37%,-6.36%,33.44%,-1.65%,0.03%,-30.99%,-1.01%,8.29%,-14.27%,-2.40%,11.51%,-13.07%,8.27%,9.07%,-24.34%,-92.68%,7.93%,3.23%,24.63%,Upgrade
34,Profit Margin,0.24%,0.33%,-4.91%,7.11%,4.87%,0.81%,3.40%,0.73%,-28.59%,26.58%,63.72%,14.35%,-13.53%,2.00%,12.31%,69.56%,15.16%,16.57%,27.47%,33.54%,Upgrade
35,Free Cash Flow Margin,-,3.68%,214.66%,-257.62%,-285.15%,-127.12%,-1248.80%,-361.59%,-97.13%,-48.13%,-322.87%,-70.39%,205.64%,15.70%,47.33%,167.90%,96.30%,125.23%,-236.56%,-133.47%,Upgrade
36,EBITDA,-117761,-1028,9729,36166,11677,14100,-7195,13301,40806,760.89,9452,57367,-2377,42888,116052,-460.48,-520343,19539,13918,45472,Upgrade
37,EBITDA Margin,-25.03%,-0.56%,12.93%,52.44%,11.87%,11.45%,-10.47%,16.42%,12.78%,0.97%,9.42%,14.51%,-2.18%,11.42%,10.10%,-0.91%,-90.61%,17.39%,15.11%,32.61%,Upgrade
38,D&A For EBITDA,12558,12558,14514,13101,13305,14067,14099,14118,14355,11929,11859,11835,11857,11832,11849,11788,11891,10625,10946,11126,Upgrade
39,EBIT,-130319,-13586,-4785,23065,-1628,32.85,-21294,-816.93,26451,-11168,-2407,45532,-14234,31056,104203,-12249,-532234,8914,2971,34346,Upgrade
40,EBIT Margin,-27.70%,-7.37%,-6.36%,33.44%,-1.65%,0.03%,-30.99%,-1.01%,8.29%,-14.27%,-2.40%,11.51%,-13.07%,8.27%,9.07%,-24.34%,-92.68%,7.93%,3.23%,24.63%,Upgrade
41,Effective Tax Rate,76.64%,85.47%,145.35%,32.82%,-,-,68.48%,-,-,20.81%,23.64%,17.30%,48.86%,26.25%,21.51%,2.17%,17.23%,2.50%,-,-,Upgrade
42,Revenue as Reported,470459,184417,75269,68971,98366,123107,68710,81018,319257,78253,100330,395416,108906,375391,1148556,50331,574262,112348,92114,139430,Upgrade
