,Fiscal Quarter,Q4 2024,Q4 2023
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023"
0,Revenue,33581,52086
1,Cost of Revenue,29582,17004
2,Gross Profit,3999,35082
3,"Selling, General & Admin",11104,18254
4,Operating Expenses,11104,18254
5,Operating Income,-7105,16828
6,Interest Expense,-9267,-9176
7,Interest & Investment Income,3038,46297
8,Earnings From Equity Investments,-9.24,11.32
9,Other Non Operating Income (Expenses),96948,13064
10,Pretax Income,83606,67024
11,Income Tax Expense,18659,13578
12,Earnings From Continuing Operations,64947,53446
13,Minority Interest in Earnings,-242.91,-521.71
14,Net Income,64704,52924
15,Net Income to Common,64704,52924
16,Shares Outstanding (Basic),60,60
17,Shares Outstanding (Diluted),60,60
18,EPS (Basic),1078.00,882.00
19,EPS (Diluted),1078.00,882.00
20,Gross Margin,11.91%,67.35%
21,Operating Margin,-21.16%,32.31%
22,Profit Margin,192.68%,101.61%
23,EBITDA,-5915,-
24,EBITDA Margin,-17.61%,-
25,D&A For EBITDA,1190,-
26,EBIT,-7105,16828
27,EBIT Margin,-21.16%,32.31%
28,Effective Tax Rate,22.32%,20.26%
29,Revenue as Reported,33581,52086
