,Fiscal Quarter,Current,Q4 2024,Q4 2023
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023"
0,Market Capitalization,2280000,2250000,1173000
1,Enterprise Value,2679968,1998772,921772
2,Last Close Price,38000.00,37500.00,19550.00
3,PE Ratio,27.60,19.13,22.16
4,PS Ratio,15.05,26.26,22.52
5,PB Ratio,2.37,2.25,1.28
6,P/TBV Ratio,2.34,2.34,1.33
7,EV/Sales Ratio,17.69,23.33,17.70
8,EV/EBIT Ratio,135.52,-,54.78
9,Debt / Equity Ratio,0.42,0.42,0.38
10,Quick Ratio,0.43,0.49,0.47
11,Current Ratio,1.51,1.51,1.85
12,Return on Capital Employed (ROCE),1.61%,-,1.38%
13,Earnings Yield,3.62%,5.23%,4.51%
