,Fiscal Quarter,Q2 2017,Q1 2017,Q2 2016,Q1 2016,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,+11 Quarters
,Period Ending,"Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Jan '14 Jan 1, 2014","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Dec '12 Dec 31, 2012","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Dec '11 Dec 31, 2011",+11 Quarters
0,Cash & Equivalents,41245,-,-,-,125761,42805,46359,98149,76678,31448,26412,22782,37533,36673,47259,131788,31732,29143,23756,59926,Upgrade
1,Short-Term Investments,4000,-,-,-,-,-,14711,36051,35379,35379,46102,33044,47499,53023,106768,47353,8830,12817,18418,14884,Upgrade
2,Cash & Short-Term Investments,45245,-,-,-,125761,42805,61070,134200,112057,66828,72514,55826,85032,89696,154027,179141,40562,41960,42174,74810,Upgrade
3,Cash Growth,-64.02%,-,-,-,12.23%,-35.95%,-15.78%,140.39%,31.78%,-25.50%,-52.92%,-68.84%,109.64%,113.77%,265.22%,139.46%,-16.27%,-49.15%,-29.90%,-44.41%,Upgrade
4,Accounts Receivable,489111,-,-,-,299374,366771,318043,310818,278614,232627,282800,233164,241238,224049,278466,307733,315624,294838,292988,337134,Upgrade
5,Other Receivables,38834,-,-,-,53328,62184,5401,3084,8715,3029,2855,3605,4556,4851,61805,49009,1730,2954,2374,3322,Upgrade
6,Receivables,622056,-,-,-,352701,436847,331836,313902,287329,235656,285656,240869,249894,234000,340271,357742,317421,297926,295564,342956,Upgrade
7,Inventory,1104022,-,-,-,697967,624746,643631,621113,607165,587024,588765,569104,495538,521626,415154,395517,460639,394411,349938,354579,Upgrade
8,Prepaid Expenses,15702,-,-,-,6446,6147,5527,6883,6452,6105,5117,5731,19056,2747,5709,3319,2238,8653,1595,1485,Upgrade
9,Other Current Assets,219182,-,-,-,83012,21141,83678,91164,112321,95257,76542,78976,87700,169462,169105,120402,212363,167846,170886,104698,Upgrade
10,Total Current Assets,2006207,-,-,-,1265887,1131687,1125742,1167262,1125324,990869,1028593,950506,937220,1017530,1084266,1056121,1033223,910795,860156,878528,Upgrade
11,"Property, Plant & Equipment",527969,-,-,-,441321,443933,425423,371121,353258,330796,328112,331979,399267,395863,404291,397491,398366,372862,366500,365612,Upgrade
12,Long-Term Investments,166295,-,-,-,40190,37479,34519,50078,50150,48529,48332,47764,29414,29336,30498,30001,95615,94697,99293,91293,Upgrade
13,Goodwill,1459,-,-,-,45483,47383,49283,51182,53082,54982,56882,58782,60731,62631,64531,66431,68843,70755,72668,74580,Upgrade
14,Other Intangible Assets,9051,-,-,-,13155,12781,13023,13242,13566,13613,13260,13469,48093,48496,48230,48408,48268,48649,49029,49410,Upgrade
15,Long-Term Deferred Tax Assets,-,-,-,-,-,-,-,-,-,-,-,-,152.51,161.97,171.42,180.88,193.01,200.18,453.32,453.32,Upgrade
16,Long-Term Deferred Charges,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,737.81,841.98,1057,1271,Upgrade
17,Other Long-Term Assets,71875,-,-,-,40042,31453,30436,22635,33937,35537,37131,21289,20543,19131,18815,15618,16986,12203,5395,6025,Upgrade
18,Total Assets,2782856,-,-,-,1846078,1704715,1678425,1675520,1629317,1474325,1512310,1423788,1495421,1573150,1650802,1614250,1662232,1511003,1454551,1467171,Upgrade
19,Accounts Payable,215194,-,-,-,309967,268127,257571,303474,266732,198875,345216,261435,197158,291663,204402,238189,241988,119008,68373,100977,Upgrade
20,Accrued Expenses,35030,-,-,-,10181,16091,11431,21298,13596,11197,12788,10121,22176,10795,15370,27475,14668,9563,9141,22208,Upgrade
21,Short-Term Debt,1301113,-,-,-,782928,709573,694913,690922,700182,682041,586022,582050,646170,626774,715702,656875,713324,689305,717550,701075,Upgrade
22,Current Portion of Long-Term Debt,48008,-,-,-,-,-,-,40703,9965,15950,24595,33371,7875,17247,78110,86360,6027,11864,58245,68968,Upgrade
23,Current Portion of Leases,1024,-,-,-,-,-,-,1086,118.5,237,355.5,474,118.5,397.52,706.29,1126,424.5,849,1274,1698,Upgrade
24,Current Income Taxes Payable,7342,-,-,-,9364,10196,5654,2313,5393,2937,837.53,217.37,2345,9735,16157,2549,9154,6836,8689,11590,Upgrade
25,Current Unearned Revenue,2.37,-,-,-,0.17,11120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
26,Other Current Liabilities,13136,-,-,-,19843,2135,31241,8912,15820,15565,11205,10891,5274,1651,5330,3178,13308,13155,5051,2014,Upgrade
27,Total Current Liabilities,1620849,-,-,-,1132283,1017242,1000809,1068708,1011807,926802,981018,898560,881116,958263,1035779,1015752,998894,850580,868322,908529,Upgrade
28,Long-Term Debt,251747,-,-,-,180251,163777,175882,117143,135513,116305,108885,104352,140050,140222,141739,127180,203667,186630,114843,85043,Upgrade
29,Long-Term Leases,1325,-,-,-,-,-,3140,2398,186.43,186.43,186.43,186.43,2148,660.43,660.43,660.43,1787,1787,1787,1787,Upgrade
30,Long-Term Unearned Revenue,6.52,-,-,-,30680,30933,31217,31377,34380,32928,31977,32036,32232,32427,32905,32817,33208,33208,33403,33599,Upgrade
31,Long-Term Deferred Tax Liabilities,294.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
32,Other Long-Term Liabilities,43460,-,-,-,2535,2528,-,12122,12221,12344,12377,12200,11383,11547,10467,10442,14613,14579,14615,14713,Upgrade
33,Total Liabilities,1917683,-,-,-,1345749,1214479,1211048,1231748,1194108,1088565,1134444,1047335,1066930,1143119,1221550,1186851,1252168,1086783,1032970,1043670,Upgrade
34,Common Stock,611895,-,-,-,367107,367107,367107,337107,337107,267107,267107,267107,267107,267107,267107,267107,267107,267107,267107,267107,Upgrade
35,Additional Paid-In Capital,16061,-,-,-,18831,18846,18846,33846,33861,69048,69048,69048,69048,69048,69048,69048,69048,69048,69048,69048,Upgrade
36,Retained Earnings,231455,-,-,-,117124,106318,81351,72080,62545,46694,38071,36594,41465,44206,44496,43474,30212,45762,43567,44360,Upgrade
37,Treasury Stock,-9484,-,-,-,-9484,-9484,-9484,-9484,-9484,-9484,-9484,-9484,-9484,-9484,-9484,-9484,-9484,-9484,-9484,-9977,Upgrade
38,Comprehensive Income & Other,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1063,Upgrade
39,Total Common Equity,849926,-,-,-,493577,482787,457820,433549,424029,373365,364742,363265,368135,370877,371166,370145,356883,372433,370238,371601,Upgrade
40,Minority Interest,15246,-,-,-,6751,7450,9556,10223,11180,12395,13124,13189,60356,59154,58086,57254,53181,51788,51342,51900,Upgrade
41,Shareholders' Equity,865173,-,-,-,500329,490236,467377,443772,435209,385760,377865,376454,428491,430031,429252,427399,410064,424220,421580,423501,Upgrade
42,Total Liabilities & Equity,2782856,-,-,-,1846078,1704715,1678425,1675520,1629317,1474325,1512310,1423788,1495421,1573150,1650802,1614250,1662232,1511003,1454551,1467171,Upgrade
43,Total Debt,1603217,-,-,-,963179,873350,873935,852253,845965,814720,720043,720434,796361,785300,936919,872201,925229,890434,893698,858570,Upgrade
44,Net Cash (Debt),-1557972,-,-,-,-837418,-830545,-812865,-718052,-733908,-747892,-647529,-664608,-711329,-695604,-782892,-693061,-884667,-848474,-851524,-783760,Upgrade
