,Fiscal Quarter,Q2 2017,Q1 2017,Q2 2016,Q1 2016,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,+11 Quarters
,Period Ending,"Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Jan '14 Jan 1, 2014","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Dec '12 Dec 31, 2012","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Dec '11 Dec 31, 2011",+11 Quarters
0,Revenue,962901,823794,593735,515973,564029,575914,434285,587771,482572,548546,375129,489121,413856,421010,495862,648288,490882,522804,481523,602061,Upgrade
1,Revenue Growth (YoY),70.72%,43.04%,36.72%,-12.22%,16.88%,4.99%,15.77%,20.17%,16.60%,30.29%,-24.35%,-24.55%,-15.69%,-19.47%,2.98%,7.68%,-4.46%,4.30%,41.95%,16.55%,Upgrade
2,Cost of Revenue,852481,703685,482199,419046,474438,480610,363095,492068,401756,486048,321562,407090,358062,361287,432604,573971,419172,456420,433049,529291,Upgrade
3,Gross Profit,110419,120109,111537,96927,89591,95303,71190,95703,80816,62498,53567,82031,55793,59724,63258,74317,71711,66384,48474,72770,Upgrade
4,"Selling, General & Admin",63443,70749,53265,48893,41124,42273,33375,65188,44108,35292,37278,48217,39047,35557,38991,40476,35609,31286,23024,31530,Upgrade
5,Other Operating Expenses,-,-,-,-,-,5442,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
6,Operating Expenses,63443,70749,53265,48893,41124,47715,33375,65188,44108,35292,37278,48217,39047,35557,38991,40476,35609,31286,23024,31530,Upgrade
7,Operating Income,46976,49360,58271,48034,48467,47588,37815,30516,36708,27206,16289,33814,16746,24167,24267,33842,36102,35098,25450,41240,Upgrade
8,Interest Expense,-20421,-18271,-16035,-14805,-,-,-12453,-18963,-18333,-19830,-15358,-22433,-18679,-24287,-22562,-28485,-27086,-36534,-28557,-50539,Upgrade
