,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,48964,222885,100422,-,58888,139456,169602,112242,219130,148828,228738,171458,152635.0,78442,70709,94250,14135,83192,90809,118747,Upgrade
1,Short-Term Investments,22014,-,20000,-,-,-,-,30000,30000,-,-,-,634.7,-,-,-,-,-,166.52,-,Upgrade
2,Accounts Receivable,236062,175796,109114,-,239588,240830,152555,108234,118514,254991,135369,99175,130467.0,182436,99960,32856,109673,77296,79470,48982,Upgrade
3,Other Receivables,206.18,238.98,414.84,-,713.07,60.57,208.92,2047,757.84,146.06,140.94,128.26,63.12,-,-,307.72,-,487.5,307.36,411.13,Upgrade
4,Inventory,5805,5339,5133,-,6112,6671,6241,6064,6232,5769,5351,5830,6052.0,5907,5256,4232,3541,2943,3134,3638,Upgrade
5,Prepaid Expenses,723.91,194.43,179.17,-,169,153.94,100.33,208.27,226.79,299.41,495.38,616.64,263.08,172.71,155.72,114.21,157.56,345.73,506.85,659.72,Upgrade
6,Other Current Assets,6214,729.28,951.67,-,2058,1874,5815,6694,3610,1373,1468,4271,2187.0,3805,3994,3391,1012,9650,13970,13191,Upgrade
7,Total Current Assets,319987,405183,236215,-,307529,389045,334522,265489,378471,411407,371562,281479,292301.0,270763,180075,135151,128520,173915,188364,185629,Upgrade
8,"Property, Plant & Equipment",1110767,1137401,1164634,-,1231853,1269164,1304650,1344732,1386263,1425122,1463556,1498193,1536239.0,1574861,1614318,1652262,1691208,1730502,1774074,1819076,Upgrade
