,Fiscal Quarter,Current,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 10, 2025","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Debt / Equity Ratio,0.37,0.37,0.26,0.19,0.17,0.29,0.25,0.14,0.09,0.11,0.11,0.17,-,-,0.19
1,Debt / EBITDA Ratio,1.28,1.10,1.09,0.57,0.68,1.03,0.88,0.75,0.46,0.26,0.43,0.35,-,-,0.90
2,Debt / FCF Ratio,-,-,-,-28.00,-,-6.88,-,-,0.41,-,0.20,0.63,-,-,-
3,Asset Turnover,0.33,0.29,0.31,0.32,0.34,0.32,0.33,0.26,0.39,-,-,-,-,-,
4,Inventory Turnover,10.86,14.46,10.89,9.81,10.13,10.28,9.25,9.79,7.64,11.53,-,-,-,-,-
5,Quick Ratio,3.53,3.53,3.92,4.01,3.86,3.63,4.19,4.99,5.06,4.97,3.99,4.15,-,-,-
6,Current Ratio,4.04,4.04,4.45,4.56,4.47,4.15,4.74,5.72,5.81,5.64,4.56,4.73,-,-,-
7,Return on Equity (ROE),28.09%,19.10%,33.40%,21.93%,29.86%,27.57%,20.50%,22.09%,43.75%,-,-,-,-,-,
8,Return on Assets (ROA),2.08%,2.68%,3.21%,2.07%,2.40%,2.93%,1.42%,1.88%,4.42%,-,-,-,-,-,
9,Return on Capital (ROIC),8.43%,11.30%,14.16%,8.85%,9.99%,13.12%,6.76%,9.02%,21.93%,-,-,-,-,-,
10,Return on Capital Employed (ROCE),4.32%,4.32%,4.45%,4.65%,3.93%,3.77%,4.52%,4.15%,5.21%,5.24%,4.60%,4.39%,-,-,-
11,Payout Ratio,61.32%,134.06%,-,-,102.96%,0.32%,-,107.82%,48.07%,0.10%,-,20.11%,23.62%,1.64%,182.38%
12,Buyback Yield / Dilution,12.43%,2.15%,2.18%,0.12%,-1.72%,10.03%,-17.01%,-16.99%,0.02%,0.03%,-0.05%,-,-,-,-
13,Total Shareholder Return,14.10%,2.15%,2.18%,0.12%,-1.72%,10.03%,-17.01%,-16.99%,0.02%,0.03%,-0.05%,-,-,-,-
