,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,95919,179682,88545,58398,93256,179808,91046,66700,92417,174821,109153,78876,137543,153823,83704,50278,88197,112630,70382,60062,Upgrade
1,Revenue Growth (YoY),2.85%,-0.07%,-2.75%,-12.45%,0.91%,2.85%,-16.59%,-15.44%,-32.81%,13.65%,30.40%,56.88%,55.95%,36.57%,18.93%,-16.29%,-18.32%,-34.15%,-14.22%,-6.23%,Upgrade
2,"Selling, General & Admin",4509,-1158,8200,3241,-10390,12910,7935,6901,-5536,8356,8286,6597,15129,6051,4110,2570,27682,7583,7128,7555,Upgrade
3,Depreciation & Amortization,443.85,-,-,108.34,407.6,-,-,-,390.47,-,-,-,-,-,285.67,-,-,-,-,-,Upgrade
4,Provision for Bad Debts,-18723,-,-,-,3639,-,-,-,8172,-,-,-,-,-,-6000,-,-,-,-,-,Upgrade
5,Other Operating Expenses,92077,69623,38409,32908,82554,76938,38684,33598,71594,71006,42814,32352,70442,53231,51227,25975,38681,46339,35397,32887,Upgrade
6,Total Operating Expenses,78307,68465,46609,36257,76211,89848,46619,40499,74621,79363,51100,38949,85570,59282,49623,28545,66363,53921,42525,40442,Upgrade
7,Operating Income,17612,111217,41937,22141,17045,89960,44427,26202,17796,95458,58052,39927,51972,94541,34082,21733,21834,58708,27857,19620,Upgrade
8,Interest Expense,-5717,-2373,-5743,-2449,-4478,-4286,-6417,-3334,-5199,-3033,-3706,-3060,-3484,-2887,-2877,-4124,-3976,-3456,-5067,-3550,Upgrade
9,Interest Income,4645,1585,1100,933.65,2026,1339,1702,2280,160.71,21.22,6.53,5.94,9629,6.96,4.67,184.63,11781,892.7,1617,1386,Upgrade
10,Net Interest Expense,-1073,-788.11,-4643,-1516,-2452,-2947,-4715,-1054,-5038,-3012,-3699,-3054,6145,-2880,-2872,-3939,7806,-2563,-3450,-2164,Upgrade
11,Currency Exchange Gain (Loss),-287.36,-,-,-,-2676,-,-,-179.37,-1355,-,-,-,772.28,-,329.73,-,495.49,-,-324.18,-,Upgrade
12,Other Non-Operating Income (Expenses),-903.35,-498.53,-4107,-211.93,19.91,-2.08,-270.23,441.43,-371.02,-62.78,-2080,-66.97,-168.01,-53.61,-,244.9,409.84,38.36,-,-,Upgrade
13,EBT Excluding Unusual Items,15348,109930,33187,20414,11936,87011,39441,25410,11033,92384,52273,36806,58722,91607,31539,18039,30545,56183,24083,17455,Upgrade
14,Legal Settlements,506.63,-,-,-,12.62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
15,Other Unusual Items,-,-,-,-,-,-,-,-83.67,15,-,-,-,61.29,-,-,-,-,-,-,-,Upgrade
16,Pretax Income,15855,109930,33187,20414,11949,87011,39441,25326,11048,92384,52273,36806,58783,91607,31539,18039,30545,56183,24083,17455,Upgrade
17,Income Tax Expense,3002,21495,7593,4602,2742,16378,8634,5803,2085,18298,10237,7627,11002,17772,7297,3861,6682,11680,5906,4250,Upgrade
18,Earnings From Continuing Ops.,12853,88435,25594,15812,9206,70633,30808,19523,8963,74086,42036,29179,47781,73835,24242,14178,23864,44503,18177,13206,Upgrade
19,Minority Interest in Earnings,-325.49,-397,437.27,56.71,-345.81,-484.79,200.61,346.93,-165.73,-170.43,-241.57,249.48,-750.67,64.55,347.71,236.99,-707.06,513.91,817.56,711.17,Upgrade
20,Net Income,12527,88038,26031,15868,8860,70148,31008,19870,8797,73916,41795,29428,47030,73899,24590,14415,23156,45017,18994,13917,Upgrade
21,Preferred Dividends & Other Adjustments,-,-,-,-,9751,-,-,-,9149,-,-,-,8582,-,-,-,5271,-,-,-,Upgrade
22,Net Income to Common,12527,88038,26031,15868,-890.62,70148,31008,19870,-351.86,73916,41795,29428,38448,73899,24590,14415,17886,45017,18994,13917,Upgrade
23,Net Income Growth,41.39%,25.50%,-16.05%,-20.14%,0.72%,-5.10%,-25.81%,-32.48%,-81.29%,0.02%,69.97%,104.15%,103.10%,64.16%,29.46%,3.58%,-37.92%,-37.27%,-24.87%,-28.10%,Upgrade
24,Shares Outstanding (Basic),69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,Upgrade
25,Shares Outstanding (Diluted),69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,Upgrade
26,Shares Change (YoY),-0.35%,0.03%,-0.02%,-0.02%,-0.07%,-0.06%,0.13%,0.13%,0.43%,0.02%,-0.08%,-0.08%,-0.16%,-0.06%,-0.11%,0.11%,0.19%,0.06%,-9.26%,0.01%,Upgrade
27,EPS (Basic),181.62,1276.00,377.00,230.00,-12.87,1017.00,449.00,287.94,-5.08,1071.00,606.00,427.00,557.45,1071.00,356.24,209.00,258.90,652.00,274.88,202.00,Upgrade
28,EPS (Diluted),181.62,1276.00,377.00,230.00,-12.87,1017.00,449.00,287.94,-5.08,1071.00,606.00,427.00,557.45,1071.00,356.24,209.00,258.90,652.00,274.88,202.00,Upgrade
29,EPS Growth,-,25.47%,-16.04%,-20.12%,-,-5.04%,-25.91%,-32.57%,-,-0.00%,70.11%,104.31%,115.31%,64.26%,29.60%,3.47%,-38.25%,-37.31%,-17.21%,-28.11%,Upgrade
30,Free Cash Flow,146864,24375,38974,-10816,201957,11342,18307,-29266,105273,60508,16538,67563,-6317,19903,27363,-51652,38143,-18209,44647,-49361,Upgrade
31,Free Cash Flow Per Share,2129.14,353.29,564.45,-156.78,2917.54,164.43,265.09,-424.10,1519.77,876.73,239.80,980.33,-91.58,288.45,396.41,-748.88,552.13,-263.72,646.11,-716.45,Upgrade
32,Dividend Per Share,-,-,-,-,1800.000,-,-,-,1400.000,-,-,-,1500.000,-,-,-,1300.000,-,-,-,Upgrade
33,Dividend Growth,-,-,-,-,28.57%,-,-,-,-6.67%,-,-,-,15.38%,-,-,-,-,-,-,-,Upgrade
34,Profit Margin,13.06%,49.00%,29.40%,27.17%,-0.96%,39.01%,34.06%,29.79%,-0.38%,42.28%,38.29%,37.31%,27.95%,48.04%,29.38%,28.67%,20.28%,39.97%,26.99%,23.17%,Upgrade
35,Free Cash Flow Margin,153.11%,13.57%,44.02%,-18.52%,216.56%,6.31%,20.11%,-43.88%,113.91%,34.61%,15.15%,85.66%,-4.59%,12.94%,32.69%,-102.73%,43.25%,-16.17%,63.44%,-82.18%,Upgrade
36,EBITDA,39951,141446,59028,33439,41906,121122,61640,39340,41435,124130,76117,54747,79332,120891,52136,30254,38047,77907,43153,31307,Upgrade
37,EBITDA Margin,41.65%,78.72%,66.66%,57.26%,44.94%,67.36%,67.70%,58.98%,44.83%,71.00%,69.73%,69.41%,57.68%,78.59%,62.29%,60.17%,43.14%,69.17%,61.31%,52.12%,Upgrade
38,D&A For EBITDA,22340,30230,17091,11298,24862,31162,17214,13138,23639,28671,18065,14820,27359,26350,18054,8520,16213,19198,15296,11687,Upgrade
39,EBIT,17612,111217,41937,22141,17045,89960,44427,26202,17796,95458,58052,39927,51972,94541,34082,21733,21834,58708,27857,19620,Upgrade
40,EBIT Margin,18.36%,61.90%,47.36%,37.91%,18.28%,50.03%,48.80%,39.28%,19.26%,54.60%,53.18%,50.62%,37.79%,61.46%,40.72%,43.23%,24.76%,52.13%,39.58%,32.67%,Upgrade
41,Effective Tax Rate,18.93%,19.55%,22.88%,22.54%,22.95%,18.82%,21.89%,22.91%,18.87%,19.81%,19.58%,20.72%,18.72%,19.40%,23.14%,21.40%,21.87%,20.79%,24.52%,24.35%,Upgrade
42,Revenue as Reported,95919,179682,88545,58398,93256,179808,91046,66700,92417,174821,109153,78876,137543,153823,83704,50278,88197,112630,70382,60062,Upgrade
