,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,164907,35026,117281,47329,68219,46151,61500,47515,76673,64422,110909,207432,339585,253121,237581,164294,222195,57605,74954,36669,Upgrade
1,Short-Term Investments,13500,27136,32777,9281,19342,25612,41618,31550,29931,69044,24481,21602,19233,17250,13552,15608,13487,16281,12970,28666,Upgrade
2,Trading Asset Securities,6829,6512,5147,6770,5127,5583,4652,4197,4850,8036,9085,17280,17757,7523,6553,5386,3544,2476,2673,2436,Upgrade
3,Cash & Short-Term Investments,185236,68674,155205,63380,92688,77345,107770,83262,111454,141501,144475,246315,376575,277893,257686,185287,239227,76362,90597,67771,Upgrade
4,Cash Growth,99.85%,-11.21%,44.01%,-23.88%,-16.84%,-45.34%,-25.41%,-66.20%,-70.40%,-49.08%,-43.93%,32.94%,57.41%,263.91%,184.43%,173.40%,219.69%,69.96%,77.98%,-22.25%,Upgrade
5,Accounts Receivable,77158,96258,145476,59235,116990,28178,23203,27103,96217,61905,127033,78213,167936,177039,273671,261346,373265,175545,161867,187542,Upgrade
6,Other Receivables,322313,480364,12842,214235,203828,257927,105097,23309,10236,24063,9599,24302,10733,25759,10544,21780,8635,190150,189240,190272,Upgrade
7,Receivables,405471,582622,164318,279470,326818,286105,134299,50412,106452,85968,136632,102515,178668,202799,284215,283126,381900,365695,351106,377814,Upgrade
8,Inventory,4228801,4305678,4240443,4251854,4182466,3837508,3834310,3765151,3705175,3664084,3686689,3557556,3612547,3676659,3704243,3857901,3795941,3852017,3730624,3639028,Upgrade
9,Prepaid Expenses,18951,18005,18407,19835,17429,17604,17490,17516,18081,21697,17634,17204,20555,18065,20870,16606,20558,16488,16495,16541,Upgrade
10,Other Current Assets,245258,40286,401239,227082,130198,48150,124286,154548,88640,117567,71025,116073,73724,133713,92508,144927,98569,209033,191936,185176,Upgrade
11,Total Current Assets,5083717,5015265,4979612,4841622,4749599,4266712,4218156,4070888,4029802,4030817,4056455,4039662,4262069,4309130,4359523,4487848,4536194,4519595,4380760,4286330,Upgrade
12,"Property, Plant & Equipment",2600955,2594469,2535379,2530026,2519865,2514986,2496857,2496293,2499028,2494445,2424548,2424260,2421206,2399329,2398732,2222936,2222767,2220779,2220884,2220949,Upgrade
13,Long-Term Investments,43255,43255,44155,60854,53254,52473,52473,120066,104066,113902,113353,122220,119029,153319,151569,150364,150364,147659,150715,147366,Upgrade
14,Other Intangible Assets,745.29,750.19,755.09,759.98,764.88,769.77,774.67,779.57,784.46,789.36,794.26,799.15,804.05,808.94,813.84,818.74,823.63,828.53,833.42,838.32,Upgrade
15,Long-Term Deferred Tax Assets,14969,8737,15184,10756,14449,9630,13224,9593,11752,9887,10836,7387,7387,6728,6915,6797,6785,6410,6410,6174,Upgrade
16,Other Long-Term Assets,134581,136538,137875,136287,136047,136321,136445,137559,134094,134709,134926,135274,135552,135598,135761,140796,130607,150437,139517,132228,Upgrade
17,Total Assets,7878222,7799014,7712959,7580304,7473979,6980891,6917929,6835179,6779528,6784549,6740913,6729602,6946047,7004913,7053315,7009560,7047540,7045709,6899119,6793885,Upgrade
18,Accounts Payable,116549,113611,140396,140044,141159,140738,138315,166546,135854,148238,119119,152048,208396,236359,216884,262592,238797,164051,137236,134242,Upgrade
19,Accrued Expenses,377378,572395,653808,745457,723774,620245,554511,1366755,438315,331409,343263,247661,384707,417610,373447,301241,359271,297936,296840,236737,Upgrade
20,Short-Term Debt,-,-,-,-,-,700000,716000,710000,746000,700000,700000,574779,304457,-,448661,448661,448661,-,105124,-,Upgrade
21,Current Portion of Long-Term Debt,163380,111285,542285,899095,899095,431000,431000,431000,431000,-,-,-,37500,524661,120000,122000,197158,466915,357907,500081,Upgrade
22,Current Income Taxes Payable,125086,78622,62476,78278,109979,87676,69144,88427,83463,53894,42025,41847,42705,44897,38560,39888,90715,42957,39776,35165,Upgrade
23,Current Unearned Revenue,655492,3693,81011,60038,3938,16973,77160,88644,99744,93422,164967,151967,144088,282860,329925,300258,262078,541837,518837,459027,Upgrade
24,Other Current Liabilities,632936,921055,1021820,1020238,1179820,1267901,1248449,570786,1440991,1723860,1636644,2094430,2367081,2923601,2967905,2923897,2864649,2568718,2621548,2553280,Upgrade
25,Total Current Liabilities,2070822,1800660,2501797,2943151,3057764,3264533,3234579,3422158,3375367,3050824,3006018,3262732,3488934,4429987,4495382,4398536,4461329,4082414,4077268,3918532,Upgrade
26,Long-Term Debt,408047,482237,482237,556427,556427,431000,431000,431000,431000,862000,862000,862000,862000,-,-,36051,36051,106651,90035,90485,Upgrade
27,Long-Term Unearned Revenue,-,193208,193208,193208,193208,193208,193236,193236,193236,193236,193236,193236,193236,193674,193674,193674,193674,193674,193674,193674,Upgrade
28,Other Long-Term Liabilities,2408420,2454147,1714162,1120907,904993,414720,416708,203150,204482,200680,203183,200736,203087,200588,202790,201106,203110,522462,409626,349947,Upgrade
29,Total Liabilities,4887289,4930252,4891404,4813693,4712392,4303462,4275523,4249543,4204085,4306739,4264436,4518704,4747257,4824249,4891845,4829367,4894165,4905202,4770602,4552638,Upgrade
30,Common Stock,1148555,1148555,1148555,1148555,1148555,1148555,1148555,1148555,1148555,1148555,1148555,1148555,1148555,1148555,1148555,1148555,1148555,1148555,1148555,1148555,Upgrade
31,Additional Paid-In Capital,219017,219017,219017,219122,219017,219017,219017,219017,219017,219017,219017,219017,219017,219017,219017,219017,219017,219017,219017,219017,Upgrade
32,Retained Earnings,1612690,1490411,1443342,1387961,1344861,1260485,1225042,1168284,1156142,1106894,1105158,839063,827523,810955,797799,820217,800136,800208,787649,898751,Upgrade
33,Treasury Stock,-61162,-61162,-61162,-61162,-61162,-61162,-61162,-61162,-61162,-61162,-61162,-61162,-61162,-61162,-61162,-61162,-61162,-61162,-61162,-61162,Upgrade
34,Comprehensive Income & Other,56273,56273,56273,56273,56273,56273,56273,56273,56273,7523,7523,7523,7523,7523,7523,7523,7523,7523,7523,7523,Upgrade
35,Total Common Equity,2975374,2853095,2806025,2750750,2707545,2623168,2587726,2530968,2518826,2420827,2419092,2152997,2141457,2124889,2111732,2134151,2114070,2114142,2101583,2212685,Upgrade
36,Minority Interest,15560,15667,15530,15861,54041,54261,54681,54668,56616,56982,57385,57902,57334,55775,49738,46042,39306,26366,26934,28563,Upgrade
37,Shareholders' Equity,2990934,2868762,2821556,2766611,2761587,2677430,2642407,2585636,2575443,2477809,2476477,2210898,2198791,2180664,2161470,2180192,2153376,2140508,2128517,2241248,Upgrade
38,Total Liabilities & Equity,7878222,7799014,7712959,7580304,7473979,6980891,6917929,6835179,6779528,6784549,6740913,6729602,6946047,7004913,7053315,7009560,7047540,7045709,6899119,6793885,Upgrade
39,Total Debt,571427,593522,1024522,1455522,1455522,1562000,1578000,1572000,1608000,1562000,1562000,1436779,1203957,524661,568661,606712,681870,573567,553066,590566,Upgrade
40,Net Cash (Debt),-386191,-524848,-869317,-1392142,-1362833,-1484655,-1470230,-1488738,-1496546,-1420499,-1417525,-1190464,-827382,-246767,-310974,-421425,-442643,-497205,-462468,-522794,Upgrade
41,Net Cash Per Share,-3390.69,-4608.07,-7632.45,-12222.76,-11948.26,-13035.01,-12924.46,-13054.61,-13143.62,-12471.73,-12282.88,-10531.31,-6548.50,-2175.71,-2708.51,-3706.99,-3866.00,-4369.33,-4046.30,-4602.34,Upgrade
42,Filing Date Shares Outstanding,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,Upgrade
43,Total Common Shares Outstanding,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,Upgrade
44,Working Capital,3012895,3214605,2477815,1898471,1691835,1002179,983576,648731,654435,979993,1050437,776930,773135,-120857,-135858,89312,74865,437181,303492,367798,Upgrade
45,Book Value Per Share,26123.26,25049.67,24636.41,24151.11,23771.77,23030.96,22719.78,22221.46,22114.85,21254.44,21239.21,18902.93,18801.62,18656.15,18540.64,18737.47,18561.16,18561.80,18451.53,19426.99,Upgrade
46,Tangible Book Value,2974629,2852344,2805270,2749990,2706780,2622399,2586951,2530189,2518042,2420038,2418298,2152197,2140653,2124080,2110918,2133332,2113246,2113314,2100750,2211846,Upgrade
47,Tangible Book Value Per Share,26116.72,25043.09,24629.78,24144.43,23765.06,23024.20,22712.98,22214.61,22107.97,21247.51,21232.23,18895.92,18794.56,18649.05,18533.50,18730.28,18553.93,18554.52,18444.22,19419.62,Upgrade
48,Buildings,303123,303123,303123,303123,303123,272424,272424,272424,272424,272424,272424,272424,272424,272424,272424,272424,272424,272424,272424,272424,Upgrade
49,Machinery,22648,29033,29033,29033,29033,29033,29033,29001,28956,25759,28920,29139,28790,25563,28942,28688,28688,28688,25563,28688,Upgrade
50,Construction In Progress,2381200,2372746,2311682,2304350,2292209,2316049,2296150,2293831,2294825,2288458,2216765,2214604,2209659,2185697,2183001,2005240,2002850,1998640,1996525,1994364,Upgrade
