,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,165983,158804,41991,19357,14724,29375,15906,20384,10821,8461,9592,10715,8192,6272,27472,19213,14586,8024,22508,8728,Upgrade
1,Short-Term Investments,10000,37000,144603,186103,199103,150547,199944,225644,206396,201752,189952,132452,113960,135960,149960,162793,164787,122697,144697,143611,Upgrade
2,Cash & Short-Term Investments,175983,195804,186594,205460,213828,179923,215850,246028,217217,210213,199544,143167,122151,142232,177431,182006,179373,130721,167205,152339,Upgrade
3,Cash Growth,-17.70%,8.83%,-13.55%,-16.49%,-1.56%,-14.41%,8.17%,71.85%,77.83%,47.80%,12.46%,-21.34%,-31.90%,8.81%,6.12%,19.47%,8.34%,-32.99%,-27.53%,-12.19%,Upgrade
4,Accounts Receivable,39688,39590,39858,37815,52366,52310,65598,66575,661.03,765.34,1617,646.74,169.22,41.35,130.51,745.13,345.07,692.12,657.74,370.42,Upgrade
5,Other Receivables,27638,25815,31599,34997,32930,31566,32387,31849,30793,28187,31912,30659,31126,30024,31749,30473,31393,32045,32675,32193,Upgrade
6,Receivables,67326,65405,71457,72812,85296,83876,97986,98424,31454,28953,33529,31306,31295,30065,31880,31218,31738,32737,33333,32564,Upgrade
7,Inventory,29659,27659,28138,34469,29327,30012,29849,30877,29361,28366,28541,28778,27999,28083,28317,29071,28036,28053,27526,27920,Upgrade
8,Prepaid Expenses,2643,3516,3647,3467,2683,3588,3827,3748,3138,4012,4670,4935,3332,2786,4663,5190,4383,5377,5389,5990,Upgrade
9,Other Current Assets,217668,230210,229138,232774,218161,189045,148208,137516,126669,128349,102818,103274,103299,95234,95220,83487,67609,68848,67704,68094,Upgrade
10,Total Current Assets,493280,522595,518975,548982,549294,486443,495720,516593,407840,399892,369102,311461,288077,298400,337511,330973,311139,265736,301158,286907,Upgrade
11,"Property, Plant & Equipment",383659,363925,374468,352996,332548,342805,353230,363626,434420,445982,459177,472148,485120,498092,511085,524114,534445,547377,558741,569568,Upgrade
12,Long-Term Investments,-,-,-,-,-,55700,36700,-,-,-,4800,20000,20000,10000,14000,14000,14000,40000,40000,40000,Upgrade
13,Other Intangible Assets,7547,7581,7615,7650,7684,7548,7569,7552,8084,7717,7708,7743,7777,7812,7865,7933,8035,8136,8238,8340,Upgrade
14,Other Long-Term Assets,14237,15088,15556,8398,7873,6931,7208,7030,6750,6962,8219,10359,10559,12853,14282,15640,17338,19883,21534,23263,Upgrade
15,Total Assets,898722,909188,916615,918027,897400,899427,900428,894801,857093,860554,849006,821711,811533,827157,884743,892660,884956,881133,929671,928077,Upgrade
16,Accounts Payable,1588,1292,2150,3445,1671,2236,3297,2899,1571,3560,3080,3613,3594,2241,4350,5763,2801,3549,3914,5131,Upgrade
17,Accrued Expenses,10391,5001,4748,5036,9700,4735,6719,6044,8428,4496,5253,4277,5156,2693,4188,5592,7588,4943,3941,4598,Upgrade
18,Current Income Taxes Payable,-,6645,7039,3188,2134,2646,6450,4132,622.49,463.97,-,-,-,-,-,-,-,-,-,-,Upgrade
19,Current Unearned Revenue,1587,731.21,2462,3115,1025,365.36,2280,3696,2164,789.88,3083,2401,1343,1073,1037,2670,1551,808.31,2056,786.4,Upgrade
20,Other Current Liabilities,760.07,552.6,2144,891.89,783.74,513.38,592.52,579.38,325.83,607.36,555.02,435.21,433.81,357.1,31999,667.18,1806,394.97,1796,236.38,Upgrade
21,Total Current Liabilities,14326,14222,18543,15677,15313,10496,19339,17351,13111,9918,11971,10725,10527,6364,41574,14692,13745,9696,11707,10751,Upgrade
22,Other Long-Term Liabilities,60,60,60,60,60,60,60,30,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
