,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,65964,81575,125878,107697,69362,91360,130976,117712,84119,114952,126562,84216,19403,4065,64825,78866,69053,86143,60840,88304,Upgrade
1,Revenue Growth (YoY),-4.90%,-10.71%,-3.89%,-8.51%,-17.54%,-20.52%,3.49%,39.77%,333.54%,2727.63%,95.24%,6.78%,-71.90%,-95.28%,6.55%,-10.69%,-17.71%,-20.05%,-59.00%,-21.21%,Upgrade
2,Cost of Revenue,64185,72624,84074,73167,64785,72088,77912,74534,77646,86646,85849,64220,34914,25008,58609,61017,59346,59203,50464,68965,Upgrade
3,Gross Profit,1779,8951,41805,34530,4577,19272,53063,43178,6474,28306,40713,19996,-15512,-20943,6217,17849,9707,26940,10376,19339,Upgrade
4,"Selling, General & Admin",15735,13596,15524,15044,15645,14565,15454,14854,15229,15146,14741,11724,6941,4329,11529,12644,13854,13324,11306,14886,Upgrade
5,Operating Expenses,15735,13596,15524,15044,15645,14565,15454,14854,15229,15146,14741,11724,6941,4329,11529,12644,13854,13324,11306,14886,Upgrade
6,Operating Income,-13956,-4645,26280,19486,-11068,4707,37610,28324,-8755,13160,25972,8272,-22453,-25272,-5313,5205,-4147,13616,-930.16,4453,Upgrade
7,Interest Expense,-,-13.19,-,-,-,-,-342.15,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
8,Interest & Investment Income,-,2082,4833,3515,3757,5598,4161,3547,2607,-,1883,1549,1552,1880,2372,2309,2505,4792,1715,1861,Upgrade
