,Fiscal Quarter,Q4 2017,Q4 2016,Q2 2016,Q1 2016,Q2 2015,Q1 2015,Q2 2014,Q1 2014
,Period Ending,"Dec '17 Dec 31, 2017","Dec '16 Dec 31, 2016","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014"
0,Cash & Equivalents,5145,2655,12158,12158,6121,-,-,-
1,Cash & Short-Term Investments,5145,2655,12158,12158,6121,-,-,-
2,Cash Growth,-15.95%,-,-,-,-,-,-,-
3,Accounts Receivable,39615,41376,17279,17279,38670,-,-,-
4,Other Receivables,5216,11303,3470,3470,3802,-,-,-
5,Receivables,44830,52678,20749,20749,42472,-,-,-
6,Inventory,139909,111977,107036,107036,103243,-,-,-
7,Prepaid Expenses,2255,6493,1434,1434,1074,-,-,-
8,Other Current Assets,10363,15242,5521,5521,3604,-,-,-
9,Total Current Assets,202501,189045,146899,146899,156514,-,-,-
10,"Property, Plant & Equipment",468661,393572,436852,436852,497251,-,-,-
11,Long-Term Investments,24012,975.86,975.86,975.86,975.86,-,-,-
12,Other Intangible Assets,582.67,729.67,803.17,803.17,814.25,-,-,-
13,Long-Term Deferred Tax Assets,3310,3653,4087,4087,1276,-,-,-
14,Other Long-Term Assets,61264,58672,52575,52575,48780,-,-,-
15,Total Assets,760330,646648,642192,642192,705610,-,-,-
16,Accounts Payable,20146,31477,44184,44184,41322,-,-,-
17,Accrued Expenses,18687,17725,42223,42223,33551,-,-,-
18,Short-Term Debt,29530,51441,59046,59046,121569,-,-,-
19,Current Income Taxes Payable,124112,66844,77324,77324,57153,-,-,-
20,Other Current Liabilities,21589,13115,15573,15573,14336,-,-,-
21,Total Current Liabilities,214065,180603,238350,238350,267931,-,-,-
22,Long-Term Debt,49223,-,-,-,69631,-,-,-
23,Other Long-Term Liabilities,19811,20483,20338,20338,6501,-,-,-
24,Total Liabilities,283099,201086,258688,258688,344062,-,-,-
25,Common Stock,298466,298466,298466,298466,298466,-,-,-
26,Retained Earnings,178753,147083,85026,85026,63069,-,-,-
27,Comprehensive Income & Other,12.23,12.23,12.23,12.23,12.23,-,-,-
28,Shareholders' Equity,477232,445562,383504,383504,361548,-,-,-
29,Total Liabilities & Equity,760330,646648,642192,642192,705610,-,-,-
30,Total Debt,78753,51441,59046,59046,191200,-,-,-
31,Net Cash (Debt),-73609,-48786,-46888,-46888,-185079,-,-,-
32,Net Cash Per Share,-2466.89,-1634.38,-1570.44,-1570.44,-6197.85,-,-,-
33,Filing Date Shares Outstanding,29.84,29.85,29.86,29.86,29.86,29.84,29.86,29.84
34,Total Common Shares Outstanding,29.84,29.85,29.86,29.86,29.86,29.84,29.86,29.84
35,Working Capital,-11564,8442,-91451,-91451,-111417,-,-,-
36,Book Value Per Share,15993.74,11908.61,12844.98,12844.98,12107.37,-,-,-
37,Tangible Book Value,476649,444832,382701,382701,360734,-,-,-
38,Tangible Book Value Per Share,15974.21,11889.11,12818.08,12818.08,12080.10,-,-,-
39,Construction In Progress,334.27,1266,1605,1605,7843,-,-,-
