,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,715616,687553,777355,892415,808225,841901,555655,524785,631426,510753,441998,463046,550042,603362,572493,530398,603362,586524,472868,412532,423757,Upgrade
1,Market Cap Growth,-18.33%,-18.33%,39.90%,70.05%,28.00%,64.84%,25.71%,13.33%,14.80%,-15.35%,-22.79%,-12.70%,-8.84%,2.87%,21.07%,28.57%,42.38%,14.84%,-23.23%,-35.81%,-14.69%,Upgrade
2,Enterprise Value,943699,912528,911099,1267261,1324532,1127284,844259,855325,1007355,814908,738667,829277,931997,882960,845816,838738,807855,718954,560202,530059,511373,Upgrade
3,Last Close Price,25500.00,24500.00,27700.00,31138.65,28201.04,29376.08,19388.21,17506.21,21063.62,17038.13,14744.53,14890.02,17687.54,19402.15,17576.47,16284.08,18524.22,18007.27,14517.82,12665.40,12377.33,Upgrade
4,PE Ratio,5.72,5.50,5.71,6.54,28.16,28.64,129.41,253.52,45.08,-,11.78,10.47,13.55,16.82,10.18,8.11,8.78,8.90,7.71,8.56,10.08,Upgrade
5,PS Ratio,0.70,0.67,0.61,0.73,0.69,0.70,0.60,0.57,0.72,0.56,0.47,0.50,0.58,0.63,0.40,0.37,0.43,0.43,0.55,0.48,0.48,Upgrade
6,PB Ratio,1.30,1.25,1.42,1.65,1.81,1.90,1.29,1.24,1.42,1.16,0.99,1.04,1.23,1.39,1.34,1.27,1.38,1.37,1.18,1.09,1.09,Upgrade
7,P/TBV Ratio,1.26,1.26,1.43,1.66,1.82,1.91,1.30,1.25,1.44,1.17,0.99,1.05,1.24,1.41,1.35,1.28,1.39,1.38,1.19,1.10,1.10,Upgrade
8,P/FCF Ratio,-,-,-,-,7.02,-,12.04,16.94,-,-,1.22,1.35,2.08,3.80,-,-,-,-,-,5.40,-,Upgrade
9,P/OCF Ratio,-,-,-,-,6.27,-,10.63,14.06,-,-,1.21,1.34,2.05,3.70,-,-,-,-,-,4.85,-,Upgrade
10,EV/Sales Ratio,0.92,0.89,0.71,1.04,1.13,0.94,0.91,0.92,1.15,0.89,0.78,0.90,0.99,0.92,0.60,0.58,0.57,0.53,0.65,0.62,0.57,Upgrade
11,EV/EBITDA Ratio,16.27,15.74,12.47,17.04,19.33,16.43,20.28,22.49,19.26,-,9.12,9.64,11.89,11.69,8.61,7.53,6.86,6.39,5.16,5.66,5.79,Upgrade
12,EV/EBIT Ratio,19.79,19.14,14.57,19.99,23.19,19.79,28.83,33.96,25.91,-,11.30,12.07,15.66,16.09,10.96,9.28,8.34,7.85,6.47,7.49,7.94,Upgrade
