,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,52872463,51054900,50525963,51235258,57716839,49171748,47672610,38677778,32231481,26357754,29484960,18626574,41696700,50814060,35495857,35963327,20506506,19827394,10185871,8893859,6009433,Upgrade
1,Market Cap Growth,5.99%,3.83%,5.99%,32.47%,79.07%,86.56%,61.68%,107.65%,-22.70%,-48.13%,-16.93%,-48.21%,103.33%,156.28%,248.48%,304.36%,241.24%,116.21%,-12.83%,-29.57%,-56.61%,Upgrade
2,Last Close Price,26950.00,26050.00,27900.00,26068.25,29561.93,25185.23,24417.39,19810.33,15883.29,13076.01,14627.40,13888.64,27569.14,34001.94,26682.99,23849.00,13507.62,14081.96,7211.15,5919.43,3999.62,Upgrade
3,PE Ratio,16.70,18.01,17.29,18.04,22.60,21.45,23.70,23.63,21.55,15.51,12.93,7.09,14.92,20.22,17.79,21.71,12.91,16.89,9.85,9.27,9.15,Upgrade
4,PS Ratio,7.24,7.42,7.51,7.68,9.67,8.96,9.65,8.68,7.04,5.08,4.76,2.84,6.19,8.05,6.87,8.09,5.09,5.73,3.19,2.88,2.38,Upgrade
5,PB Ratio,2.04,1.90,2.10,2.06,2.40,2.12,2.10,1.76,1.40,1.18,1.33,1.30,2.77,3.57,2.94,3.15,1.79,2.01,1.07,0.91,0.65,Upgrade
6,P/FCF Ratio,-,-,-4.72,-,-5.36,-,-,-6.33,-,-,-,-4.11,-,-4.80,-,-,-,-,-,-,-,Upgrade
7,P/OCF Ratio,-,-,-4.79,-,-5.40,-,-,-6.46,-,-,-,-4.31,-,-4.88,-,-,-,-,-,-,-,Upgrade
8,Debt / Equity Ratio,1.63,1.70,1.63,1.81,1.67,1.86,1.34,1.13,1.23,1.25,0.97,1.79,2.20,2.19,2.83,2.42,2.12,2.48,1.73,1.54,1.82,Upgrade
9,Debt / FCF Ratio,-,-,-3.67,-,-3.72,-,-,-4.06,-,-,-,-5.68,-,-2.94,-,-,-,-,-,-,-,Upgrade
10,Asset Turnover,0.10,0.09,0.11,0.09,0.10,0.12,0.09,0.08,0.09,0.10,0.11,0.13,0.17,0.13,0.15,0.14,0.12,0.11,0.17,0.10,Upgrade,
11,Quick Ratio,0.67,0.87,0.67,0.86,0.61,0.66,0.75,0.73,0.60,0.90,1.07,0.67,0.81,0.83,0.63,0.60,0.59,0.54,0.42,0.38,0.60,Upgrade
12,Current Ratio,1.52,1.51,1.52,1.45,1.48,1.42,1.57,1.64,1.64,1.62,1.80,1.34,1.30,1.27,1.16,1.23,1.25,1.12,1.20,1.23,1.18,Upgrade
13,Return on Equity (ROE),6.88%,12.98%,13.89%,12.94%,8.95%,12.71%,10.09%,8.87%,4.20%,7.37%,11.45%,19.29%,30.36%,23.26%,20.69%,15.90%,15.73%,14.24%,21.90%,0.38%,Upgrade,
14,Return on Assets (ROA),2.51%,4.63%,4.97%,4.54%,3.30%,5.39%,4.41%,3.83%,1.92%,3.03%,3.61%,5.60%,8.11%,6.10%,5.94%,4.62%,4.86%,5.20%,7.82%,0.13%,Upgrade,
15,Earnings Yield,5.53%,5.55%,5.78%,5.54%,4.42%,4.66%,4.22%,4.23%,4.64%,6.45%,8.35%,15.08%,7.14%,5.31%,5.86%,4.84%,8.15%,6.34%,10.78%,11.50%,11.98%,Upgrade
16,FCF Yield,-20.27%,-,-21.21%,-34.26%,-18.67%,-30.08%,-16.99%,-15.79%,-13.29%,-27.81%,-3.59%,-24.35%,-34.35%,-20.83%,-50.81%,-42.93%,-60.73%,-62.20%,-49.90%,19.17%,37.30%,Upgrade
17,Dividend Yield,3.12%,-,-,-,-,3.31%,-,-,-,6.37%,-,-,-,2.45%,-,-,-,4.44%,-,-,-,Upgrade
18,Payout Ratio,0.02%,-,0.06%,-,0.01%,0.01%,210.47%,-,0.00%,0.00%,294.58%,0.00%,0.01%,0.08%,94.56%,0.07%,0.01%,0.56%,173.40%,0.02%,2.08%,Upgrade
19,Buyback Yield / Dilution,-0.67%,-0.67%,-0.67%,-0.67%,-,-0.67%,-0.67%,-51.01%,-51.01%,-51.59%,-70.54%,-13.69%,-15.28%,-22.99%,-8.98%,-8.98%,-7.48%,-1.64%,-1.97%,-1.74%,-1.74%,Upgrade
20,Total Shareholder Return,2.45%,-0.67%,-0.67%,-0.67%,-,2.64%,-0.67%,-51.01%,-51.01%,-45.22%,-70.54%,-13.69%,-15.28%,-20.54%,-8.98%,-8.98%,-7.48%,2.80%,-1.97%,-1.74%,-1.74%,Upgrade
