,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,95863368,82495061,96836815,110592127,83359627,70057115,67469874,63845082,89830290,78853286,62946674,62831980,42695701,53881491,35020289,26736713,25342575,26744937,39870500,30265145,Upgrade
1,Investment Securities,134134646,106882888,100625647,100099565,108428155,121172417,109751542,94765735,87975307,92593983,94768559,118884821,97932570,93746431,87823664,85927999,83892717,94687029,69817952,85401938,Upgrade
2,Trading Asset Securities,9000644,4793551,4313015,9696860,4576389,6431511,1941118,78555,961034,1678258,893114,4038057,5364580,6105885,7631032,5509124,8347576,10054880,9430991,10436754,Upgrade
3,Total Investments,143135290,111676439,104938662,109796425,113004544,127603928,111692660,94844290,88936341,94272241,95661673,122922878,103297150,99852316,95454696,91437123,92240293,104741909,79248943,95838692,Upgrade
4,Gross Loans,649664491,656114717,640490571,617721286,590981508,523932321,515160186,514308516,476354347,467822163,442354446,403487705,402905717,369789152,355170892,328695957,297918733,245735712,251491332,246502720,Upgrade
5,Allowance for Loan Losses,-8333937,-8704825,-7751970,-7117999,-6871088,-6772915,-6527798,-6004140,-5620947,-5253435,-4795682,-4481615,-4367659,-3934660,-3428158,-2987380,-2328021,-2280872,-2610086,-3224325,Upgrade
6,Net Loans,641330554,647409892,632738601,610603287,584110420,517159406,508632388,508304376,470733400,462568728,437558764,399006090,398538058,365854492,351742734,325708577,295590712,243454840,248881246,243278395,Upgrade
7,"Property, Plant & Equipment",6722311,7133763,7436822,7596691,7497896,7324918,7232523,6767424,6145923,5550944,5324901,3614371,4875890,3540181,3278175,1591916,1470942,1184445,1148505,1071752,Upgrade
8,Other Intangible Assets,5890186,5777803,5957468,5664796,5365111,4962353,5016416,4619591,4714570,3754525,3614650,3650874,3595749,3565824,3460626,3134403,3142481,3088090,2977502,2421253,Upgrade
9,Investments in Real Estate,-,-,-,-,-,-,-,-,1053124,1062074,1071024,1079974,1088924,1097874,1106824,1115774,1124724,1133674,1142624,1151574,Upgrade
10,Accrued Interest Receivable,8127646,13923330,13399737,11656638,9682822,9403878,8876222,8366591,8030412,8682234,8080685,7254327,5809483,6223821,5736051,5664148,5184822,5988496,5597591,6614041,Upgrade
11,Other Receivables,7951763,2240914,467919,541768,3784027,1626027,1603900,6386152,3894218,1918887,116752,463392,312183,391124,258815,379088,334800,428938,3527722,840163,Upgrade
12,Restricted Cash,54353153,40614749,28055094,13587719,27140592,27428542,7860356,15834434,11475590,4708805,4813822,8999152,4908529,3395192,4404948,1764015,10253324,9728941,8844670,5284207,Upgrade
13,Other Current Assets,4501557,4415541,17014676,4325728,4182086,3808313,3603374,3751059,3986298,3542215,3158360,2974820,2824641,1943801,1828430,1712078,1723391,1710860,1540260,1600185,Upgrade
14,Long-Term Deferred Tax Assets,79856,73401,72118,69822,70409,66481,63367,62368,61050,21403,17460,17460,17460,-,-,-,-,-,-,-,Upgrade
15,Other Long-Term Assets,10842865,11292452,1388788,11218460,11284478,11837705,10419089,10736433,10171328,6418182,1380314,2455010,765182,1889179,2012178,3578855,3194869,3256599,3081488,3442452,Upgrade
16,Total Assets,978798549,927053345,908306700,885653461,849482012,781278666,732470169,723517800,699032544,671353524,623745079,615270328,568728950,541635295,504303766,462822690,439602933,401461729,395861051,391807859,Upgrade
17,Accounts Payable,-,-,853099,748058,629198,873774,619777,773405,721509,521193,606873,761888,527635,-,392786,-,374755,-,-,-,Upgrade
18,Accrued Expenses,5762871,4734991,4335861,2217270,4478604,3480465,1979366,1921422,3931475,3328138,2964273,2541780,3342201,2057129,1576397,1950930,2437224,1051638,1444243,1499166,Upgrade
19,Interest Bearing Deposits,604851381,391656513,367571192,534287366,504594330,465075198,431128964,435089982,418928571,386637678,378397230,388884291,359841317,347094369,331992574,311462320,297808411,267662479,262475142,265085697,Upgrade
20,Non-Interest Bearing Deposits,763334,173902375,174784565,1189005,686258,1601087,548255,269294,776778,570969,546012,379137,518192,375985,1203723,594833,882329,1766490,4108872,6338368,Upgrade
