,Fiscal Quarter,Q4 2024,Q2 2024,Q1 2024,Q4 2023,Q2 2023,Q1 2023,Q4 2017,Q4 2016,Q3 2015,Q4 2014,Q3 2014,Q4 2013,Q3 2013
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '17 Dec 31, 2017","Dec '16 Dec 31, 2016","Sep '15 Sep 30, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Dec '13 Dec 31, 2013","Sep '13 Sep 30, 2013"
0,Cash & Equivalents,-,504199,295491,-,-,-,307604,246701,37907,63093,72095,-,-
1,Trading Asset Securities,-,-,-,-,-,-,1.47,13.13,-,-,-,-,-
2,Accounts Receivable,-,4423,3097,-,-,-,768.19,440.43,107262,71865,61909,-,-
3,Other Receivables,-,40819,41040,-,-,-,4935,4000,12235,9387,10305,-,-
4,"Property, Plant & Equipment",-,9547,6336,-,-,-,330.21,391.85,1150,1805,2166,-,-
5,Other Intangible Assets,-,9306,9992,-,-,-,498.5,1164,3294,4661,5159,-,-
6,Investments in Debt & Equity Securities,-,1222315,1338517,-,-,-,7871,92290,183931,185064,189685,-,-
7,Other Current Assets,-,2503,2834,-,-,-,331.89,323.39,1560,573.57,584.51,-,-
8,Other Long-Term Assets,-,14137,14850,-,-,-,1965,3005,3054,1694,1781,-,-
9,Total Assets,-,1807249,1712156,-,-,-,324305,348328,350392,339660,345201,-,-
10,Accounts Payable,-,179.18,137.95,-,-,-,-,-,132.76,49.99,-,-,-
11,Accrued Expenses,-,6840,8638,-,-,-,1496,691.88,1147,925.88,1170,-,-
12,Short-Term Debt,-,614940,499850,-,-,-,-,-,-,-,-,-,-
13,Other Current Liabilities,-,315.58,323.9,-,-,-,-,-,14637,11627,18413,-,-
14,Long-Term Deferred Tax Liabilities,-,1478,1478,-,-,-,-,-,-,-,-,-,-
15,Total Liabilities,-,630654,515026,-,-,-,1509,1397,15993,12678,19671,-,-
16,Common Stock,-,1156210,1009800,-,-,-,360000,360000,360000,360000,360000,-,-
17,Retained Earnings,-,144018,274584,-,-,-,-37206,-13155,-25601,-33018,-34470,-,-
18,Comprehensive Income & Other,-,-123632,-87254,-,-,-,0.9,85.89,-,-,-,-,-
19,Shareholders' Equity,-,1176596,1197130,-,-,-,322795,346931,334399,326982,325530,-,-
20,Total Liabilities & Equity,-,1807249,1712156,-,-,-,324305,348328,350392,339660,345201,-,-
21,Total Debt,-,614940,499850,-,-,-,-,-,-,-,-,-,-
22,Net Cash (Debt),-,-110741,-204359,-,-,-,307606,246715,37907,63093,72095,-,-
23,Net Cash Growth,-,-,-,-,-,-,326.67%,-,-,-,-,-,-
24,Net Cash Per Share,-,-957.80,-1767.50,-,-,-,-,-,-,-,-,-,-
25,Filing Date Shares Outstanding,115.62,115.62,115.62,101.34,-,115.62,-,-,-,-,-,-,-
26,Total Common Shares Outstanding,115.62,115.62,115.62,101.34,-,115.62,-,-,-,-,-,-,-
27,Working Capital,-,-77231,-171086,-,-,-,312131,250081,142970,133757,126740,-,-
28,Book Value Per Share,-,10176.32,10353.93,-,-,-,-,-,-,-,-,-,-
29,Tangible Book Value,-,1167290,1187138,-,-,-,322297,345767,331105,322321,320372,-,-
30,Tangible Book Value Per Share,-,10095.83,10267.51,-,-,-,-,-,-,-,-,-,-
