,Fiscal Quarter,Q4 2024,Q2 2024,Q1 2024,Q4 2023,Q2 2023,Q1 2023,Q4 2017,Q4 2016,Q3 2015,Q4 2014,Q3 2014,Q4 2013,Q3 2013
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '17 Dec 31, 2017","Dec '16 Dec 31, 2016","Sep '15 Sep 30, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Dec '13 Dec 31, 2013","Sep '13 Sep 30, 2013"
0,Interest and Dividend Income,34442,-,-,29694,-,-,0.01,0.01,1020,442.58,641.68,103.18,7.03
1,Total Interest Expense,12927,10911,10765,11281,2235,827.8,-,-,-,-,-,-,-
2,Net Interest Income,21515,-10911,-10765,18413,-2235,-827.8,0.01,0.01,1020,442.58,641.68,103.18,7.03
3,Brokerage Commission,6493,8743,6733,6197,6193,3878,1353,54.31,467.93,765.67,708.34,105.33,81.17
4,Trading & Principal Transactions,-526.67,-,-,-241.98,-,-,-,-,-,-,-,-,-
5,Underwriting & Investment Banking Fee,-2,-,-,-,-,3548,-,-,-,-,-,-,-
6,Gain on Sale of Investments (Rev),8201,18936,11236,2030,20166,12370,4241,-570.28,-,-,-,-,-
7,Other Revenue,5183,21781,23441,671.27,10133,6829,-1940,1818,7348,5949,5692,6393,6728
8,Revenue Before Loan Losses,40864,38549,30645,27070,34257,25797,3654,1302,8835,7157,7042,6602,6817
9,Provision for Loan Losses,1544,50.3,-,22.5,28.74,2063,-,-,-,-,-,-,-
10,Revenue,39320,38499,30645,27047,34228,23734,3654,1302,8835,7157,7042,6602,6817
11,Revenue Growth (YoY),14.88%,62.21%,738.75%,1976.94%,287.40%,231.61%,-48.12%,-80.27%,29.61%,-,-,-,-
12,Cost of Services Provided,22030,18212,16007,20152,13980,13683,2815,3338,5364,5707,4755,4710,4453
13,Other Operating Expenses,566.46,-380.12,-644.31,-13.69,-15865,-,-,-,-,-,-,-,-
14,Total Operating Expenses,22597,17831,15362,20139,-1885,13683,2815,3338,5364,5707,4755,4710,4453
15,Operating Income,16724,20668,15282,6909,36114,10052,838.72,-2036,3471,1450,2287,1892,2364
16,Other Non-Operating Income (Expenses),367.62,154.46,139.04,4045,654.01,145.98,45.28,8.29,-,1.16,0.82,49.07,-
17,EBT Excluding Unusual Items,17091,20822,15421,10954,36768,10198,884.01,-2028,3471,1451,2288,1941,2364
18,Gain (Loss) on Sale of Investments,-18439,-2207,954.89,-6227,-14075,-1665,-0.08,5474,-,-,-,-,-
19,Pretax Income,-1347,18615,16376,4727,22693,8532,2856,-2027,3471,1451,2288,1941,2364
20,Income Tax Expense,-4041,2772,2605,-235.08,3266,725.32,-,689.17,-,-,-,-,-
21,Earnings From Continuing Ops.,2694,15844,13772,4962,19427,7807,2856,-2716,3471,1451,2288,1941,2364
22,Minority Interest in Earnings,-21.17,-,-,3.55,-,-,-,-,-,-,-,-,-
23,Net Income,2673,15844,13772,4966,19427,7807,2856,-2716,3471,1451,2288,1941,2364
24,Net Income to Common,2673,15844,13772,4966,19427,7807,2856,-2716,3471,1451,2288,1941,2364
25,Net Income Growth,-86.24%,102.95%,382.21%,-,459.67%,438.00%,24.82%,-,46.86%,-,-,-,-
26,Shares Outstanding (Basic),116,116,116,101,-,116,-,-,-,-,-,-,-
27,Shares Outstanding (Diluted),116,116,116,101,-,116,-,-,-,-,-,-,-
28,Shares Change (YoY),-,-0.00%,-,-,-,-,-,-,-,-,-,-,-
29,EPS (Basic),23.00,137.03,119.11,49.00,-,67.52,-,-,-,-,-,-,-
30,EPS (Diluted),23.00,137.03,119.11,49.00,-,67.52,-,-,-,-,-,-,-
31,EPS Growth,-,102.95%,-,-,-,-,-,-,-,-,-,-,-
32,Free Cash Flow,-,-62018,-3313,-,-247163,31128,-,-,-,-,-,-,-
33,Free Cash Flow Per Share,-,-536.39,-28.65,-,-,269.23,-,-,-,-,-,-,-
34,Operating Margin,42.53%,53.68%,49.87%,25.54%,105.51%,42.35%,22.96%,-156.34%,39.29%,20.26%,32.48%,28.66%,34.67%
35,Profit Margin,6.80%,41.15%,44.94%,18.36%,56.76%,32.89%,78.17%,-208.56%,39.29%,20.27%,32.49%,29.40%,34.67%
36,Free Cash Flow Margin,-,-161.09%,-10.81%,-,-722.10%,131.15%,-,-,-,-,-,-,-
37,Effective Tax Rate,-,14.89%,15.91%,-,14.39%,8.50%,-,-,-,-,-,-,-
38,Revenue as Reported,54318,49460,41410,38593,36492,26625,3654,1302,8835,7157,7042,6602,6817
