,Fiscal Quarter,Current,Q4 2024,Q2 2024,Q1 2024,Q4 2023,Q2 2023,Q1 2023,Q4 2017,Q4 2016,Q3 2015,Q4 2014,Q3 2014,Q4 2013,Q3 2013
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '17 Dec 31, 2017","Dec '16 Dec 31, 2016","Sep '15 Sep 30, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Dec '13 Dec 31, 2013","Sep '13 Sep 30, 2013"
0,Market Capitalization,1081056,1029027,1237144,1302642,-,-,-,-,-,-,-,-,-,-
1,Last Close Price,9350.00,8900.00,10700.00,11266.38,-,-,-,-,-,-,-,-,-,-
2,PE Ratio,18.51,27.62,22.91,28.34,-,-,-,-,-,-,-,-,-,-
3,PS Ratio,6.12,7.59,9.49,11.26,-,-,-,-,-,-,-,-,-,-
4,PB Ratio,-,-,1.05,1.09,-,-,-,-,-,-,-,-,-,-
5,Debt / Equity Ratio,-,-,0.52,0.42,-,-,-,-,-,-,-,-,-,-
6,Asset Turnover,-,0.09,-,-,-,-,-,-,-,0.08,-,-,-,
7,Quick Ratio,207.57,-,0.87,0.66,-,-,-,207.57,179.72,9.84,11.39,7.34,-,-
8,Current Ratio,207.79,-,0.88,0.67,-,-,-,207.79,179.95,9.94,11.55,7.44,-,-
9,Return on Equity (ROE),-,5.34%,-,-,-,-,-,-,-,1.78%,-,-,-,
10,Return on Assets (ROA),-,3.60%,-,-,-,-,-,-,-,1.69%,-,-,-,
11,Earnings Yield,5.40%,3.62%,4.37%,3.53%,-,-,-,-,-,-,-,-,-,-
12,FCF Yield,-48.74%,-,-25.26%,-16.84%,-,-,-,-,-,-,-,-,-,-
13,Buyback Yield / Dilution,-,0.00%,-,-,-,-,-,-,-,-,-,-,-,
14,Total Shareholder Return,-,0.00%,-,-,-,-,-,-,-,-,-,-,-,
