,Fiscal Quarter,Q4 2024,Q4 2023,Q4 2019,Q4 2018
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018"
0,Revenue,1132135,1104943,423722,223819
1,Cost of Revenue,1032945,1007487,344856,193037
2,Gross Profit,99190,97456,78866,30783
3,"Selling, General & Admin",29215,28658,30076,10400
4,Operating Expenses,29215,28658,30076,10400
5,Operating Income,69974,68799,48790,20382
6,Interest Expense,-45272,-56097,-19311,-8228
7,Interest & Investment Income,13673,11322,1429,128.42
8,Earnings From Equity Investments,5887,-2793,-26.15,-
9,Other Non Operating Income (Expenses),-17488,3524,-73.56,426.31
10,Pretax Income,26774,24754,30808,12709
11,Income Tax Expense,7017,8399,5303,2542
12,Net Income,19757,16354,25504,10167
13,Net Income to Common,19757,16354,25504,10167
14,Shares Outstanding (Basic),94,75,41,25
15,Shares Outstanding (Diluted),94,75,41,25
16,EPS (Basic),211.00,217.00,627.00,407.00
17,EPS (Diluted),211.00,217.00,627.00,407.00
18,Gross Margin,8.76%,8.82%,18.61%,13.75%
19,Operating Margin,6.18%,6.23%,11.51%,9.11%
20,Profit Margin,1.75%,1.48%,6.02%,4.54%
21,EBITDA,85902,-,56327,-
22,EBITDA Margin,7.59%,-,13.29%,-
23,D&A For EBITDA,15928,-,7538,-
24,EBIT,69974,68799,48790,20382
25,EBIT Margin,6.18%,6.23%,11.51%,9.11%
26,Effective Tax Rate,26.21%,33.93%,17.21%,20.00%
27,Revenue as Reported,1132135,1104943,423722,223819
