,Fiscal Quarter,Current,Q4 2024,Q4 2023,Q4 2019,Q4 2018
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018"
0,Market Capitalization,2920156,2893690,2084573,-,-
1,Enterprise Value,4417271,3788814,2979697,-,-
2,Last Close Price,33100.00,32800.00,24010.24,-,-
3,PE Ratio,29.69,40.31,40.07,-,-
4,PS Ratio,0.67,1.00,1.19,-,-
5,PB Ratio,2.85,2.82,2.44,-,-
6,P/TBV Ratio,2.83,2.83,2.44,-,-
7,EV/Sales Ratio,1.01,1.31,1.70,-,-
8,EV/EBITDA Ratio,12.42,26.64,-,-,-
9,EV/EBIT Ratio,15.13,18.22,21.60,-,-
10,Debt / Equity Ratio,2.48,2.48,2.82,1.63,1.63
11,Debt / EBITDA Ratio,7.28,7.38,-,4.10,-
12,Quick Ratio,0.54,0.54,0.41,0.29,0.29
13,Current Ratio,1.11,1.11,1.02,1.28,1.15
14,Return on Capital Employed (ROCE),22.49%,16.44%,13.02%,9.52%,6.04%
15,Earnings Yield,3.37%,2.48%,2.50%,-,-
