,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,846768,896017,1207170,808630,689041,784999,1069312,918522,740518,898793,1087289,794258,789882,450077,748429,679888,747256,824029,644808,468459,Upgrade
1,Revenue Growth (YoY),22.89%,14.14%,12.89%,-11.96%,-6.95%,-12.66%,-1.65%,15.65%,-6.25%,99.70%,45.28%,16.82%,5.70%,-45.38%,16.07%,45.13%,-20.88%,6.99%,-32.59%,-19.40%,Upgrade
2,Cost of Revenue,485318,511417,621218,465232,393319,430723,597321,527972,444248,494905,601197,456432,439395,284166,422934,394617,430256,462624,429006,332925,Upgrade
3,Gross Profit,361450,384600,585952,343398,295722,354276,471990,390550,296271,403888,486091,337826,350487,165911,325494,285271,317000,361404,215803,135534,Upgrade
4,"Selling, General & Admin",322367,268680,297359,238441,263701,280105,271243,272343,308415,282566,266382,200550,228191,163272,221856,183748,203491,202536,172192,165315,Upgrade
5,Operating Expenses,322367,268680,297359,238441,263701,280105,271243,272343,308415,282566,266382,200550,228191,163272,221856,183748,203491,202536,172192,165315,Upgrade
6,Operating Income,39083,115920,288593,104957,32021,74171,200747,118208,-12144,121322,219710,137277,122296,2639,103638,101522,113509,158869,43611,-29781,Upgrade
7,Interest Expense,-3734,-3537,-,-12990,-2811,-4988,-2576,-7475,-2597,-2284,-,-5299,-1595,-1821,-1855,-1749,-1832,-2946,-3170,-3906,Upgrade
8,Interest & Investment Income,22287,6540,19315,-,5275,3133,17291,-,8116,14004,4526,-,6258,6823,6906,4584,5476,5389,4745,6132,Upgrade
9,Earnings From Equity Investments,1200,-,-,-,-4000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
10,Currency Exchange Gain (Loss),-,-,-6848,14382,8312,-,109.58,9653,1620,-,6087,10843,2655,-,-377.03,1750,121.38,-,658.02,460.97,Upgrade
11,Other Non Operating Income (Expenses),-4295,-3389,2212,3499,509.69,3033,-4087,3872,1620,-289.29,3004,1836,1824,-1560,6455,-3804,924.94,318.91,961.32,2603,Upgrade
12,EBT Excluding Unusual Items,54541,115535,303271,109847,39306,75350,211486,124257,-3385,132753,233327,144656,131438,6081,114767,102304,118199,161631,46804,-24491,Upgrade
13,Gain (Loss) on Sale of Investments,-,-,-,181.18,-109.44,-,-,109.44,-102.14,-,-,102.14,-,-,-,4679,-,-,-,850.21,Upgrade
14,Gain (Loss) on Sale of Assets,-,-,1870,1615,-87.4,-,89.09,1562,-776.73,-,85.81,6.41,-1115,-,8,402.63,328.05,-,140.25,176.22,Upgrade
15,Pretax Income,54541,115535,305141,111643,39110,75350,211575,125929,-4264,132753,233413,144765,130323,6081,114775,107386,118527,161631,46945,-23465,Upgrade
16,Income Tax Expense,15579,24103,63648,23333,10635,15885,43411,25857,-1485,29203,47886,30126,33318,2390,23733,22417,24430,32980,9914,-3531,Upgrade
17,Earnings From Continuing Operations,38962,91433,241493,88310,28475,59465,168163,100072,-2779,103550,185527,114639,97005,3691,91042,84969,94097,128651,37031,-19934,Upgrade
18,Minority Interest in Earnings,194.01,428.62,821.57,25.69,306.92,788.1,1037,634.43,238.8,194.69,-,-,-,-,-,-,-,-,-,-,Upgrade
19,Net Income,39156,91861,242315,88336,28782,60253,169200,100706,-2540,103745,185527,114639,97005,3691,91042,84969,94097,128651,37031,-19934,Upgrade
20,Preferred Dividends & Other Adjustments,-,-,9186,33065,2878,-,6025,26991,-253.99,-,10374,30017,9700,-,369.12,17601,9410,-,12865,1710,Upgrade
21,Net Income to Common,39156,91861,233129,55271,25903,60253,163175,73716,-2286,103745,175153,84622,87304,3691,90673,67368,84687,128651,24166,-21643,Upgrade
