,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,287989,18170,5735,37687,28899,48007,51287,35195,30089,36696,48398,63956,28100,11531,18801,62225,62746,-,-,-,Upgrade
1,Short-Term Investments,51257,17039,6799,7476,3989,2691,9946,30788,106644,103399,92953,71049,65923,116312,256664,133125,51070,-,-,-,Upgrade
2,Trading Asset Securities,0.62,0.62,0.62,0.58,0.58,0.63,0.63,0.54,0.57,0.81,0.64,0.64,0.64,-,-,-,-,-,-,-,Upgrade
3,Cash & Short-Term Investments,339247,35209,12534,45164,32888,50698,61234,65983,136734,140096,141352,135005,94024,127843,275465,195351,113816,-,-,11934,Upgrade
4,Cash Growth,931.52%,-30.55%,-79.53%,-31.55%,-75.95%,-63.81%,-56.68%,-51.13%,45.43%,9.58%,-48.69%,-30.89%,-17.39%,-,-,1536.90%,-3.99%,-,-,-22.11%,Upgrade
5,Accounts Receivable,81158,42790,62181,44553,72273,72792,53455,66728,67020,32861,35820,152457,118436,98114,54655,53791,41436,-,-,-,Upgrade
6,Other Receivables,72127,15614,24955,76511,85935,8109,7732,8127,8919,7303,120435,194315,12246,5857,11745,23344,15529,-,-,-,Upgrade
7,Receivables,153285,58404,87136,121065,158209,80901,61186,74855,75940,40164,368443,558959,342868,103971,81325,88521,84906,-,-,-,Upgrade
8,Inventory,486974,594763,825500,1188853,1392005,1481871,1717793,1937767,2440932,2101985,1822855,1309386,2009572,1838941,1521485,965107,1078467,-,-,-,Upgrade
9,Prepaid Expenses,1043,2597,3505,3713,4134,5388,5620,5761,7508,8420,7203,10294,9419,10317,6839,6845,6918,-,-,-,Upgrade
10,Other Current Assets,107411,90830,58055,98700,50219,161607,171543,210718,336891,291783,137881,104272,270848,262938,88334,23899,36541,-,-,-,Upgrade
11,Total Current Assets,1087960,781802,986730,1457494,1637454,1780466,2017377,2295084,2998004,2582447,2477734,2117916,2726731,2344009,1973448,1279723,1320648,-,-,-,Upgrade
12,"Property, Plant & Equipment",233144,243631,248863,248936,266773,263188,263472,255055,257282,263001,257173,259196,262002,262461,264636,269254,271438,-,-,-,Upgrade
13,Long-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-355.93,-,-0.54,24501,0.7,0.7,-,-,-,Upgrade
14,Goodwill,10076,120746,124548,127953,131665,132601,126921,130479,134038,139719,12749,13258,13507,13866,-,11752,-,-,-,-,Upgrade
15,Other Intangible Assets,52384,52466,52552,52647,52741,52836,52931,53025,53120,50838,50700,50709,50718,50727,50737,50752,50768,-,-,-,Upgrade
16,Long-Term Deferred Tax Assets,-,-,-,-,-,-,-,-,56.48,-,-,-,12.65,-,-,-,-,-,-,-,Upgrade
17,Other Long-Term Assets,82185,84974,88229,90683,81119,66220,62084,62775,63920,66113,64957,65820,67801,66441,66916,65063,63673,-,-,-,Upgrade
18,Total Assets,1465750,1283620,1500922,1977713,2169752,2295311,2522785,2796418,3506421,3102118,2863311,2506543,3120771,2737503,2380237,1676545,1706528,-,-,-,Upgrade
19,Accounts Payable,310008,133305,73750,146390,165424,197976,412969,737721,1790374,1507234,1389211,941099,1578993,1460685,1335942,778542,672156,-,-,-,Upgrade
20,Accrued Expenses,54578,9017,10730,7750,18723,14439,32371,25235,44417,26774,27260,37867,42551,49198,57660,33692,26385,-,-,-,Upgrade
21,Short-Term Debt,436196,438694,545694,1115504,1247698,1405608,1392063,1308456,962122,885228,657394,6234,756791,570865,338930,254649,398695,-,-,-,Upgrade
22,Current Portion of Long-Term Debt,5442,7930,10276,14484,14484,14484,14484,14484,14484,14484,14484,740386,14484,-,-,-,23779,-,-,-,Upgrade
23,Current Income Taxes Payable,8394,49933,60102,54878,29029,7001,2701,6933,20440,24718,20834,8511,9595,10445,5776,9654,496.72,-,-,-,Upgrade
24,Other Current Liabilities,263984,345383,406874,66196,70121,98797,108554,147305,115770,132294,243177,212473,194702,116977,114373,76738,96817,-,-,-,Upgrade
25,Total Current Liabilities,1078602,984263,1107426,1405203,1545479,1738304,1963142,2240135,2947606,2590732,2352360,1946570,2597116,2208170,1852681,1153275,1218328,-,-,-,Upgrade
26,Long-Term Debt,185843,13694,14898,7090,9482,14133,17754,21375,23965,27586,31207,49312,38449,58872,65243,71548,44905,-,-,-,Upgrade
27,Long-Term Deferred Tax Liabilities,1522,3975,3703,3438,3193,2680,2680,1537,1609,-,-,-,-,-,-,-,-,-,-,-,Upgrade
28,Other Long-Term Liabilities,77172,35950,36250,124222,174146,103397,102492,95934,97701,29400,28600,27400,26400,24100,23610,26710,26000,-,-,-,Upgrade
29,Total Liabilities,1343139,1037881,1162277,1539952,1732299,1858514,2086068,2358981,3070881,2647718,2412167,2023282,2661965,2291142,1941534,1251534,1289233,-,-,-,Upgrade
30,Common Stock,372877,372877,372877,372877,372877,372877,372877,372877,372877,372877,372877,372877,372877,372877,372877,372877,372877,-,-,-,Upgrade
31,Additional Paid-In Capital,360.73,360.73,360.73,360.73,360.73,360.73,360.73,360.73,360.73,360.73,360.73,360.73,360.73,360.73,360.73,360.73,360.73,-,-,-,Upgrade
32,Retained Earnings,-242414,-121651,-28795,70288,70012,69282,69002,69583,67641,86560,85868,118012,93573,81321,73663,59971,52256,-,-,-,Upgrade
33,Treasury Stock,-8681,-8681,-8681,-8681,-8681,-8681,-8681,-8681,-8681,-8681,-8681,-8681,-8681,-8681,-8681,-8681,-8681,-,-,-,Upgrade
34,Comprehensive Income & Other,483.23,483.23,483.23,483.23,483.23,483.23,483.23,483.23,483.23,483.23,483.23,483.23,483.23,483.23,483.23,483.23,483.23,-,-,-,Upgrade
35,Total Common Equity,122626,243389,336245,435328,435052,434322,434041,434623,432681,451600,450908,483052,458613,446361,438702,425011,417295,-,-,415603,Upgrade
36,Minority Interest,-15.35,2349,2400,2433,2401,2475,2676,2814,2859,2800,236.37,209.29,192.94,0.2,-,0.2,-,-,-,-,Upgrade
37,Shareholders' Equity,122611,245738,338645,437761,437453,436797,436717,437437,435541,454400,451145,483261,458806,446361,438702,425011,417295,-,-,415603,Upgrade
38,Total Liabilities & Equity,1465750,1283620,1500922,1977713,2169752,2295311,2522785,2796418,3506421,3102118,2863311,2506543,3120771,2737503,2380237,1676545,1706528,-,-,-,Upgrade
39,Total Debt,627482,460318,570868,1137078,1271663,1434224,1424300,1344315,1000571,927298,703085,795931,809724,629738,404173,326197,467378,-,-,807748,Upgrade
40,Net Cash (Debt),-288235,-425109,-558334,-1091914,-1238775,-1383526,-1363066,-1278331,-863837,-787203,-561733,-660926,-715701,-501895,-128708,-130847,-353562,-,-,-795814,Upgrade
41,Net Cash Per Share,-7818.73,-11529.49,-15138.33,-27747.36,-33909.57,-36443.64,-37180.82,-34460.55,-23363.19,-23318.69,-14074.00,-17942.28,-19399.27,-13624.60,-3486.28,-3548.10,-9587.35,-,-,-19128.48,Upgrade
42,Filing Date Shares Outstanding,36.88,36.88,36.88,36.88,36.88,36.88,36.88,36.88,36.88,36.88,36.88,36.88,36.88,36.88,36.88,36.88,36.88,35.19,32.15,41.6,Upgrade
43,Total Common Shares Outstanding,36.88,36.88,36.88,36.88,36.88,36.88,36.88,36.88,36.88,36.88,36.88,36.88,36.88,36.88,36.88,36.88,36.88,35.19,32.15,41.6,Upgrade
44,Working Capital,9358,-202460,-120696,52291,91975,42162,54236,54949,50398,-8284,125374,171346,129615,135840,120767,126447,102320,-,-,-,Upgrade
45,Book Value Per Share,3325.19,6599.85,9117.76,11804.54,11797.07,11777.27,11769.66,11785.44,11732.78,12245.79,12227.03,13098.66,12435.96,12103.72,11896.05,11524.78,11315.57,-,-,11269.68,Upgrade
46,Tangible Book Value,60165,70177,159145,254728,250646,248884,254190,251119,245524,261043,387460,419085,394388,381768,387966,362506,366528,-,-,365145,Upgrade
47,Tangible Book Value Per Share,1631.47,1902.95,4315.44,6907.33,6796.62,6748.86,6892.74,6809.45,6657.73,7078.57,10506.54,11364.09,10694.41,10352.18,10520.26,9829.88,9938.93,-,-,9901.42,Upgrade
48,Buildings,249820,274405,268355,270155,270155,270259,270294,270346,270259,270327,250638,-,250221,-,-,242219,242219,-,-,-,Upgrade
49,Machinery,205997,216764,219252,217005,214497,205470,203003,202362,202006,201890,186931,-,185992,-,-,178668,177865,-,-,-,Upgrade
50,Construction In Progress,934.75,1792,6416,1876,17323,18014,16118,3738,1729,2844,3752,2289,1940,10846,11537,12355,11031,-,-,-,Upgrade
