,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,3129516,3253867,3228997,3282883,3473555,3689098,3502571,3867335,3726404,3689098,3958527,3854900,3879771,3780289,3726404,3133661,2847652,2967859,2379261,2205169,2010351,Upgrade
1,Market Cap Growth,-11.80%,-11.80%,-7.81%,-15.11%,-6.79%,0%,-11.52%,0.32%,-3.95%,-2.41%,6.23%,23.02%,36.24%,27.37%,56.62%,42.11%,41.65%,18.35%,-8.31%,-20.00%,-33.65%,Upgrade
2,Enterprise Value,2702669,2897154,2842722,2946544,2968862,3226153,3140306,3490070,3370158,3234593,3548041,3456857,3507940,3446744,3520532,3009064,2600480,2886069,2317695,2281324,1927254,Upgrade
3,Last Close Price,75500.00,76525.16,75940.25,77207.55,79689.57,82652.44,78473.38,86645.76,82567.76,81741.17,85802.19,83556.06,83205.23,79286.05,78155.87,65723.96,58840.52,59620.88,47796.62,44299.31,39677.13,Upgrade
4,PE Ratio,15.13,14.69,17.47,15.54,16.38,16.08,16.19,17.30,16.47,15.69,15.59,15.62,16.37,18.01,18.19,16.61,16.41,17.19,13.45,13.79,14.43,Upgrade
5,PS Ratio,1.34,1.39,1.39,1.41,1.56,1.60,1.53,1.67,1.56,1.54,1.66,1.64,1.68,1.75,1.70,1.51,1.43,1.55,1.29,1.25,1.16,Upgrade
6,PB Ratio,2.08,2.01,2.07,2.16,2.38,2.48,2.28,2.62,2.65,2.67,2.75,2.81,2.99,2.98,2.86,2.53,2.41,2.53,1.98,1.91,1.80,Upgrade
7,P/TBV Ratio,2.26,2.26,2.34,2.44,2.70,2.79,2.58,2.97,3.01,3.04,3.12,3.20,3.41,3.41,3.26,2.89,2.77,2.90,2.27,2.19,2.08,Upgrade
8,P/FCF Ratio,16.61,17.27,61.67,36.13,-,19.68,26.86,50.87,37.83,-,15.77,11.64,9.62,14.60,8.21,9.78,-,9.82,-,8.07,-,Upgrade
9,P/OCF Ratio,12.45,12.45,23.06,17.85,-,12.81,15.89,24.25,20.61,-,13.09,10.63,9.07,13.02,7.32,8.41,-,8.57,-,7.22,-,Upgrade
10,EV/Sales Ratio,1.16,1.24,1.23,1.26,1.33,1.40,1.37,1.50,1.41,1.35,1.48,1.47,1.52,1.60,1.61,1.45,1.31,1.51,1.26,1.29,1.11,Upgrade
11,EV/EBITDA Ratio,6.86,7.35,7.66,7.47,7.44,7.57,7.88,8.36,7.95,7.39,7.56,7.46,7.80,8.40,8.41,7.66,7.10,8.23,6.71,6.95,6.27,Upgrade
12,EV/EBIT Ratio,8.82,9.45,10.06,9.64,9.65,9.68,10.24,10.71,9.97,9.23,9.22,9.10,9.66,10.55,10.58,9.73,9.19,10.73,8.79,9.27,8.56,Upgrade
13,EV/FCF Ratio,14.35,15.38,54.29,32.42,-,17.21,24.08,45.91,34.22,-,14.14,10.44,8.70,13.32,7.76,9.39,-,9.55,-,8.34,-,Upgrade
14,Debt / Equity Ratio,0.12,0.12,0.09,0.05,0.09,0.11,0.09,0.07,-,0.03,-,-,0.01,0.02,0.04,0.05,0.06,0.07,0.09,0.11,0.12,Upgrade
15,Debt / EBITDA Ratio,0.48,0.39,0.48,0.17,0.35,0.43,0.37,0.21,-,0.14,-,-,0.04,0.07,0.12,0.14,0.19,0.18,0.32,0.39,0.45,Upgrade
16,Debt / FCF Ratio,1.01,1.01,2.65,0.82,-,0.90,1.10,1.29,-,-,-,-,0.05,0.10,0.12,0.19,-,0.26,-,0.46,-,Upgrade
17,Asset Turnover,1.15,1.11,1.25,1.07,1.14,1.18,1.10,1.36,1.27,1.35,1.35,1.45,1.30,1.32,1.40,1.19,1.50,1.19,1.22,1.03,Upgrade,
