,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,2295890,2255374,2120322,3038677,2947517,2552489,2552489,2073053,1509210,1505833,1926776,1987551,2962194,3250310,2453489,2117679,2103273,1908792,1710710,1728728,1128476,Upgrade
1,Market Cap Growth,-11.64%,-11.64%,-16.93%,46.58%,95.30%,69.51%,32.47%,4.30%,-49.05%,-53.67%,-21.47%,-6.14%,40.84%,70.28%,43.42%,22.50%,86.38%,1.79%,-19.67%,-10.89%,-27.84%,Upgrade
2,Enterprise Value,2133972,2252621,2146392,2987611,2882012,2373735,2405206,1907200,1288988,1249185,1721619,1730349,2601383,2823815,1921224,1264425,1229369,1208166,1058301,990339,494015,Upgrade
3,Last Close Price,34000.00,33400.00,30417.21,43591.55,42283.80,36616.90,35710.54,29003.01,21114.57,21067.33,26072.30,26894.67,40083.11,43981.78,33199.54,28129.38,27938.02,25354.71,22723.56,22962.76,14989.58,Upgrade
4,PE Ratio,35.49,34.86,36.34,54.26,60.16,69.23,126.81,155.79,-,-,17.42,9.86,12.97,13.32,8.58,8.97,9.72,8.09,8.35,8.89,4.54,Upgrade
5,PS Ratio,1.72,1.69,1.44,2.18,2.51,2.40,3.32,2.16,1.28,1.14,1.43,0.78,0.83,0.90,0.53,0.53,0.69,0.57,0.65,0.83,0.34,Upgrade
6,PB Ratio,1.75,1.72,1.64,2.40,2.19,1.91,1.93,1.59,1.11,1.11,1.43,1.49,2.13,2.36,1.88,1.76,1.76,1.64,1.63,1.73,1.14,Upgrade
7,P/TBV Ratio,1.93,1.93,1.84,2.69,2.45,2.14,2.16,1.78,1.23,1.24,1.60,1.67,2.38,2.65,2.12,2.01,2.02,1.89,1.92,2.07,1.38,Upgrade
8,P/FCF Ratio,13.37,13.13,-12.62,-,-30.60,-,-138.90,-,-,-42.64,-26.94,-,-,-,-,-,-,5.34,20.86,-,-25.19,Upgrade
