,Fiscal Quarter,Current,Q4 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021,Q3 2020,Q1 2018,Q3 2017,Q1 2017,Q3 2016,Q1 2016,Q3 2014,Q3 2013
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '18 Mar 31, 2018","Sep '17 Sep 30, 2017","Mar '17 Mar 31, 2017","Sep '16 Sep 30, 2016","Mar '16 Mar 31, 2016","Sep '14 Sep 30, 2014","Sep '13 Sep 30, 2013"
0,Market Capitalization,911349,939373,624380,584025,635590,439420,414759,696122,786921,2307518,2289047,1081387,1017357,427383,-,-,-,-,-,-,-
1,Market Cap Growth,126.49%,113.78%,50.54%,-16.10%,-19.23%,-80.96%,-81.88%,-35.63%,-22.65%,439.92%,-,-,-,-,-,-,-,-,-,-,-
2,Last Close Price,8130.00,8380.00,5570.00,5210.00,5670.00,3920.00,3700.00,6210.00,7020.00,19441.87,19338.31,13703.60,10572.57,5153.81,-,-,-,-,-,-,-
3,PE Ratio,7.22,11.38,8.60,-1.86,-1.83,-1.24,-,-,5.38,10.19,10.20,5.71,9.50,14.49,-,-,-,-,-,-,-
4,PS Ratio,5.48,8.60,4.67,5.78,8.67,5.66,3.91,5.01,3.09,6.61,6.82,3.76,6.30,8.21,-,-,-,-,-,-,-
5,PB Ratio,0.79,0.82,0.63,0.59,0.68,-,0.48,0.57,0.63,-,1.85,-,-,-,-,-,-,-,-,-,-
6,P/FCF Ratio,2.43,-,-,-,1.93,1.36,-,-,2.56,16.94,-,-,-,-,-,-,-,-,-,-,-
7,P/OCF Ratio,2.43,-,-,-,1.93,1.36,-,-,2.55,16.93,-,-,-,-,-,-,-,-,-,-,-
8,Debt / Equity Ratio,-,-,-,-,0.00,-,0.13,0.10,0.12,-,0.22,-,-,-,0.11,0.27,0.35,-,-,-,-
9,Debt / FCF Ratio,-,-,-,-,0.00,-,-,-,0.48,-,-,-,-,-,-,-,-,-,-,-,-
10,Asset Turnover,-,0.22,0.18,-,-,0.08,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,
11,Quick Ratio,36.04,36.04,166.81,166.81,76.72,-,5.57,53.52,28.50,-,8.85,-,-,-,5.79,2.80,3.02,-,-,3.52,-
12,Current Ratio,37.46,37.46,167.37,167.37,77.02,-,5.60,53.82,28.70,-,8.90,-,-,-,5.99,2.94,3.16,-,-,4.09,-
13,Return on Equity (ROE),-,13.93%,11.52%,-,-,-134.55%,-2.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,
14,Return on Assets (ROA),-,13.71%,11.37%,-,-,-118.79%,-1.76%,-,-,-,-,-,-,-,-,-,-,-,-,-,
15,Earnings Yield,13.84%,8.78%,11.63%,-53.76%,-54.73%,-80.32%,-81.15%,7.78%,18.59%,9.81%,9.80%,17.53%,10.52%,6.90%,-,-,-,-,-,-,-
16,FCF Yield,41.14%,-,32.98%,45.95%,51.75%,73.60%,-,45.67%,39.14%,5.90%,-,-4.59%,-3.72%,-,-,-,-,-,-,-,-
17,Payout Ratio,0.00%,-,-,-,-,-,-,-,3833.48%,277.72%,-,39.71%,41.84%,-,-,-,-,-,-,-,-
18,Buyback Yield / Dilution,-0.05%,-0.01%,-0.04%,-0.06%,-0.05%,-0.07%,-8.13%,-57.47%,-71.66%,-1504.40%,-495.43%,-410.44%,-487.14%,37.11%,-56.73%,-,-,-,-,-,-
19,Total Shareholder Return,-0.05%,-0.01%,-0.04%,-0.06%,-0.05%,-0.07%,-8.13%,-57.47%,-71.66%,-1504.40%,-495.43%,-410.44%,-487.14%,37.11%,-56.73%,-,-,-,-,-,-
