,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jan '24 Jan 1, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,888952,605309,578407,483612,810943,547545,554632,439401,708985,545537,527022,425491,1009758,402562,405653,398937,949167,799995,668841,483289,Upgrade
1,Revenue Growth (YoY),9.62%,10.55%,4.29%,10.06%,14.38%,0.37%,5.24%,3.27%,-29.79%,35.52%,29.92%,6.66%,6.38%,-49.68%,-39.35%,-17.45%,-12.70%,4.79%,-12.22%,-0.30%,Upgrade
2,Cost of Revenue,697229,493626,472098,391692,645906,422695,413437,355862,575759,449001,382942,305542,745899,310609,306269,298659,647251,546511,472923,344272,Upgrade
3,Gross Profit,191723,111683,106309,91919,165038,124849,141195,83539,133226,96536,144080,119949,263859,91952,99384,100279,301916,253484,195918,139018,Upgrade
4,"Selling, General & Admin",12880,6590,7469,6744,11831,6442,6331,5764,6921,10824,13681,11729,20532,13557,12616,17708,7819,8824,8690,8295,Upgrade
5,Operating Expenses,12880,6590,7469,6744,11831,6442,6331,5764,6921,10824,13681,11729,20532,13557,12616,17708,7819,8824,8690,8295,Upgrade
6,Operating Income,178842,105093,98839,85175,153206,118407,134865,77775,126305,85712,130399,108219,243327,78396,86768,82570,294097,244661,187227,130723,Upgrade
7,Interest Expense,-2006,-,-1128,-1140,-2367,-,-1666,-3171,-1922,-1545,-1029,-2102,-1493,-688.76,-1144,-1740,-2143,-2901,-3810,-4084,Upgrade
8,Interest & Investment Income,20609,-,24924,26710,28030,-,19381,16532,12675,10402,8420,9126,13490,16237,15767,16024,19952,21467,15547,7270,Upgrade
9,Currency Exchange Gain (Loss),1453,-,-,765.32,746.78,-,-,171.37,-2573,-,253.92,543.85,584.69,-,204.93,206.05,425.8,-,180.07,774.22,Upgrade
10,Other Non Operating Income (Expenses),46.81,19983,-151.9,31.26,-652.72,22667,8.26,-15.81,-0.64,-942.17,533.25,-96.55,140.46,-119.77,-,35.02,0,-279.68,-2617,-4672,Upgrade
11,EBT Excluding Unusual Items,198945,125076,122483,111543,178963,141074,152588,91292,134485,93627,138577,115690,256050,93824,101597,97095,312332,262947,196527,130010,Upgrade
12,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,-82942,-,-,-,-,-,-,-,-,Upgrade
13,Pretax Income,198945,125076,122483,111543,178963,141074,152588,91292,134485,93627,138577,32749,256050,93824,101597,97095,312332,262947,196527,130010,Upgrade
14,Income Tax Expense,39781,24476,24526,22827,36042,29107,30523,18293,27186,18824,27725,6596,56497,21715,21051,20770,59441,53939,40548,27045,Upgrade
15,Earnings From Continuing Operations,159164,100600,97958,88716,142921,111968,122065,72999,107299,74803,110853,26152,199553,72109,80545,76325,252891,209008,155980,102965,Upgrade
16,Minority Interest in Earnings,-,-,-,-,-,-,-,-,-,-,-,-,52.96,51.82,61.42,136.77,647.33,652.08,819.03,639.01,Upgrade
17,Net Income,159164,100600,97958,88716,142921,111968,122065,72999,107299,74803,110853,26152,199606,72161,80607,76462,253538,209660,156799,103604,Upgrade
18,Net Income to Common,159164,100600,97958,88716,142921,111968,122065,72999,107299,74803,110853,26152,199606,72161,80607,76462,253538,209660,156799,103604,Upgrade
19,Net Income Growth,11.37%,-10.15%,-19.75%,21.53%,33.20%,49.68%,10.11%,179.13%,-46.24%,3.66%,37.52%,-65.80%,-21.27%,-65.58%,-48.59%,-26.20%,-3.93%,35.03%,0.32%,-1.65%,Upgrade
20,Shares Outstanding (Basic),27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,Upgrade
21,Shares Outstanding (Diluted),27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,Upgrade
22,Shares Change (YoY),0.00%,0.01%,-0.00%,-,0.00%,-0.02%,0.00%,-,0.00%,0.01%,-0.01%,-,-0.00%,-0.00%,-,-,-0.00%,0.01%,-,-,Upgrade
23,EPS (Basic),5988.00,3785.00,3686.00,3337.79,5377.00,4213.00,4593.00,2746.49,4037.00,2814.00,4171.18,983.93,7510.00,2715.00,3032.70,2876.75,9539.00,7888.00,5899.33,3897.95,Upgrade
24,EPS (Diluted),5988.00,3785.00,3686.00,3337.79,5377.00,4213.00,4593.00,2746.49,4037.00,2814.00,4171.18,983.93,7510.00,2715.00,3032.70,2876.75,9539.00,7888.00,5899.33,3897.95,Upgrade
25,EPS Growth,11.36%,-10.16%,-19.75%,21.53%,33.19%,49.72%,10.11%,179.13%,-46.25%,3.65%,37.54%,-65.80%,-21.27%,-65.58%,-48.59%,-26.20%,-3.93%,35.02%,0.32%,-1.65%,Upgrade
26,Free Cash Flow,30147,66813,190037,143990,-32152,198294,275609,211560,-84475,71254,45768,-240757,407927,45034,106457,18211,253022,173956,288426,838813,Upgrade
27,Free Cash Flow Per Share,1134.19,2513.80,7150.82,5417.40,-1209.63,7461.20,10370.44,7959.63,-3178.27,2680.50,1722.15,-9058.12,15347.93,1694.37,4005.28,685.15,9519.57,6544.71,10851.60,31559.07,Upgrade
28,Dividend Per Share,-,-,-,-,25000.000,-,-,-,-,-,-,-,-,-,25000.000,-,-,-,25000.000,-,Upgrade
29,Gross Margin,21.57%,18.45%,18.38%,19.01%,20.35%,22.80%,25.46%,19.01%,18.79%,17.70%,27.34%,28.19%,26.13%,22.84%,24.50%,25.14%,31.81%,31.69%,29.29%,28.76%,Upgrade
30,Operating Margin,20.12%,17.36%,17.09%,17.61%,18.89%,21.63%,24.32%,17.70%,17.81%,15.71%,24.74%,25.43%,24.10%,19.47%,21.39%,20.70%,30.98%,30.58%,27.99%,27.05%,Upgrade
31,Profit Margin,17.90%,16.62%,16.94%,18.34%,17.62%,20.45%,22.01%,16.61%,15.13%,13.71%,21.03%,6.15%,19.77%,17.93%,19.87%,19.17%,26.71%,26.21%,23.44%,21.44%,Upgrade
32,Free Cash Flow Margin,3.39%,11.04%,32.86%,29.77%,-3.96%,36.22%,49.69%,48.15%,-11.91%,13.06%,8.68%,-56.58%,40.40%,11.19%,26.24%,4.56%,26.66%,21.74%,43.12%,173.56%,Upgrade
33,EBITDA,189829,116368,110542,97035,165261,130834,146745,91356,139941,93869,149999,122162,260172,95736,104114,99982,311534,262057,204540,148123,Upgrade
34,EBITDA Margin,21.35%,19.22%,19.11%,20.06%,20.38%,23.89%,26.46%,20.79%,19.74%,17.21%,28.46%,28.71%,25.77%,23.78%,25.67%,25.06%,32.82%,32.76%,30.58%,30.65%,Upgrade
35,D&A For EBITDA,10987,11275,11702,11860,12055,12427,11880,13580,13635,8157,19601,13942,16845,17340,17345,17412,17437,17397,17313,17400,Upgrade
36,EBIT,178842,105093,98839,85175,153206,118407,134865,77775,126305,85712,130399,108219,243327,78396,86768,82570,294097,244661,187227,130723,Upgrade
37,EBIT Margin,20.12%,17.36%,17.09%,17.61%,18.89%,21.63%,24.32%,17.70%,17.81%,15.71%,24.74%,25.43%,24.10%,19.47%,21.39%,20.70%,30.98%,30.58%,27.99%,27.05%,Upgrade
38,Effective Tax Rate,20.00%,19.57%,20.02%,20.46%,20.14%,20.63%,20.00%,20.04%,20.21%,20.11%,20.01%,20.14%,22.06%,23.14%,20.72%,21.39%,19.03%,20.51%,20.63%,20.80%,Upgrade
39,Revenue as Reported,888952,605309,578407,483612,810943,547545,554632,439401,708985,545537,527022,425491,1009758,402562,405653,398937,949167,799995,668841,483289,Upgrade
