,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,4743772,2543517,3903158,1040594,787898,1774586,1903146,3029414,3423502,1839232,2985622,1419586,1131749,655194,1390656,219638,642513,429221,1897867,980082,Upgrade
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5939,-,-,-,Upgrade
2,Trading Asset Securities,846252,476161,1007406,839129,122138,1123270,557178,611832,665258,1388384,1231103,921710,1221516,939453,810093,917360,614824,563769,839328,689252,Upgrade
3,Accounts Receivable,11233151,10131484,7964061,8591002,8008291,5808287,5425928,5133591,5303515,6616874,6405693,8145811,7727962,6451842,5551683,4881050,3892163,3027665,2032617,2932990,Upgrade
4,Other Receivables,393384,211689,910272,619608,848568,607337,135490,125735,91374,218216,57309,167625,236147,112715,124881,194967,221799,38176,58025,104372,Upgrade
5,"Property, Plant & Equipment",42958,34492,35245,24645,21375,22039,27345,27615,29816,32420,22168,15692,15770,15077,16166,15743,13685,14556,11593,10574,Upgrade
6,Other Intangible Assets,6668,6532,6986,7440,7700,4933,446,498.87,1040,1666,1761,2408,3195,3982,4768,5558,6349,7140,8779,4979,Upgrade
7,Investments in Debt & Equity Securities,8408756,6513350,8513373,7687420,6608229,6657210,5892782,4974796,3734009,4592636,4726956,5438200,5328810,5208913,3478372,2959291,2797658,2589260,1623905,1851655,Upgrade
8,Other Current Assets,866520,446018,711646,680746,799326,868130,526209,1042096,940036,956864,940712,888505,922782,222856,92175,166775,137275,24610,171343,448854,Upgrade
9,Long-Term Deferred Tax Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27934,83658,Upgrade
10,Other Long-Term Assets,50663,51921,53225,54019,51611,51340,51038,52894,54202,55412,56094,46370,48334,56279,47879,49902,50201,53571,52388,53995,Upgrade
11,Total Assets,26592124,20415163,23105372,19544604,17255135,16917132,14519562,14998472,14242751,15701704,16427416,17045910,16636265,13666310,11516672,9410285,8382405,6747969,6723780,7160412,Upgrade
12,Accounts Payable,59469,14736,805843,203921,172841,94766,159760,201731,28419,250540,96977,73418,666427,116944,106513,63054,118971,41579,47093,12697,Upgrade
13,Accrued Expenses,261705,240452,170119,146909,139427,205841,131618,176296,182162,247175,179233,147328,399898,330769,168568,128984,120916,107505,101177,91520,Upgrade
