,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,60476295,58688818,57497167,53272958,62405465,49721428,49087226,49698928,45104201,40045786,46368805,45314968,73075378,73463664,54903605,76802921,53694372,35944166,-,-,-,Upgrade
1,Market Cap Growth,18.04%,18.04%,17.13%,7.19%,38.36%,24.16%,5.86%,9.67%,-38.28%,-45.49%,-15.55%,-41.00%,36.10%,104.38%,-,-,-,-,-,-,-,Upgrade
2,Last Close Price,20300.00,19700.00,19300.00,17948.72,20419.58,15813.11,15611.41,15853.45,14060.04,11945.14,13831.22,13516.87,21911.07,22027.50,16462.41,23028.75,16099.83,10777.57,-,-,-,Upgrade
3,PE Ratio,8.51,8.26,8.11,6.98,7.51,5.88,5.60,5.61,5.19,4.79,5.59,6.33,10.93,11.63,9.80,13.18,10.66,7.91,-,-,-,Upgrade
4,PS Ratio,3.73,3.62,3.55,3.17,3.58,2.87,2.81,2.83,2.61,2.39,2.86,3.11,5.29,5.55,4.37,6.13,4.74,3.50,-,-,-,Upgrade
5,PB Ratio,1.44,1.40,1.44,1.39,1.62,1.31,1.36,1.47,1.38,1.23,1.52,1.60,2.81,3.02,2.48,3.65,2.78,2.00,-,-,-,Upgrade
6,P/FCF Ratio,-,-,-,-,-,-,-5.67,-,-,-1.27,-,-,-,-,-,-,-,-,-,-,-,Upgrade
7,P/OCF Ratio,-,-,-,-,-,-,-5.82,-,-,-1.28,-,-,-,-,-,-,-,-,-,-,-,Upgrade
8,Debt / Equity Ratio,1.69,1.69,1.17,1.00,1.29,1.26,1.29,1.41,1.53,1.75,2.09,2.65,2.86,2.83,2.31,2.50,2.23,2.46,2.42,2.27,2.32,Upgrade
9,Debt / FCF Ratio,-,-,-,-,-,-,-5.36,-,-,-1.80,-,-,-,-,-,-,-,-,-,-1.86,-,Upgrade
10,Return on Equity (ROE),18.79%,16.34%,17.54%,20.97%,20.57%,24.55%,28.38%,26.43%,28.09%,30.42%,32.37%,28.99%,36.82%,20.52%,34.04%,31.02%,32.96%,33.62%,27.79%,24.83%,Upgrade,
11,Return on Assets (ROA),1.64%,1.46%,1.59%,1.94%,1.92%,2.25%,2.56%,2.46%,2.59%,2.59%,2.58%,2.27%,2.88%,1.58%,2.57%,2.30%,2.49%,2.57%,2.07%,1.82%,Upgrade,
12,Earnings Yield,11.75%,12.28%,12.50%,14.52%,13.47%,17.22%,18.08%,18.04%,19.51%,21.15%,18.09%,16.03%,9.29%,8.73%,10.37%,7.71%,9.74%,12.92%,-,-,-,Upgrade
13,FCF Yield,-109.15%,-112.47%,-128.61%,-84.36%,-52.74%,-69.05%,-17.64%,-45.20%,-47.44%,-78.89%,-80.74%,-74.83%,-61.62%,-48.84%,-111.41%,-68.30%,-46.31%,-104.28%,-,-,-,Upgrade
14,Dividend Yield,5.42%,-,-,-,-,6.76%,-,5.48%,-,2.98%,-,-,-,-,-,-,-,-,-,-,-,Upgrade
15,Payout Ratio,44.01%,-,-,97.98%,76.06%,-,-,44.68%,97.80%,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
16,Buyback Yield / Dilution,0.02%,-0.01%,-6.35%,6.32%,-0.37%,-0.28%,0.08%,-0.04%,-0.30%,-0.40%,-0.29%,-0.26%,-17.92%,-0.41%,-0.63%,-0.52%,41.06%,-17.55%,-12.56%,-22.77%,Upgrade,
17,Total Shareholder Return,5.42%,0.02%,-0.01%,-6.35%,6.32%,6.38%,-0.28%,5.56%,-0.04%,2.68%,-0.40%,-0.29%,-0.26%,-17.92%,-0.41%,-0.63%,-0.52%,41.06%,-17.55%,-12.56%,-22.77%,Upgrade
