,Fiscal Quarter,Q3 2015,Q2 2015,Q1 2015,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,Q2 2010,+17 Quarters
,Period Ending,"Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Dec '13 Dec 31, 2013","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Dec '12 Dec 31, 2012","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011","Mar '11 Mar 31, 2011","Dec '10 Dec 31, 2010","Sep '10 Sep 30, 2010","Jun '10 Jun 30, 2010",+17 Quarters
0,Cash & Equivalents,172080,105549,125337,-,26987,136875,49635,106423,34879,114561,44072,-,32697,-,84212,87404,99648,58089,32717,50942,Upgrade
1,Short-Term Investments,563.2,605.86,-,-,588.8,1963,80583,20962,390.71,19603,417.55,-,21999,-,3394,3294,4311,5287,5438,6328,Upgrade
2,Trading Asset Securities,-,-,2848,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
3,Cash & Short-Term Investments,172643,106155,128185,-,27576,138838,130218,127385,35270,134163,44489,-,54696,-,87606,90698,103958,63377,38155,57270,Upgrade
4,Cash Growth,526.07%,-23.54%,-1.56%,-,-21.82%,3.48%,192.70%,-,-35.52%,-,-49.22%,-,-47.39%,-,129.60%,58.37%,67.39%,206.79%,-66.00%,17.20%,Upgrade
5,Accounts Receivable,25697,50047,59334,-,29616,38804,29820,44084,62685,75491,54197,-,64189,-,94469,123289,139636,86211,91005,57585,Upgrade
6,Other Receivables,27514,27887,9492,-,23321,25605,27952,4871,4892,12049,14652,-,15054,-,14628,9712,8791,18018,25853,30901,Upgrade
7,Receivables,53210,77934,68826,-,52937,64408,57772,48956,67576,87540,68849,-,79244,-,109097,133002,148427,104229,116858,88485,Upgrade
8,Inventory,86196,84037,86422,-,90085,94076,97275,91799,106842,104099,97747,-,101531,-,109527,89751,104120,97299,134442,129058,Upgrade
9,Prepaid Expenses,3560,422.22,3252,-,863.56,3598,333.69,2953,490.39,3108,533.12,-,493.13,-,4490,2148,2044,919.28,4180,2287,Upgrade
10,Other Current Assets,8022,4447,1863,-,12387,7141,7686,7110,27962,7635,28093,-,16432,-,50317,53658,73009,84808,60742,63118,Upgrade
11,Total Current Assets,323631,272994,288547,-,183847,308061,293284,278203,238141,336545,239711,-,252397,-,361036,369257,431558,350631,354377,340218,Upgrade
12,"Property, Plant & Equipment",967441,998167,1027124,-,1268155,1289054,1320096,1356424,1391640,1421638,1554630,-,1587850,-,1617390,1618783,1719094,1725243,1754373,1790816,Upgrade
13,Long-Term Investments,198452,196744,194613,-,61473,62021,62021,157374,157374,158803,38803,-,46670,-,51527,60027,69487,69487,59906,80099,Upgrade
14,Goodwill,-,-,-,-,-,-,-,-,-,-,-,-,-,-,833.33,833.33,833.33,833.33,1667,1667,Upgrade
15,Other Intangible Assets,14207,14302,14397,-,14680,14775,14870,14989,15109,15228,15348,-,15731,-,15691,15738,15785,15668,5520,5566,Upgrade
16,Long-Term Accounts Receivable,-,-,155,-,-,-,-,46.5,46.5,46.5,46.5,-,108.5,-,-,-,-,-,-,-,Upgrade
17,Other Long-Term Assets,98142,97997,101098,-,101041,101479,102721,104123,105545,106739,108298,-,103737,-,105469,106548,2202,2475,5584,6287,Upgrade
18,Total Assets,1601873,1580204,1625934,-,1629197,1775390,1792992,1911160,1907856,2039000,1956836,-,2006492,-,2151946,2171186,2238960,2164337,2181425,2224653,Upgrade
19,Accounts Payable,50437,26998,5803,-,11043,40295,34638,30779,20898,36605,28744,-,34364,-,86505,109389,107184,28979,75220,57826,Upgrade
20,Accrued Expenses,39669,61751,24472,-,20143,21113,25239,42939,65202,89588,33354,-,45659,-,54794,32557,58571,39403,52566,50632,Upgrade
21,Short-Term Debt,1015,-,-,-,18858,37209,23507,24789,21237,31384,17688,-,37846,-,13888,16408,-,6179,93718,137100,Upgrade
22,Current Portion of Long-Term Debt,157334,152651,150257,-,149296,152153,156653,183137,187387,187236,210850,-,207329,-,186325,205471,188095,190550,-,-,Upgrade
23,Current Income Taxes Payable,3945,3407,5252,-,1848,270.91,6584,4007,2552,17149,1405,-,8107,-,3561,10032,8239,12626,5750,8089,Upgrade
24,Current Unearned Revenue,-,-,365.28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
25,Other Current Liabilities,4174,2747,30082,-,17399,13090,20444,35564,25390,13667,113132,-,31426,-,5435,6709,3848,24696,41734,68645,Upgrade
26,Total Current Liabilities,256574,247554,216231,-,218588,264130,267065,321215,322666,375629,405174,-,364732,-,350508,380566,365937,302433,268986,322291,Upgrade
27,Long-Term Debt,285477,276980,349908,-,420189,520892,520892,597518,602018,667947,668197,-,775878,-,956251,974282,997900,997900,1094544,1099044,Upgrade
28,Long-Term Unearned Revenue,1573,507.31,-,-,170.22,615.16,318.5,238.84,66.24,470.71,404.93,-,67.6,-,141.49,746.26,350.36,924.2,-,-,Upgrade
29,Other Long-Term Liabilities,1631,1649,-,-,1740,1691,1655,1655,1687,1687,1883,-,2461,-,2319,2337,1883,1780,4158,2259,Upgrade
30,Total Liabilities,545255,526690,566139,-,640688,787329,789931,920627,926437,1045734,1075659,-,1143138,-,1309220,1357931,1366071,1303038,1367688,1423594,Upgrade
31,Common Stock,639934,639934,639934,-,639934,598078,598078,598078,598078,598078,598078,-,598078,-,598078,598078,598078,598078,598078,598078,Upgrade
32,Additional Paid-In Capital,7572,7572,7572,-,7572,7572,7572,5633,5633,5633,5633,-,5633,-,5633,5633,5633,5633,5661,5661,Upgrade
33,Retained Earnings,402650,399472,405704,-,334014,375354,390317,382632,373454,385199,273111,-,253813,-,248196,240061,260007,248318,200674,187979,Upgrade
34,Treasury Stock,-,-,-,-,-,-,-,-3206,-3206,-3206,-3206,-,-3206,-,-3206,-1044,-,-,-,-,Upgrade
35,Comprehensive Income & Other,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-15082,-38578,-23.51,75.55,-,-,Upgrade
36,Total Common Equity,1050156,1046978,1053210,-,981520,981004,995967,983138,973959,985704,873616,-,854318,-,833619,804151,863694,852104,804413,791718,Upgrade
37,Minority Interest,6462,6536,6585,-,6989,7057,7094,7395,7460,7562,7562,-,9036,-,9106,9104,9195,9195,9324,9342,Upgrade
38,Shareholders' Equity,1056618,1053514,1059795,-,988509,988061,1003061,990532,981419,993266,881178,-,863354,-,842726,813255,872889,861299,813737,801059,Upgrade
39,Total Liabilities & Equity,1601873,1580204,1625934,-,1629197,1775390,1792992,1911160,1907856,2039000,1956836,-,2006492,-,2151946,2171186,2238960,2164337,2181425,2224653,Upgrade
40,Total Debt,443826,429631,500165,-,588343,710254,701052,805444,810642,886567,896735,-,1021053,-,1156465,1196161,1185995,1194629,1188261,1236143,Upgrade
41,Net Cash (Debt),-271184,-323476,-371980,-,-560767,-571416,-570835,-678059,-775372,-752404,-852246,-,-966357,-,-1068859,-1105463,-1082036,-1131252,-1150106,-1178873,Upgrade
