,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q2 2020,Q1 2020,Q4 2019,Q4 2018,+7 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018",+7 Quarters
0,Market Capitalization,17793861,14366355,17502158,10978893,13757089,11447505,10543754,7230003,4482472,5704964,4915255,6192122,9061643,2629095,3608061,3952902,2937536,812760,580543,650208,752971,Upgrade
1,Market Cap Growth,220.50%,25.50%,66.00%,51.85%,206.91%,100.66%,114.51%,16.76%,-50.53%,116.99%,36.23%,56.65%,208.48%,223.48%,521.50%,507.94%,290.13%,239.95%,134.56%,93.51%,84.55%,Upgrade
2,Last Close Price,12200.00,9850.00,12000.00,12052.58,15102.47,12567.02,11574.88,7937.06,4920.72,6262.74,5109.29,12873.13,14474.36,7851.24,7401.26,8108.64,6025.81,1667.22,1190.87,1333.78,1926.10,Upgrade
3,PE Ratio,18.02,25.31,27.07,16.71,12.52,9.20,9.24,7.23,7.50,12.10,9.26,10.67,12.32,3.72,5.73,7.94,15.16,11.13,-,11.08,13.28,Upgrade
4,PS Ratio,6.80,8.16,11.09,7.98,8.07,6.25,6.32,4.37,3.36,4.96,3.65,4.48,5.96,1.82,2.93,4.05,4.97,1.79,1.71,2.19,3.46,Upgrade
5,PB Ratio,0.88,0.90,1.09,1.20,-,1.30,1.22,0.86,-,0.72,0.60,1.65,2.41,-,1.66,1.91,-,-,0.41,0.46,0.68,Upgrade
6,P/FCF Ratio,-,-,-,-,-,-,-77.54,-,-,-,-,-,-,-11.03,-,-,-,10.20,-,-,-,Upgrade
7,P/OCF Ratio,-,-,-,-,-,-,-78.84,-,-,-,-,-,-,-11.07,-,-,-,10.18,-,-,-,Upgrade
8,Debt / Equity Ratio,0.18,0.18,0.18,0.15,-,-,-,-,-,0.03,0.02,0.23,0.23,-,0.27,0.14,-,-,0.20,0.20,0.32,Upgrade
9,Asset Turnover,0.11,0.14,-,-,0.15,0.15,-,-,0.09,-,-,-,-,0.50,-,-,-,-,-,-,Upgrade,
10,Quick Ratio,5.51,5.51,5.51,7.39,-,48.44,97.95,192.95,-,170.38,100.79,-,10.46,-,8.75,7.57,-,-,-,7.26,4.83,Upgrade
11,Current Ratio,5.51,5.51,5.51,7.40,-,48.45,98.06,193.30,-,170.76,101.04,-,10.49,-,8.81,7.62,-,-,-,8.12,4.84,Upgrade
12,Return on Equity (ROE),2.80%,6.00%,-,-,8.76%,9.33%,-,-,4.36%,3.90%,17.36%,-,-,20.33%,-,-,-,-6.92%,-,-,Upgrade,
13,Return on Assets (ROA),2.29%,5.00%,-,-,8.56%,9.20%,-,-,4.20%,-,-,-,-,15.76%,-,-,-,-,-,-,Upgrade,
14,Earnings Yield,3.73%,3.95%,3.69%,5.98%,7.99%,10.87%,10.82%,13.83%,13.33%,8.26%,10.80%,9.37%,8.12%,26.89%,17.46%,12.59%,6.60%,8.98%,3.08%,9.02%,7.53%,Upgrade
15,FCF Yield,-49.70%,-61.56%,-39.84%,-7.50%,-7.40%,-10.59%,-1.29%,-33.61%,-41.52%,-20.96%,-3.29%,-5.35%,-,-9.07%,-3.98%,1.94%,-,9.81%,27.98%,-,-,Upgrade
16,Payout Ratio,0.00%,-,-,-,-,-,-,-,-,374.06%,-,-,-,-,-,-,-,-,-,-,-,Upgrade
17,Buyback Yield / Dilution,-22.43%,-43.96%,-44.12%,0.09%,0.09%,-27.59%,-35.27%,-35.48%,-,54.58%,-176.14%,-176.09%,-,-545.42%,0.24%,-4.87%,-,-29.96%,-31.92%,-,-,Upgrade
18,Total Shareholder Return,-22.43%,-43.96%,-44.12%,0.09%,0.09%,-27.59%,-35.27%,-35.48%,-,54.58%,-176.14%,-176.09%,-,-545.42%,0.24%,-4.87%,-,-29.96%,-31.92%,-,-,Upgrade
