,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+16 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+16 Quarters
0,Cash & Equivalents,4558985,2060926,4105467,3040653,5050743,2076624,2165035,1982370,1858262,2067794,3042741,2997542,1868253,1638910,1517051,2054232,2926426,2298776,2413573,2459285,Upgrade
1,Short-Term Investments,3222633,1994715,313234,295472,109794,9794,9775,9775,187775,4475,4475,578975,4475,4310,4110,4110,4000,4000,4000,-,Upgrade
2,Trading Asset Securities,603200,678150,591250,503550,503550,549200,519100,500000,500000,-,620000,880000,855000,710000,760000,1277900,600000,415000,990000,300000,Upgrade
3,Cash & Short-Term Investments,8384818,4733791,5009951,3839676,5664087,2635618,2693910,2492146,2546037,2072270,3667216,4456517,2727728,2353220,2281161,3336242,3530426,2717776,3407573,2759285,Upgrade
4,Cash Growth,48.03%,79.61%,85.97%,54.07%,122.47%,27.19%,-26.54%,-44.08%,-6.66%,-11.94%,60.76%,33.58%,-22.74%,-13.41%,-33.06%,20.91%,-45.76%,-26.84%,-40.22%,-53.82%,Upgrade
5,Accounts Receivable,16307712,11577591,12717392,11996592,12316754,11581114,11893180,12536809,12402310,17448682,12049194,12294957,11452445,9901556,9105103,8940589,8595121,8739651,10602443,7659864,Upgrade
6,Other Receivables,9170641,11466217,14782251,14360324,14835193,12567243,11347259,9835718,11776166,10447750,9705558,11113473,7641625,5093017,7218309,6768940,6152553,3905858,2661315,3083909,Upgrade
7,Receivables,26513905,23554900,28009110,26833033,27608946,24805357,23897438,23029527,24835476,28558578,22411752,24065430,19751070,14994572,16323411,15709529,14747674,13180851,13764745,11252501,Upgrade
8,Inventory,2005436,1151714,997509,962537,703385,1115793,1075114,1028075,982716,905076,902967,818373,811247,806392,845551,701316,712093,679883,760919,686630,Upgrade
9,Prepaid Expenses,166487,240800,161570,101736,117560,100430,158580,151804,150468,572273,405375,2054,11518,69033,38297,219000,212806,212765,237218,312892,Upgrade
